"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","29-033","ORL","","MIA","W (+3)","0","33:26","4","11",".364","0","4",".000","4","6",".667","2","3","5","1","0","1","0","4","12","7.2","+12"
"2","2","2018-10-19","29-035","ORL","","CHO","L (-32)","0","22:41","3","9",".333","1","3",".333","0","0","","1","2","3","1","0","0","1","4","7","1.3","-16"
"4","3","2018-10-22","29-038","ORL","@","BOS","W (+3)","0","23:32","1","9",".111","0","4",".000","2","2","1.000","0","4","4","1","0","0","2","3","4","-3.2","-8"
"5","4","2018-10-25","29-041","ORL","","POR","L (-14)","0","20:57","1","7",".143","0","1",".000","4","4","1.000","0","0","0","5","1","0","1","2","6","4.2","-1"
"6","5","2018-10-27","29-043","ORL","@","MIL","L (-22)","0","17:29","3","10",".300","2","4",".500","2","2","1.000","2","2","4","3","1","1","2","2","10","7.2","-23"
"7","6","2018-10-30","29-046","ORL","","SAC","L (-8)","0","25:53","5","13",".385","1","5",".200","1","2",".500","1","2","3","5","0","0","3","0","12","6.3","-10"
"9","7","2018-11-04","29-051","ORL","@","SAS","W (+7)","0","17:59","0","2",".000","0","1",".000","0","0","","1","1","2","2","1","1","1","2","0","0.9","-4"
"10","8","2018-11-05","29-052","ORL","","CLE","W (+2)","0","21:13","5","9",".556","0","2",".000","1","1","1.000","0","1","1","2","0","1","1","2","11","7.3","+7"
"11","9","2018-11-07","29-054","ORL","","DET","L (-7)","0","19:39","0","5",".000","0","0","","3","4",".750","1","3","4","0","1","0","3","0","3","-1.3","-25"
"12","10","2018-11-09","29-056","ORL","","WAS","W (+9)","0","14:58","2","6",".333","0","1",".000","2","2","1.000","0","1","1","0","1","0","0","2","6","3.1","+10"
"13","11","2018-11-11","29-058","ORL","@","NYK","W (+26)","0","27:49","3","9",".333","0","3",".000","3","3","1.000","1","1","2","7","0","2","1","1","9","9.8","+18"
"14","12","2018-11-12","29-059","ORL","@","WAS","L (-8)","0","26:43","2","10",".200","1","2",".500","0","0","","0","3","3","2","0","2","3","1","5","-0.9","-14"
"15","13","2018-11-14","29-061","ORL","","PHI","W (+5)","0","18:35","3","4",".750","2","2","1.000","4","4","1.000","0","1","1","1","0","0","1","5","12","8.4","+5"
"16","14","2018-11-17","29-064","ORL","","LAL","W (+13)","0","26:03","5","10",".500","0","2",".000","2","3",".667","1","4","5","6","0","0","0","2","12","11.9","+9"
"17","15","2018-11-18","29-065","ORL","","NYK","W (+14)","0","22:56","3","9",".333","0","2",".000","3","3","1.000","0","3","3","2","1","0","0","2","9","6.4","-5"
"18","16","2018-11-20","29-067","ORL","","TOR","L (-2)","0","9:44","0","4",".000","0","0","","0","0","","0","2","2","0","0","1","1","0","0","-2.5","-4"
"19","17","2018-11-23","29-070","ORL","@","DEN","L (-25)","0","7:09","1","2",".500","0","0","","3","4",".750","0","1","1","0","1","1","1","0","5","4.6","-2"
"20","18","2018-11-25","29-072","ORL","@","LAL","W (+4)","0","25:02","4","11",".364","0","2",".000","2","2","1.000","0","4","4","4","0","1","1","2","10","6.8","+7"
"21","19","2018-11-26","29-073","ORL","@","GSW","L (-6)","1","27:39","2","6",".333","2","3",".667","0","2",".000","0","1","1","4","1","0","0","3","6","4.7","0"
"22","20","2018-11-28","29-075","ORL","@","POR","L (-3)","1","23:07","4","6",".667","1","3",".333","4","4","1.000","0","0","0","2","0","0","4","0","13","7.8","+1"
"23","21","2018-11-30","29-077","ORL","@","PHO","W (+14)","1","20:27","2","7",".286","0","2",".000","0","0","","1","3","4","1","2","0","1","0","4","3.2","-10"
"24","22","2018-12-04","29-081","ORL","@","MIA","W (+15)","1","21:07","1","6",".167","1","2",".500","0","0","","1","1","2","3","1","0","0","2","3","2.5","+2"
"25","23","2018-12-05","29-082","ORL","","DEN","L (-6)","1","24:35","1","6",".167","0","3",".000","0","0","","0","0","0","2","0","0","2","2","2","-3.2","-1"
"26","24","2018-12-07","29-084","ORL","","IND","L (-22)","1","22:02","1","3",".333","0","0","","0","0","","1","1","2","2","0","0","0","1","2","2.3","-13"
"27","25","2018-12-10","29-087","ORL","@","DAL","L (-25)","1","21:57","7","10",".700","2","4",".500","2","2","1.000","0","2","2","0","1","0","1","0","18","14.4","-15"
