"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","26-132","CLE","@","TOR","L (-12)","0","23:09","7","15",".467","1","4",".250","0","0","","0","3","3","0","0","0","0","3","15","7.0","-8"
"2","2","2018-10-19","26-134","CLE","@","MIN","L (-8)","0","23:42","8","14",".571","0","2",".000","3","3","1.000","1","3","4","1","1","1","3","1","19","13.0","-8"
"3","3","2018-10-21","26-136","CLE","","ATL","L (-22)","0","23:02","7","12",".583","3","5",".600","2","3",".667","0","3","3","2","0","0","1","2","19","13.5","-25"
"4","4","2018-10-24","26-139","CLE","","BRK","L (-16)","0","22:35","4","14",".286","0","4",".000","6","6","1.000","2","3","5","3","0","0","4","1","14","5.8","+7"
"5","5","2018-10-25","26-140","CLE","@","DET","L (-7)","0","20:40","8","12",".667","2","4",".500","0","0","","0","1","1","0","1","0","0","1","18","13.7","-2"
"6","6","2018-10-27","26-142","CLE","","IND","L (-12)","0","19:34","5","10",".500","2","4",".500","0","0","","0","1","1","1","1","0","1","2","12","7.2","-6"
"7","7","2018-10-30","26-145","CLE","","ATL","W (+22)","0","27:15","7","15",".467","1","5",".200","0","0","","1","1","2","1","1","0","1","0","15","9.0","+4"
"8","8","2018-11-01","26-147","CLE","","DEN","L (-19)","0","19:43","7","14",".500","0","3",".000","3","3","1.000","3","1","4","0","0","1","0","3","17","11.9","-13"
"9","9","2018-11-03","26-149","CLE","@","CHO","L (-32)","0","21:24","6","13",".462","1","4",".250","0","0","","0","0","0","0","3","1","0","1","13","9.6","-29"
"10","10","2018-11-05","26-151","CLE","@","ORL","L (-2)","0","25:34","5","10",".500","3","6",".500","1","1","1.000","0","0","0","1","1","0","1","3","14","8.5","-6"
"11","11","2018-11-07","26-153","CLE","","OKC","L (-9)","0","32:55","5","17",".294","1","7",".143","0","1",".000","4","5","9","8","1","0","3","3","11","7.4","-5"
"12","12","2018-11-10","26-156","CLE","@","CHI","L (-1)","0","24:59","6","16",".375","2","4",".500","1","2",".500","2","3","5","4","0","0","1","3","15","8.7","-10"
"13","13","2018-11-13","26-159","CLE","","CHO","W (+24)","0","27:32","9","15",".600","1","4",".250","5","5","1.000","0","5","5","2","0","1","4","1","24","16.3","+18"
"14","14","2018-11-14","26-160","CLE","@","WAS","L (-24)","0","27:21","4","13",".308","0","4",".000","1","1","1.000","0","2","2","1","1","0","6","3","9","-3.4","-11"
"15","15","2018-11-19","26-165","CLE","@","DET","L (-11)","0","25:28","6","11",".545","1","2",".500","3","4",".750","1","3","4","4","0","0","2","1","16","12.3","+4"
"16","16","2018-11-21","26-167","CLE","","LAL","L (-4)","0","26:30","6","18",".333","4","8",".500","4","4","1.000","1","1","2","5","0","0","1","4","20","11.7","+4"
"17","17","2018-11-23","26-169","CLE","@","PHI","W (+9)","0","20:07","8","15",".533","2","5",".400","1","1","1.000","2","1","3","0","0","0","1","3","19","11.2","+1"
"18","18","2018-11-24","26-170","CLE","","HOU","W (+9)","0","27:54","8","16",".500","0","2",".000","4","4","1.000","5","0","5","4","1","0","2","1","20","16.9","-4"
"19","19","2018-11-26","26-172","CLE","","MIN","L (-7)","0","21:36","1","5",".200","0","4",".000","2","2","1.000","0","2","2","2","0","0","2","0","4","0.9","-11"
"20","20","2018-11-28","26-174","CLE","@","OKC","L (-17)","0","31:39","10","22",".455","4","8",".500","1","3",".333","1","2","3","2","1","0","0","2","25","15.7","-10"
"21","21","2018-11-30","26-176","CLE","@","BOS","L (-33)","0","21:44","5","14",".357","3","5",".600","3","4",".750","0","1","1","0","0","0","1","1","16","6.7","-6"
"22","22","2018-12-01","26-177","CLE","","TOR","L (-11)","0","29:01","7","17",".412","1","6",".167","3","3","1.000","2","0","2","2","1","0","1","2","18","10.9","-5"
"23","23","2018-12-03","26-179","CLE","@","BRK","W (+2)","0","28:03","9","22",".409","1","4",".250","1","1","1.000","3","8","11","4","1","0","2","1","20","14.1","+10"
"24","24","2018-12-05","26-181","CLE","","GSW","L (-24)","0","30:02","7","17",".412","2","7",".286","1","1","1.000","0","1","1","3","1","0","0","2","17","10.5","-25"
"25","25","2018-12-07","26-183","CLE","","SAC","L (-19)","0","29:53","11","19",".579","4","7",".571","0","1",".000","0","4","4","1","1","0","2","1","26","17.2","+12"
"26","26","2018-12-08","26-184","CLE","","WAS","W (+15)","0","22:39","2","9",".222","1","5",".200","2","2","1.000","1","1","2","2","0","0","0","0","7","3.9","+23"
"27","27","2018-12-10","26-186","CLE","@","MIL","L (-16)","0","20:16","4","13",".308","0","3",".000","1","2",".500","0","5","5","3","0","0","2","0","9","2.7","-6"
"28","28","2018-12-12","26-188","CLE","","NYK","W (+7)","0","34:02","12","21",".571","2","7",".286","2","2","1.000","2","3","5","2","0","0","2","1","28","19.4","+10"
"29","29","2018-12-14","26-190","CLE","","MIL","L (-12)","0","32:46","8","19",".421","2","8",".250","5","5","1.000","1","4","5","4","2","0","4","3","23","14.4","-1"
"30","30","2018-12-16","26-192","CLE","","PHI","L (-23)","0","27:37","6","16",".375","2","6",".333","4","4","1.000","2","4","6","4","0","0","2","1","18","12.2","-6"
"32","31","2018-12-19","26-195","CLE","@","CHO","L (-11)","0","35:16","8","19",".421","4","10",".400","0","2",".000","0","3","3","2","1","0","2","3","20","9.2","-8"
"33","32","2018-12-21","26-197","CLE","@","TOR","L (-16)","0","32:42","6","14",".429","4","9",".444","4","4","1.000","0","4","4","4","0","1","2","2","20","14.5","-12"
"34","33","2018-12-23","26-199","CLE","","CHI","L (-20)","0","30:52","8","13",".615","1","3",".333","0","0","","1","0","1","1","0","0","2","1","17","10.1","-10"
"35","34","2018-12-26","26-202","CLE","@","MEM","L (-8)","0","30:52","10","20",".500","4","7",".571","0","0","","2","3","5","2","3","0","2","0","24","18.7","0"
"36","35","2018-12-28","26-204","CLE","@","MIA","L (-24)","0","31:13","6","11",".545","3","7",".429","3","3","1.000","1","4","5","4","0","0","2","1","18","15.0","-16"
"37","36","2018-12-29","26-205","CLE","@","ATL","L (-3)","0","28:50","6","14",".429","1","4",".250","2","2","1.000","1","1","2","2","2","0","1","1","15","10.6","-9"
"38","37","2019-01-02","26-209","CLE","","MIA","L (-25)","0","24:41","4","9",".444","3","8",".375","0","0","","0","0","0","5","0","1","2","2","11","7.7","-6"
"39","38","2019-01-04","26-211","CLE","","UTA","L (-26)","0","19:09","6","12",".500","0","3",".000","0","0","","0","0","0","1","1","0","1","0","12","6.7","-14"
"40","39","2019-01-05","26-212","CLE","","NOP","L (-35)","0","24:10","8","17",".471","3","6",".500","4","5",".800","1","3","4","3","1","1","2","0","23","17.3","-9"
