"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","21-249","PHO","","DAL","W (+21)","0","28:23","7","11",".636","3","4",".750","1","2",".500","0","2","2","3","0","1","3","1","18","12.7","+10"
"2","2","2018-10-20","21-252","PHO","@","DEN","L (-28)","0","22:59","1","7",".143","0","3",".000","0","1",".000","0","2","2","2","0","2","2","4","2","-3.1","-12"
"3","3","2018-10-22","21-254","PHO","@","GSW","L (-20)","0","19:11","1","5",".200","0","1",".000","1","2",".500","0","1","1","1","0","0","3","3","3","-3.7","-10"
"4","4","2018-10-24","21-256","PHO","","LAL","L (-18)","0","25:10","4","10",".400","2","6",".333","0","0","","0","2","2","4","1","0","4","5","10","3.0","-5"
"5","5","2018-10-27","21-259","PHO","@","MEM","L (-21)","1","23:47","3","10",".300","0","3",".000","2","6",".333","0","3","3","3","3","0","7","3","8","-1.6","-8"
"6","6","2018-10-28","21-260","PHO","@","OKC","L (-7)","1","20:40","4","10",".400","0","3",".000","0","0","","0","1","1","0","1","1","4","6","8","-1.8","-13"
"7","7","2018-10-31","21-263","PHO","","SAS","L (-30)","1","20:48","2","7",".286","0","1",".000","0","0","","0","1","1","2","0","1","1","2","4","0.5","-17"
"8","8","2018-11-02","21-265","PHO","","TOR","L (-9)","0","11:35","5","8",".625","1","1","1.000","0","0","","0","3","3","1","0","0","1","1","11","7.6","-9"
"9","9","2018-11-04","21-267","PHO","","MEM","W (+2)","0","13:24","2","2","1.000","0","0","","2","2","1.000","0","2","2","3","0","0","4","2","6","3.3","-15"
"10","10","2018-11-06","21-269","PHO","","BRK","L (-22)","0","6:52","1","3",".333","0","1",".000","2","2","1.000","0","1","1","1","0","0","2","0","4","1.3","-11"
"11","11","2018-11-08","21-271","PHO","","BOS","L (-7)","0","5:14","1","1","1.000","0","0","","0","0","","0","2","2","0","0","2","2","2","2","0.9","0"
"12","12","2018-11-10","21-273","PHO","@","NOP","L (-20)","0","19:00","4","11",".364","1","3",".333","0","0","","1","4","5","0","1","1","2","2","9","3.7","-6"
"13","13","2018-11-12","21-275","PHO","@","OKC","L (-17)","0","7:20","1","4",".250","0","2",".000","0","2",".000","0","1","1","0","0","0","0","0","2","-0.9","-5"
"14","14","2018-11-14","21-277","PHO","","SAS","W (+20)","0","21:56","6","13",".462","2","3",".667","0","0","","1","3","4","3","0","1","0","2","14","10.9","-3"
"15","15","2018-11-17","21-280","PHO","","OKC","L (-10)","0","17:05","2","6",".333","1","1","1.000","2","4",".500","1","2","3","0","4","1","3","2","7","5.0","+3"
"16","16","2018-11-19","21-282","PHO","@","PHI","L (-5)","0","12:16","1","3",".333","0","1",".000","2","2","1.000","0","0","0","2","1","1","2","2","4","2.6","-1"
"17","17","2018-11-21","21-284","PHO","@","CHI","L (-8)","0","13:18","2","7",".286","0","1",".000","0","0","","2","3","5","1","1","0","0","0","4","3.9","+1"
"18","18","2018-11-23","21-286","PHO","@","MIL","W (+2)","0","15:50","2","4",".500","1","1","1.000","6","7",".857","0","2","2","1","0","1","1","3","11","8.4","-6"
"19","19","2018-11-25","21-288","PHO","@","DET","L (-11)","0","23:58","4","8",".500","1","4",".250","1","2",".500","1","3","4","1","1","0","2","3","10","5.7","-3"
"20","20","2018-11-27","21-290","PHO","","IND","L (-5)","0","22:20","4","9",".444","0","2",".000","0","0","","0","5","5","4","1","0","1","2","8","6.8","-1"
"21","21","2018-11-28","21-291","PHO","@","LAC","L (-16)","0","19:56","6","10",".600","0","1",".000","3","3","1.000","2","5","7","1","2","0","1","5","15","13.0","+1"
"22","22","2018-11-30","21-293","PHO","","ORL","L (-14)","1","38:14","5","21",".238","0","4",".000","0","1",".000","0","9","9","7","1","0","1","1","10","4.1","-14"
"23","23","2018-12-02","21-295","PHO","@","LAL","L (-24)","1","29:41","5","13",".385","0","3",".000","3","4",".750","1","5","6","3","2","1","3","2","13","8.7","-9"
