"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","25-032","MIA","@","ORL","L (-3)","1","37:35","8","21",".381","2","10",".200","3","3","1.000","1","4","5","3","1","1","3","3","21","11.0","-5"
"2","2","2018-10-18","25-033","MIA","@","WAS","W (+1)","1","38:25","8","21",".381","5","11",".455","7","8",".875","2","2","4","5","1","1","2","1","28","20.9","0"
"3","3","2018-10-20","25-035","MIA","","CHO","L (-1)","1","26:50","3","11",".273","1","6",".167","0","0","","1","3","4","2","0","0","3","5","7","-1.5","-4"
"4","4","2018-10-24","25-039","MIA","","NYK","W (+23)","1","34:51","8","14",".571","5","6",".833","0","0","","1","7","8","1","1","0","4","2","21","14.1","+26"
"5","5","2018-10-27","25-042","MIA","","POR","W (+9)","1","36:15","5","15",".333","1","6",".167","0","1",".000","0","5","5","5","1","1","2","2","11","6.0","+4"
"6","6","2018-10-29","25-044","MIA","","SAC","L (-10)","1","36:34","10","21",".476","4","10",".400","7","7","1.000","2","1","3","0","2","3","0","4","31","24.5","+6"
"7","7","2018-10-30","25-045","MIA","@","CHO","L (-12)","1","28:44","5","13",".385","1","4",".250","4","5",".800","0","2","2","3","1","1","1","5","15","8.9","+5"
"8","8","2018-11-03","25-049","MIA","@","ATL","L (-5)","1","37:54","10","18",".556","6","10",".600","6","6","1.000","0","1","1","3","2","1","1","4","32","25.9","+5"
"9","9","2018-11-05","25-051","MIA","@","DET","W (+5)","1","38:03","11","21",".524","3","5",".600","2","2","1.000","2","6","8","4","0","2","1","4","27","21.5","-4"
"10","10","2018-11-07","25-053","MIA","","SAS","W (+7)","1","37:45","6","22",".273","2","6",".333","0","0","","3","2","5","5","2","0","2","2","14","6.4","+11"
"11","11","2018-11-09","25-055","MIA","","IND","L (-8)","1","28:40","6","17",".353","2","6",".333","4","5",".800","0","0","0","6","2","0","6","5","18","6.3","-2"
"12","12","2018-11-10","25-056","MIA","","WAS","L (-6)","1","36:12","8","14",".571","2","2","1.000","6","8",".750","1","2","3","5","1","0","2","4","24","18.8","+5"
"13","13","2018-11-12","25-058","MIA","","PHI","L (-10)","1","37:15","4","8",".500","4","5",".800","5","5","1.000","0","1","1","0","1","1","3","3","17","10.8","0"
"14","14","2018-11-14","25-060","MIA","@","BRK","W (+13)","1","35:30","5","13",".385","2","7",".286","3","4",".750","1","4","5","5","0","0","3","4","15","8.3","+17"
"15","15","2018-11-16","25-062","MIA","@","IND","L (-8)","1","40:43","10","16",".625","7","10",".700","1","1","1.000","0","4","4","2","1","0","3","2","28","20.6","+8"
"16","16","2018-11-18","25-064","MIA","","LAL","L (-16)","1","24:46","7","11",".636","0","1",".000","3","3","1.000","0","6","6","3","1","1","0","5","17","15.7","0"
"17","17","2018-11-20","25-066","MIA","","BRK","L (-12)","1","39:00","6","20",".300","0","5",".000","4","7",".571","0","4","4","5","2","0","3","2","16","6.1","-17"
"18","18","2018-11-23","25-069","MIA","@","CHI","W (+7)","1","33:49","10","16",".625","5","9",".556","2","2","1.000","0","2","2","3","1","1","0","3","27","23.0","+10"
"19","19","2018-11-25","25-071","MIA","@","TOR","L (-10)","1","34:04","6","19",".316","3","8",".375","4","6",".667","2","3","5","1","1","0","0","4","19","9.7","-25"
"20","20","2018-11-27","25-073","MIA","","ATL","L (-2)","1","35:43","6","17",".353","2","8",".250","8","9",".889","2","6","8","4","5","0","5","3","22","16.9","+4"
"21","21","2018-11-30","25-076","MIA","","NOP","W (+5)","1","35:57","8","22",".364","3","10",".300","1","2",".500","0","2","2","1","3","1","2","3","20","9.2","-7"
"22","22","2018-12-02","25-078","MIA","","UTA","W (+2)","1","39:10","4","16",".250","2","6",".333","6","6","1.000","1","2","3","4","0","0","4","2","16","5.7","-13"
"23","23","2018-12-04","25-080","MIA","","ORL","L (-15)","1","31:57","2","14",".143","1","7",".143","1","1","1.000","3","1","4","5","0","0","0","4","6","1.3","-13"
"24","24","2018-12-07","25-083","MIA","@","PHO","W (+17)","1","38:33","3","10",".300","2","5",".400","0","0","","0","3","3","5","1","1","0","1","8","7.9","+26"
"26","25","2018-12-10","25-086","MIA","@","LAL","L (-3)","1","30:27","3","10",".300","2","4",".500","2","2","1.000","1","2","3","5","1","0","0","3","10","8.8","+9"
"27","26","2018-12-12","25-088","MIA","@","UTA","L (-27)","1","25:27","4","11",".364","2","6",".333","1","2",".500","0","2","2","2","0","0","3","3","11","2.3","-21"
"28","27","2018-12-14","25-090","MIA","@","MEM","W (+3)","1","36:37","7","17",".412","2","7",".286","2","3",".667","2","3","5","7","1","0","1","2","18","14.9","+2"
"29","28","2018-12-16","25-092","MIA","@","NOP","W (+6)","1","35:36","9","20",".450","2","8",".250","2","2","1.000","0","1","1","4","3","0","4","3","22","12.5","+10"
"30","29","2018-12-20","25-096","MIA","","HOU","W (+2)","1","37:55","9","19",".474","4","12",".333","0","0","","1","5","6","7","0","0","1","1","22","18.0","+15"
"31","30","2018-12-22","25-098","MIA","","MIL","W (+7)","1","38:40","5","11",".455","2","5",".400","4","5",".800","0","5","5","3","1","1","3","5","16","10.2","+5"
"32","31","2018-12-23","25-099","MIA","@","ORL","W (+24)","1","37:06","4","14",".286","2","8",".250","5","5","1.000","2","8","10","4","2","0","2","1","15","13.0","+21"
"33","32","2018-12-26","25-102","MIA","","TOR","L (-2)","1","36:20","6","12",".500","3","5",".600","2","2","1.000","0","2","2","7","1","1","1","1","17","16.8","+14"
"34","33","2018-12-28","25-104","MIA","","CLE","W (+24)","1","33:00","5","14",".357","2","7",".286","4","5",".800","1","0","1","5","2","1","0","0","16","14.7","+16"
"35","34","2018-12-30","25-106","MIA","","MIN","L (-9)","1","36:19","4","13",".308","2","7",".286","7","7","1.000","2","2","4","2","1","1","0","4","17","13.0","-19"
"36","35","2019-01-02","25-109","MIA","@","CLE","W (+25)","1","31:57","9","16",".563","4","7",".571","2","2","1.000","0","2","2","5","0","0","2","2","24","17.7","+6"
"37","36","2019-01-04","25-111","MIA","","WAS","W (+6)","1","37:04","6","16",".375","2","8",".250","4","4","1.000","0","5","5","3","1","1","2","1","18","12.1","+16"
