"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","23-019","DEN","@","LAC","W (+9)","0","15:03","2","3",".667","1","1","1.000","0","0","","2","4","6","1","1","1","0","1","5","8.3","-8",".833",".833","12.3","25.0","18.6","12.0","3.2","5.3","0.0","8.3","179","90"
"2","2","2018-10-20","23-022","DEN","","PHO","W (+28)","0","14:48","1","5",".200","0","3",".000","0","0","","2","4","6","0","0","0","1","1","2","0.1","-16",".200",".200","16.6","23.6","20.7","0.0","0.0","0.0","16.7","16.8","59","93"
"3","3","2018-10-21","23-023","DEN","","GSW","W (+2)","0","23:18","3","5",".600","2","3",".667","0","0","","0","2","2","0","0","1","0","0","8","7.0","+2",".800",".800","0.0","10.3","4.7","0.0","0.0","4.1","0.0","9.2","156","104"
"4","4","2018-10-23","23-025","DEN","","SAC","W (+14)","0","25:08","2","7",".286","1","4",".250","0","0","","2","7","9","1","2","0","1","3","5","4.9","+1",".357",".357","8.5","31.1","19.5","4.0","3.8","0.0","12.5","13.0","90","105"
"5","5","2018-10-25","23-027","DEN","@","LAL","L (-7)","0","8:26","1","2",".500","0","1",".000","0","0","","0","0","0","0","0","0","0","2","2","0.2","-5",".500",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.5","104","123"
"6","6","2018-10-29","23-031","DEN","","NOP","W (+5)","0","7:41","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","1","0","0.3","+4","","","0.0","0.0","0.0","14.9","0.0","0.0","","0.0","226","115"
"8","7","2018-11-01","23-034","DEN","@","CLE","W (+19)","0","28:59","6","10",".600","5","8",".625","6","7",".857","2","2","4","0","1","2","2","1","23","20.0","+18",".879",".850","9.2","7.7","8.4","0.0","1.9","5.1","13.3","23.5","158","105"
"9","8","2018-11-03","23-036","DEN","","UTA","W (+15)","0","28:11","3","5",".600","1","2",".500","1","2",".500","2","2","4","1","1","0","1","3","8","6.8","+19",".680",".700","9.0","6.8","7.7","4.7","1.8","0.0","14.5","10.8","122","95"
"10","9","2018-11-05","23-038","DEN","","BOS","W (+8)","0","24:19","3","6",".500","2","4",".500","0","0","","3","2","5","1","0","1","0","1","8","8.7","+1",".667",".667","12.3","10.1","11.3","5.6","0.0","3.5","0.0","10.3","156","113"
"11","10","2018-11-07","23-040","DEN","@","MEM","L (-2)","0","22:19","3","6",".500","1","4",".250","0","0","","3","2","5","0","0","1","0","2","7","6.6","+4",".583",".583","15.7","11.9","14.0","0.0","0.0","4.4","0.0","12.1","136","105"
"12","11","2018-11-09","23-042","DEN","","BRK","L (-2)","0","13:48","1","2",".500","0","1",".000","0","0","","1","1","2","0","0","0","0","1","2","1.6","+1",".500",".500","7.7","6.8","7.2","0.0","0.0","0.0","0.0","6.1","127","120"
"13","12","2018-11-11","23-044","DEN","","MIL","L (-7)","1","29:51","3","5",".600","2","3",".667","0","0","","0","3","3","1","1","0","1","1","8","6.9","-5",".800",".800","0.0","14.2","6.0","4.4","1.7","0.0","16.7","9.0","124","129"
"14","13","2018-11-13","23-046","DEN","","HOU","L (-10)","1","38:49","2","6",".333","2","4",".500","0","0","","1","8","9","2","0","0","0","2","6","6.3","+3",".500",".500","3.7","33.0","17.7","7.0","0.0","0.0","0.0","7.5","120","127"
"15","14","2018-11-15","23-048","DEN","","ATL","W (+45)","1","31:14","9","12",".750","2","5",".400","5","7",".714","4","5","9","1","1","0","1","3","25","23.2","+46",".829",".833","15.8","12.8","14.0","3.9","1.4","0.0","6.2","20.6","162","91"
"16","15","2018-11-17","23-050","DEN","@","NOP","L (-10)","1","35:20","7","12",".583","4","6",".667","2","2","1.000","3","8","11","2","0","1","4","3","20","15.8","-12",".776",".750","8.9","25.3","16.8","7.4","0.0","2.2","23.7","20.2","118","124"
"17","16","2018-11-19","23-052","DEN","@","MIL","L (-6)","1","29:04","2","10",".200","1","5",".200","1","1","1.000","3","4","7","0","1","0","1","5","6","1.1","-6",".287",".250","9.7","15.4","12.3","0.0","1.7","0.0","8.7","16.4","70","105"
"18","17","2018-11-21","23-054","DEN","@","MIN","W (+2)","1","31:45","3","11",".273","2","7",".286","0","0","","3","3","6","2","0","0","2","0","8","3.9","+10",".364",".364","11.1","11.6","11.3","8.1","0.0","0.0","15.4","18.8","82","114"
"19","18","2018-11-23","23-056","DEN","","ORL","W (+25)","1","32:21","3","4",".750","2","3",".667","2","2","1.000","0","3","3","1","0","0","0","1","10","9.6","+14","1.025","1.000","0.0","10.4","5.1","3.8","0.0","0.0","0.0","6.5","202","99"
"20","19","2018-11-24","23-057","DEN","@","OKC","W (+7)","1","35:16","4","12",".333","3","7",".429","4","4","1.000","1","7","8","0","2","1","1","2","15","11.9","+4",".545",".458","2.7","16.4","10.1","0.0","2.7","2.1","6.8","16.8","113","94"
"21","20","2018-11-27","23-060","DEN","","LAL","W (+32)","1","23:45","5","7",".714","1","1","1.000","1","1","1.000","3","1","4","2","0","0","0","4","12","11.3","+12",".806",".786","12.9","3.9","8.2","11.0","0.0","0.0","0.0","13.1","178","95"
"22","21","2018-11-30","23-063","DEN","@","POR","W (+1)","1","28:35","2","4",".500","2","2","1.000","3","4",".750","2","9","11","1","0","1","2","1","9","9.7","+9",".781",".750","7.5","37.8","21.7","4.6","0.0","2.7","25.8","11.9","123","117"
"23","22","2018-12-03","23-066","DEN","@","TOR","W (+3)","1","28:46","5","12",".417","3","7",".429","2","4",".500","2","3","5","0","2","0","3","1","15","8.7","-1",".545",".542","6.8","12.2","9.3","0.0","3.3","0.0","17.9","23.4","90","100"
"24","23","2018-12-05","23-068","DEN","@","ORL","W (+6)","1","36:33","6","8",".750","2","4",".500","0","0","","0","4","4","2","1","0","0","3","14","13.2","0",".875",".875","0.0","12.9","7.0","8.0","1.4","0.0","0.0","10.7","164","117"
"25","24","2018-12-07","23-070","DEN","@","CHO","L (-6)","1","36:30","6","9",".667","1","3",".333","2","3",".667","2","8","10","2","1","2","0","2","15","17.5","0",".727",".722","4.8","21.9","12.8","8.5","1.4","5.2","0.0","11.2","160","115"
"26","25","2018-12-08","23-071","DEN","@","ATL","L (-8)","1","40:08","5","12",".417","3","7",".429","4","5",".800","2","8","10","1","0","1","0","2","17","14.6","+2",".599",".542","4.5","20.8","12.1","4.0","0.0","2.3","0.0","14.0","126","103"
"27","26","2018-12-10","23-073","DEN","","MEM","W (+6)","1","37:14","1","4",".250","1","4",".250","4","5",".800","1","4","5","1","0","2","3","2","7","4.4","+3",".565",".375","3.3","14.7","8.7","3.4","0.0","5.5","32.6","11.8","89","116"
"28","27","2018-12-14","23-077","DEN","","OKC","W (+11)","1","33:18","5","9",".556","2","6",".333","4","4","1.000","0","4","4","3","1","0","0","3","16","14.8","+14",".743",".667","0.0","10.5","6.3","12.4","1.5","0.0","0.0","14.2","167","106"
"29","28","2018-12-16","23-079","DEN","","TOR","W (+9)","1","28:22","0","5",".000","0","4",".000","2","3",".667","1","4","5","3","0","0","0","1","2","1.7","-3",".158",".000","3.5","14.4","8.9","14.1","0.0","0.0","0.0","10.7","69","102"
"30","29","2018-12-18","23-081","DEN","","DAL","W (+8)","1","30:28","3","8",".375","1","4",".250","5","6",".833","3","3","6","0","0","1","0","2","12","10.1","+9",".564",".438","12.1","11.5","11.8","0.0","0.0","3.2","0.0","14.8","138","122"
"31","30","2018-12-22","23-085","DEN","@","LAC","L (-21)","1","23:16","3","8",".375","1","4",".250","1","3",".333","1","2","3","0","0","1","0","3","8","3.6","-8",".429",".438","3.7","11.2","6.7","0.0","0.0","2.9","0.0","16.4","95","135"
"32","31","2018-12-26","23-089","DEN","@","SAS","L (-8)","1","35:47","8","13",".615","6","7",".857","5","6",".833","2","11","13","1","0","0","0","1","27","25.7","-10",".863",".846","5.0","34.3","18.0","5.5","0.0","0.0","0.0","18.7","165","114"
"33","32","2018-12-28","23-091","DEN","","SAS","W (+3)","1","31:11","2","6",".333","0","4",".000","2","2","1.000","0","4","4","2","0","0","1","0","6","4.2","-4",".436",".333","0.0","12.8","6.8","8.6","0.0","0.0","12.7","10.8","100","110"
"34","33","2018-12-29","23-092","DEN","@","PHO","W (+4)","1","35:08","3","3","1.000","2","2","1.000","2","2","1.000","1","8","9","1","2","0","2","2","10","12.1","-2","1.289","1.333","3.9","26.0","16.0","3.6","2.8","0.0","34.0","7.4","146","118"
"35","34","2019-01-01","23-095","DEN","","NYK","W (+7)","1","19:50","2","4",".500","2","4",".500","2","2","1.000","1","1","2","0","0","0","1","1","8","5.6","-2",".820",".750","5.5","4.7","5.0","0.0","0.0","0.0","17.0","12.6","136","125"
