"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","23-322","NOP","@","HOU","W (+19)","0","23:49","9","15",".600","2","4",".500","5","6",".833","2","6","8","3","0","0","0","4","25","21.4","+5"
"2","2","2018-10-19","23-324","NOP","","SAC","W (+20)","0","24:25","6","12",".500","1","2",".500","0","4",".000","0","14","14","0","0","0","1","4","13","7.0","+14"
"3","3","2018-10-23","23-328","NOP","","LAC","W (+7)","0","21:52","5","9",".556","1","2",".500","7","7","1.000","2","3","5","0","2","0","2","6","18","13.6","-6"
"4","4","2018-10-26","23-331","NOP","","BRK","W (+2)","0","23:16","7","14",".500","0","1",".000","0","1",".000","3","4","7","3","1","2","2","1","14","12.0","-12"
"5","5","2018-10-27","23-332","NOP","","UTA","L (-21)","1","18:32","5","11",".455","0","3",".000","2","2","1.000","1","2","3","0","1","1","3","4","12","4.7","-17"
"6","6","2018-10-29","23-334","NOP","@","DEN","L (-5)","0","26:30","8","13",".615","0","0","","8","11",".727","1","7","8","6","1","1","5","4","24","19.0","-2"
"7","7","2018-10-31","23-336","NOP","@","GSW","L (-10)","0","22:51","3","6",".500","0","0","","5","6",".833","3","7","10","2","0","0","4","3","11","8.0","-20"
"8","8","2018-11-01","23-337","NOP","@","POR","L (-13)","0","25:57","9","16",".563","0","2",".000","11","12",".917","1","5","6","3","1","0","3","5","29","21.3","-13"
"9","9","2018-11-03","23-339","NOP","@","SAS","L (-14)","0","26:12","3","9",".333","0","2",".000","4","12",".333","2","4","6","2","1","1","2","2","10","4.6","-14"
"10","10","2018-11-05","23-341","NOP","@","OKC","L (-6)","0","28:14","10","10","1.000","2","2","1.000","4","4","1.000","1","7","8","1","1","2","1","3","26","26.7","+2"
"11","11","2018-11-07","23-343","NOP","","CHI","W (+9)","0","23:32","5","8",".625","1","2",".500","1","2",".500","1","4","5","5","0","0","2","2","12","10.6","+4"
"12","12","2018-11-10","23-346","NOP","","PHO","W (+20)","1","37:32","9","19",".474","1","4",".250","3","4",".750","7","8","15","3","0","2","5","1","22","17.3","+25"
"13","13","2018-11-12","23-348","NOP","@","TOR","W (+16)","1","35:19","7","12",".583","0","1",".000","3","5",".600","2","10","12","4","0","0","2","2","17","15.0","+15"
"14","14","2018-11-14","23-350","NOP","@","MIN","L (-7)","0","14:04","1","4",".250","0","1",".000","1","4",".250","1","2","3","0","0","0","5","4","3","-5.9","-7"
"15","15","2018-11-16","23-352","NOP","","NYK","W (+5)","0","30:15","7","10",".700","0","2",".000","5","8",".625","3","8","11","2","1","0","3","4","19","15.9","+4"
"16","16","2018-11-17","23-353","NOP","","DEN","W (+10)","0","27:21","8","13",".615","0","1",".000","5","7",".714","4","6","10","3","3","1","1","3","21","22.5","-1"
"17","17","2018-11-19","23-355","NOP","","SAS","W (+14)","0","25:20","9","13",".692","0","1",".000","3","3","1.000","6","8","14","10","1","0","0","2","21","29.3","+12"
"18","18","2018-11-21","23-357","NOP","@","PHI","L (-1)","0","28:07","6","13",".462","2","2","1.000","8","9",".889","4","6","10","3","0","1","2","5","22","18.3","-10"
