"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-18","29-196","CHI","@","PHI","L (-19)","1","27:23","4","12",".333","2","9",".222","0","0","","0","4","4","1","0","0","0","2","10","4.3","-29"
"2","2","2018-10-20","29-198","CHI","","DET","L (-2)","1","37:33","6","8",".750","2","3",".667","5","5","1.000","0","6","6","2","2","0","0","1","19","20.6","+10"
"3","3","2018-10-22","29-200","CHI","@","DAL","L (-6)","1","36:59","5","9",".556","4","6",".667","2","3",".667","0","0","0","1","2","0","1","1","16","12.6","-9"
"4","4","2018-10-24","29-202","CHI","","CHO","W (+2)","1","38:25","3","9",".333","1","6",".167","0","0","","0","6","6","2","0","1","0","4","7","4.2","-12"
"5","5","2018-10-26","29-204","CHI","@","CHO","L (-29)","1","28:56","2","7",".286","1","5",".200","0","0","","0","3","3","2","2","1","0","1","5","5.5","-21"
"6","6","2018-10-27","29-205","CHI","@","ATL","W (+12)","1","36:41","4","12",".333","4","10",".400","0","0","","2","3","5","3","5","0","1","3","12","12.4","+2"
"7","7","2018-10-29","29-207","CHI","","GSW","L (-25)","1","28:32","3","9",".333","3","7",".429","0","0","","1","1","2","5","0","0","2","2","9","5.6","-32"
"8","8","2018-10-31","29-209","CHI","","DEN","L (-1)","1","39:04","5","10",".500","5","9",".556","0","0","","0","5","5","5","0","1","0","3","15","14.5","-7"
"9","9","2018-11-02","29-211","CHI","","IND","L (-2)","1","35:53","7","14",".500","5","11",".455","0","0","","0","1","1","2","0","1","1","2","19","12.6","-11"
"10","10","2018-11-03","29-212","CHI","","HOU","L (-8)","1","33:58","3","6",".500","3","6",".500","0","0","","0","6","6","1","2","0","1","1","9","9.1","-11"
"11","11","2018-11-05","29-214","CHI","@","NYK","W (+1)","1","46:51","2","10",".200","2","6",".333","0","0","","0","4","4","3","3","0","0","4","6","4.5","+3"
"12","12","2018-11-07","29-216","CHI","@","NOP","L (-9)","1","38:05","6","16",".375","3","12",".250","2","2","1.000","0","1","1","2","3","1","1","3","17","11.4","-6"
"13","13","2018-11-10","29-219","CHI","","CLE","W (+1)","1","37:09","3","8",".375","1","4",".250","0","0","","0","7","7","1","2","1","1","5","7","5.1","-12"
"14","14","2018-11-12","29-221","CHI","","DAL","L (-5)","1","36:13","5","9",".556","3","7",".429","1","1","1.000","0","3","3","0","2","0","1","3","14","10.4","+13"
"15","15","2018-11-14","29-223","CHI","@","BOS","L (-29)","1","31:55","2","10",".200","2","7",".286","0","0","","1","1","2","4","1","0","1","2","6","2.8","-22"
"16","16","2018-11-16","29-225","CHI","@","MIL","L (-19)","1","29:12","7","12",".583","6","9",".667","0","0","","1","2","3","4","3","0","1","3","20","19.3","-18"
"17","17","2018-11-17","29-226","CHI","","TOR","L (-39)","1","31:06","4","10",".400","3","8",".375","1","1","1.000","0","4","4","1","1","1","1","0","12","9.2","-30"
"18","18","2018-11-21","29-230","CHI","","PHO","W (+8)","1","33:17","4","8",".500","3","6",".500","0","0","","0","4","4","1","0","0","4","4","11","3.3","0"
"19","19","2018-11-23","29-232","CHI","","MIA","L (-7)","1","39:37","9","16",".563","5","10",".500","4","4","1.000","2","11","13","2","3","1","4","2","27","24.4","-6"
"20","20","2018-11-24","29-233","CHI","@","MIN","L (-15)","1","40:25","5","18",".278","4","13",".308","0","0","","1","10","11","5","2","1","0","1","14","12.9","-5"
