"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","23-203","SAC","","UTA","L (-6)","0","30:30","4","10",".400","0","4",".000","0","0","","0","2","2","1","2","0","0","2","8","5.1","-19"
"2","2","2018-10-19","23-205","SAC","@","NOP","L (-20)","0","21:22","1","6",".167","0","2",".000","0","0","","1","3","4","1","1","0","1","1","2","0.1","-3"
"3","3","2018-10-21","23-207","SAC","@","OKC","W (+11)","0","26:26","4","6",".667","1","2",".500","2","2","1.000","0","5","5","3","0","0","1","1","11","10.6","-5"
"4","4","2018-10-23","23-209","SAC","@","DEN","L (-14)","0","27:34","7","11",".636","3","5",".600","0","0","","0","3","3","3","0","1","0","0","17","15.8","-2"
"5","5","2018-10-24","23-210","SAC","","MEM","W (+5)","1","37:26","2","9",".222","1","5",".200","2","4",".500","2","9","11","0","1","0","0","2","7","5.0","+20"
"6","6","2018-10-26","23-212","SAC","","WAS","W (+4)","0","29:19","3","9",".333","1","7",".143","0","0","","1","4","5","2","2","0","1","2","7","5.4","-7"
"7","7","2018-10-29","23-215","SAC","@","MIA","W (+10)","0","21:55","1","6",".167","0","3",".000","2","2","1.000","0","2","2","2","0","1","0","3","4","1.7","-6"
"8","8","2018-10-30","23-216","SAC","@","ORL","W (+8)","1","20:27","0","2",".000","0","1",".000","0","0","","0","0","0","3","0","0","0","0","0","0.7","+9"
"9","9","2018-11-01","23-218","SAC","@","ATL","W (+31)","0","22:39","2","5",".400","0","2",".000","2","3",".667","0","0","0","3","0","0","0","0","6","5.0","+13"
"10","10","2018-11-04","23-221","SAC","@","MIL","L (-35)","0","24:55","9","12",".750","4","7",".571","0","0","","0","0","0","1","0","0","1","0","22","16.9","-8"
"11","11","2018-11-07","23-224","SAC","","TOR","L (-9)","0","7:41","0","0","","0","0","","0","0","","1","0","1","1","1","0","1","2","0","0.6","-11"
"12","12","2018-11-09","23-226","SAC","","MIN","W (+11)","0","6:15","0","2",".000","0","1",".000","0","0","","0","1","1","2","0","0","0","1","0","-0.1","+4"
"13","13","2018-11-10","23-227","SAC","","LAL","L (-15)","0","15:31","1","5",".200","1","3",".333","0","0","","0","1","1","0","0","0","0","1","3","-0.2","+1"
"14","14","2018-11-12","23-229","SAC","","SAS","W (+5)","0","19:10","0","2",".000","0","0","","0","0","","0","4","4","2","1","0","0","1","0","1.8","+1"
"16","15","2018-11-17","23-234","SAC","@","HOU","L (-20)","0","20:54","3","7",".429","2","5",".400","2","2","1.000","0","4","4","1","0","0","0","0","10","8.2","-9"
"17","16","2018-11-19","23-236","SAC","","OKC","W (+4)","0","8:37","1","1","1.000","1","1","1.000","0","0","","0","1","1","1","1","1","0","1","3","5.0","+2"
"18","17","2018-11-21","23-238","SAC","@","UTA","W (+9)","0","15:13","2","3",".667","0","1",".000","2","2","1.000","1","2","3","0","0","0","0","1","6","5.6","+3"
"19","18","2018-11-24","23-241","SAC","@","GSW","L (-1)","0","20:03","4","8",".500","1","3",".333","3","3","1.000","2","2","4","3","1","0","0","1","12","12.7","-1"
"20","19","2018-11-25","23-242","SAC","","UTA","L (-21)","0","20:40","1","2",".500","0","1",".000","1","2",".500","0","3","3","0","0","0","0","1","3","2.1","-15"
"21","20","2018-11-29","23-246","SAC","","LAC","L (-12)","0","11:39","3","4",".750","2","3",".667","0","0","","0","4","4","1","0","0","0","1","8","7.9","-3"
"22","21","2018-12-01","23-248","SAC","","IND","W (+1)","0","24:40","3","7",".429","2","3",".667","0","2",".000","1","2","3","2","0","0","1","0","8","5.2","+10"
"23","22","2018-12-04","23-251","SAC","@","PHO","W (+17)","0","20:04","4","5",".800","2","2","1.000","0","0","","0","2","2","1","0","1","1","2","10","8.3","+26"
"24","23","2018-12-07","23-254","SAC","@","CLE","W (+19)","0","22:36","3","7",".429","1","3",".333","0","0","","0","0","0","3","0","0","0","1","7","5.0","+3"
"25","24","2018-12-08","23-255","SAC","@","IND","L (-10)","0","24:59","4","6",".667","3","5",".600","0","0","","0","1","1","1","0","1","0","2","11","9.3","-13"
"26","25","2018-12-10","23-257","SAC","@","CHI","W (+19)","0","7:52","2","5",".400","0","2",".000","0","0","","1","0","1","0","1","0","0","0","4","3.0","-1"
"27","26","2018-12-12","23-259","SAC","","MIN","W (+11)","0","7:53","1","3",".333","1","3",".333","0","0","","0","0","0","0","0","0","1","0","3","0.3","+3"
"28","27","2018-12-14","23-261","SAC","","GSW","L (-5)","0","25:35","3","7",".429","2","6",".333","1","2",".500","0","3","3","1","0","1","0","3","9","6.0","+6"
"29","28","2018-12-16","23-263","SAC","@","DAL","W (+7)","0","22:34","2","6",".333","0","1",".000","2","2","1.000","1","2","3","0","1","0","2","4","6","1.3","+1"
"30","29","2018-12-17","23-264","SAC","@","MIN","L (-27)","0","24:42","4","7",".571","3","4",".750","0","0","","0","2","2","2","0","0","1","1","11","8.3","-1"
"31","30","2018-12-19","23-266","SAC","","OKC","L (-19)","1","36:56","4","10",".400","2","5",".400","0","0","","0","6","6","2","1","0","1","1","10","7.4","-9"
"32","31","2018-12-21","23-268","SAC","","MEM","W (+3)","0","22:24","3","5",".600","0","2",".000","2","2","1.000","1","2","3","0","0","0","0","2","8","6.2","-7"
"33","32","2018-12-23","23-270","SAC","","NOP","W (+5)","0","19:32","2","6",".333","2","5",".400","0","0","","0","1","1","1","1","0","0","1","6","4.2","-1"
"34","33","2018-12-26","23-273","SAC","@","LAC","L (-9)","0","18:59","1","2",".500","0","1",".000","0","0","","2","3","5","1","0","1","0","1","2","4.3","-24"
"35","34","2018-12-27","23-274","SAC","","LAL","W (+1)","0","27:07","2","8",".250","1","4",".250","5","5","1.000","2","4","6","0","0","0","1","4","10","5.2","+1"
"36","35","2018-12-30","23-277","SAC","@","LAL","L (-7)","0","23:39","1","4",".250","1","3",".333","2","2","1.000","1","3","4","0","0","0","0","0","5","4.2","-5"
"37","36","2019-01-01","23-279","SAC","","POR","L (-5)","0","23:58","2","6",".333","1","4",".250","0","0","","1","2","3","2","2","0","1","2","5","4.5","-2"
"38","37","2019-01-03","23-281","SAC","","DEN","L (-4)","0","20:31","1","5",".200","1","2",".500","0","0","","1","4","5","1","1","2","0","2","3","4.1","+9"
"39","38","2019-01-05","23-283","SAC","","GSW","L (-4)","0","34:14","10","14",".714","5","7",".714","3","3","1.000","0","5","5","1","1","0","1","1","28","24.0","-3"
"40","39","2019-01-07","23-285","SAC","","ORL","W (+16)","0","26:34","4","9",".444","2","4",".500","1","1","1.000","2","2","4","2","0","0","0","1","11","9.3","+28"
"41","40","2019-01-08","23-286","SAC","@","PHO","L (-4)","0","34:04","3","6",".500","3","5",".600","3","4",".750","2","4","6","4","0","0","2","2","12","11.2","-2"
"42","41","2019-01-10","23-288","SAC","","DET","W (+10)","0","19:46","3","10",".300","0","3",".000","1","1","1.000","1","1","2","1","0","0","1","2","7","1.1","+4"
"43","42","2019-01-12","23-290","SAC","","CHO","W (+7)","0","21:00","0","3",".000","0","3",".000","0","0","","0","1","1","2","0","1","1","3","0","-1.9","-2"
"44","43","2019-01-14","23-292","SAC","","POR","W (+8)","0","15:58","3","7",".429","3","6",".500","0","0","","0","3","3","0","0","1","0","0","9","6.9","+11"
"45","44","2019-01-17","23-295","SAC","@","CHO","L (-19)","0","24:07","2","5",".400","1","4",".250","1","2",".500","0","3","3","2","0","0","0","2","6","4.4","-14"
"46","45","2019-01-19","23-297","SAC","@","DET","W (+2)","0","11:52","0","3",".000","0","2",".000","0","0","","0","0","0","1","0","0","0","0","0","-1.4","-7"
"47","46","2019-01-21","23-299","SAC","@","BRK","L (-29)","0","29:02","6","8",".750","2","3",".667","0","0","","0","5","5","0","1","1","0","2","14","13.2","-19"
"48","47","2019-01-22","23-300","SAC","@","TOR","L (-15)","0","17:11","2","6",".333","0","2",".000","0","0","","0","0","0","1","0","0","0","2","4","0.5","-21"
"49","48","2019-01-25","23-303","SAC","@","MEM","W (+3)","0","12:19","0","4",".000","0","3",".000","0","0","","0","1","1","2","2","0","0","1","0","0.5","+3"
"50","49","2019-01-27","23-305","SAC","@","LAC","L (-14)","0","16:32","0","4",".000","0","3",".000","0","0","","1","3","4","1","1","0","2","2","0","-2.3","+7"
"51","50","2019-01-30","23-308","SAC","","ATL","W (+22)","0","19:37","2","4",".500","0","2",".000","2","2","1.000","0","3","3","3","1","0","0","0","6","8.0","+10"
"52","51","2019-02-02","23-311","SAC","","PHI","W (+7)","0","10:27","0","1",".000","0","0","","2","2","1.000","0","2","2","1","0","1","1","2","2","1.5","-15"
"53","52","2019-02-04","23-313","SAC","","SAS","W (+15)","0","7:36","0","2",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-1.1","-4"
"55","53","2019-02-08","23-317","DAL","","MIL","L (-15)","0","4:23","1","3",".333","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","3","1.3","+1"
"56","54","2019-02-10","23-319","DAL","","POR","W (+1)","0","4:13","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","+10"
"57","55","2019-02-11","23-320","DAL","@","HOU","L (-16)","0","11:18","3","5",".600","1","3",".333","2","2","1.000","0","0","0","1","1","0","0","1","9","8.0","-4"
"58","56","2019-02-13","23-322","DAL","","MIA","L (-11)","0","12:26","2","5",".400","0","2",".000","0","0","","0","1","1","1","0","0","1","0","4","1.3","+1"
"59","57","2019-02-22","23-331","DAL","","DEN","L (-10)","0","14:00","0","7",".000","0","3",".000","0","0","","0","5","5","0","0","0","0","1","0","-3.8","+7"
"60","58","2019-02-23","23-332","DAL","@","UTA","L (-16)","0","24:07","5","9",".556","2","4",".500","1","1","1.000","1","0","1","1","0","0","0","2","13","9.3","-6"
"61","59","2019-02-25","23-334","DAL","@","LAC","L (-9)","0","2:41","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-1"
"62","60","2019-02-27","23-336","DAL","","IND","W (+9)","0","14:23","2","4",".500","0","1",".000","0","1",".000","1","1","2","0","0","0","0","2","4","1.8","-1"
"63","61","2019-03-02","23-339","DAL","","MEM","L (-30)","0","11:25","1","4",".250","1","2",".500","1","2",".500","0","0","0","0","1","0","0","0","4","2.2","-4"
"64","62","2019-03-04","23-341","DAL","@","BRK","L (-39)","0","7:29","0","1",".000","0","1",".000","1","2",".500","0","1","1","0","0","0","0","0","1","0.2","+4"
"65","63","2019-03-06","23-343","DAL","@","WAS","L (-9)","0","25:23","6","10",".600","5","7",".714","1","2",".500","2","3","5","1","0","0","0","2","18","15.2","-1"
"66","64","2019-03-08","23-345","DAL","@","ORL","L (-5)","0","20:45","1","4",".250","1","2",".500","0","0","","0","2","2","1","1","0","0","2","3","2.1","-6"
"67","65","2019-03-10","23-347","DAL","","HOU","L (-1)","0","22:41","3","8",".375","1","4",".250","0","0","","1","1","2","0","0","1","1","2","7","2.5","-11"
"68","66","2019-03-12","23-349","DAL","","SAS","L (-7)","0","3:31","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-11"
"69","67","2019-03-14","23-351","DAL","@","DEN","L (-1)","0","5:28","0","2",".000","0","1",".000","0","0","","0","0","0","0","1","0","0","1","0","-0.8","-1"
"70","68","2019-03-16","23-353","DAL","","CLE","W (+5)","0","15:43","2","3",".667","0","1",".000","0","0","","1","4","5","2","0","0","1","2","4","4.2","+6"
"71","69","2019-03-18","23-355","DAL","","NOP","L (-4)","0","11:49","2","4",".500","0","1",".000","2","2","1.000","1","1","2","0","0","0","0","0","6","5.0","+5"
"72","70","2019-03-20","23-357","DAL","@","POR","L (-8)","0","33:45","8","15",".533","3","8",".375","2","2","1.000","2","2","4","1","0","0","0","1","21","16.0","-2"
"73","71","2019-03-21","23-358","DAL","@","SAC","L (-16)","1","32:44","9","16",".563","1","6",".167","0","1",".000","0","5","5","1","0","0","1","1","19","11.8","-10"
"74","72","2019-03-23","23-360","DAL","@","GSW","W (+35)","1","21:03","4","8",".500","1","5",".200","0","0","","1","1","2","2","0","0","0","0","9","7.4","+24"
"75","73","2019-03-26","23-363","DAL","","SAC","L (-4)","1","16:55","1","5",".200","0","3",".000","0","0","","0","1","1","0","0","0","1","0","2","-1.8","-11"
"76","74","2019-03-28","24-000","DAL","@","MIA","L (-6)","1","32:47","6","10",".600","2","3",".667","0","0","","1","3","4","2","2","0","0","1","14","14.0","-2"
"77","75","2019-03-31","24-003","DAL","@","OKC","W (+3)","1","12:50","2","3",".667","0","0","","0","0","","2","4","6","1","1","0","0","1","4","6.6","+4"
