"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"5","1","2018-10-27","22-215","MIA","","POR","W (+9)","0","19:12","3","8",".375","1","2",".500","3","5",".600","0","5","5","1","3","1","0","3","10","9.5","+1"
"6","2","2018-10-29","22-217","MIA","","SAC","L (-10)","0","23:53","3","9",".333","0","2",".000","3","5",".600","4","1","5","2","0","0","1","1","9","6.2","-4"
"7","3","2018-10-30","22-218","MIA","@","CHO","L (-12)","0","29:47","2","7",".286","0","1",".000","1","1","1.000","0","3","3","5","2","1","2","3","5","4.8","-6"
"8","4","2018-11-03","22-222","MIA","@","ATL","L (-5)","1","36:46","5","11",".455","2","4",".500","3","4",".750","6","4","10","8","2","2","5","3","15","17.1","-10"
"9","5","2018-11-05","22-224","MIA","@","DET","W (+5)","1","34:31","3","10",".300","1","2",".500","2","4",".500","0","6","6","5","3","0","1","4","9","8.1","0"
"10","6","2018-11-07","22-226","MIA","","SAS","W (+7)","1","30:50","7","17",".412","1","6",".167","1","1","1.000","0","5","5","3","0","0","4","3","16","5.3","-2"
"11","7","2018-11-09","22-228","MIA","","IND","L (-8)","1","27:47","4","13",".308","1","2",".500","2","3",".667","0","2","2","5","1","0","3","3","11","4.0","-18"
"12","8","2018-11-10","22-229","MIA","","WAS","L (-6)","1","32:00","4","12",".333","0","5",".000","0","0","","2","0","2","6","0","0","1","2","8","5.0","-10"
"13","9","2018-11-12","22-231","MIA","","PHI","L (-10)","1","20:52","2","5",".400","1","1","1.000","0","0","","0","3","3","3","0","0","0","2","5","4.5","-18"
"14","10","2018-11-14","22-233","MIA","@","BRK","W (+13)","1","33:59","2","8",".250","0","1",".000","2","2","1.000","1","10","11","3","0","0","4","2","6","2.2","+19"
"15","11","2018-11-16","22-235","MIA","@","IND","L (-8)","1","22:41","2","8",".250","1","5",".200","0","0","","0","6","6","6","1","0","2","2","5","4.4","+4"
"16","12","2018-11-18","22-237","MIA","","LAL","L (-16)","1","24:37","1","5",".200","1","3",".333","3","4",".750","2","4","6","2","0","0","1","0","6","5.5","-23"
"17","13","2018-11-20","22-239","MIA","","BRK","L (-12)","0","16:55","4","7",".571","2","3",".667","0","0","","1","1","2","1","0","0","1","3","10","6.2","+11"
"18","14","2018-11-23","22-242","MIA","@","CHI","W (+7)","0","28:47","2","6",".333","1","3",".333","5","8",".625","0","10","10","1","1","1","3","2","10","7.0","+25"
"19","15","2018-11-25","22-244","MIA","@","TOR","L (-10)","0","30:28","3","10",".300","1","2",".500","2","2","1.000","2","2","4","3","1","0","0","3","9","7.1","+15"
"20","16","2018-11-27","22-246","MIA","","ATL","L (-2)","0","25:33","5","9",".556","1","2",".500","0","0","","0","3","3","3","1","0","6","5","11","2.7","+4"
