"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","27-181","MIA","@","ORL","L (-3)","0","15:25","1","4",".250","0","3",".000","2","2","1.000","1","0","1","0","0","0","1","3","4","0.1","-16"
"2","2","2018-10-18","27-182","MIA","@","WAS","W (+1)","0","15:22","4","6",".667","1","2",".500","0","0","","2","2","4","1","0","1","0","2","9","9.0","0"
"3","3","2018-10-20","27-184","MIA","","CHO","L (-1)","0","15:30","3","6",".500","1","3",".333","1","2",".500","1","2","3","2","0","1","1","2","8","6.2","-14"
"4","4","2018-10-24","27-188","MIA","","NYK","W (+23)","1","30:23","4","8",".500","1","5",".200","2","2","1.000","0","3","3","6","1","0","0","1","11","12.7","+25"
"5","5","2018-10-27","27-191","MIA","","POR","W (+9)","1","28:48","6","9",".667","3","6",".500","4","5",".800","1","4","5","5","1","0","1","2","19","19.3","+8"
"6","6","2018-10-29","27-193","MIA","","SAC","L (-10)","1","15:45","1","7",".143","1","5",".200","0","0","","0","2","2","0","1","1","2","2","3","-2.0","-9"
"7","7","2018-10-30","27-194","MIA","@","CHO","L (-12)","1","21:25","4","6",".667","1","3",".333","5","6",".833","2","1","3","3","2","0","2","3","14","13.6","-3"
"8","8","2018-11-03","27-198","MIA","@","ATL","L (-5)","1","13:48","0","2",".000","0","2",".000","0","0","","0","1","1","0","0","0","1","2","0","-2.9","-6"
"9","9","2018-11-05","27-200","MIA","@","DET","W (+5)","0","23:57","3","10",".300","3","9",".333","4","5",".800","0","5","5","4","1","2","2","5","13","9.5","+3"
"10","10","2018-11-07","27-202","MIA","","SAS","W (+7)","0","12:35","0","0","","0","0","","1","2",".500","1","3","4","3","0","0","2","4","1","0.7","+10"
"11","11","2018-11-09","27-204","MIA","","IND","L (-8)","0","21:16","6","8",".750","3","5",".600","5","7",".714","0","4","4","2","0","0","1","1","20","17.2","+2"
"12","12","2018-11-10","27-205","MIA","","WAS","L (-6)","0","11:36","1","3",".333","1","3",".333","2","2","1.000","0","1","1","2","0","0","2","1","5","2.6","-4"
"13","13","2018-11-12","27-207","MIA","","PHI","L (-10)","0","22:11","3","5",".600","1","3",".333","6","6","1.000","1","6","7","2","1","0","4","5","13","9.6","+8"
"14","14","2018-11-14","27-209","MIA","@","BRK","W (+13)","0","15:52","3","4",".750","1","2",".500","1","3",".333","1","4","5","3","0","1","3","4","8","5.7","+6"
"15","15","2018-11-16","27-211","MIA","@","IND","L (-8)","0","16:28","0","7",".000","0","2",".000","0","0","","3","3","6","1","1","0","2","0","0","-2.2","-14"
