"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-18","22-313","WAS","","MIA","L (-1)","0","20:14","2","8",".250","0","3",".000","5","6",".833","2","4","6","0","0","1","1","1","9","5.7","-3",".423",".250","11.9","17.3","15.0","0.0","0.0","3.8","8.6","24.6","93","112"
"2","2","2018-10-20","22-315","WAS","","TOR","L (-4)","0","19:02","3","8",".375","1","4",".250","1","1","1.000","1","5","6","0","0","0","2","1","8","3.4","-3",".474",".438","5.4","30.0","17.0","0.0","0.0","0.0","19.2","23.1","81","116"
"3","3","2018-10-22","22-317","WAS","@","POR","W (+1)","0","39:23","9","13",".692","3","3","1.000","1","1","1.000","1","5","6","0","1","1","0","5","22","18.4","+6",".818",".808","2.1","11.4","6.5","0.0","1.1","2.0","0.0","13.8","161","106"
"4","4","2018-10-24","22-319","WAS","@","GSW","L (-22)","0","29:34","5","10",".500","3","6",".500","4","4","1.000","1","3","4","0","0","0","3","3","17","9.4","-26",".723",".650","3.6","13.2","7.9","0.0","0.0","0.0","20.3","20.4","113","139"
"5","5","2018-10-26","22-321","WAS","@","SAC","L (-4)","0","28:53","8","13",".615","5","8",".625","1","1","1.000","1","8","9","2","1","1","1","2","22","20.5","0",".818",".808","3.8","26.1","15.7","12.4","1.5","2.9","6.9","20.5","146","103"
"6","6","2018-10-28","22-323","WAS","@","LAC","L (-32)","0","25:42","2","12",".167","1","7",".143","4","4","1.000","0","4","4","1","0","0","3","1","9","-0.1","-18",".327",".208","0.0","16.6","7.3","5.5","0.0","0.0","17.9","25.4","62","131"
"7","7","2018-10-30","22-325","WAS","@","MEM","L (-12)","0","28:48","4","10",".400","1","5",".200","7","8",".875","1","1","2","1","2","1","2","3","16","11.4","-2",".592",".450","4.5","4.4","4.4","6.6","3.5","3.6","12.9","25.2","109","110"
"8","8","2018-11-02","22-328","WAS","","OKC","L (-23)","0","32:26","6","17",".353","0","6",".000","2","3",".667","1","3","4","0","0","2","2","3","14","3.9","-30",".382",".353","4.0","14.3","8.7","0.0","0.0","5.5","9.8","26.9","72","132"
"9","9","2018-11-04","22-330","WAS","","NYK","W (+13)","1","24:06","3","8",".375","1","3",".333","2","4",".500","0","4","4","1","1","1","1","2","9","5.6","0",".461",".438","0.0","17.0","8.1","6.6","2.0","3.0","9.3","18.9","92","97"
"10","10","2018-11-06","22-332","WAS","@","DAL","L (-19)","0","22:49","3","10",".300","0","5",".000","0","0","","0","2","2","1","0","0","0","2","6","0.7","-10",".300",".300","0.0","11.4","5.1","6.9","0.0","0.0","0.0","19.9","63","128"
