"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-18","25-242","LAL","@","POR","L (-9)","1","27:18","1","3",".333","1","1","1.000","2","2","1.000","0","2","2","0","0","0","0","1","5","3.5","+8",".644",".500","0.0","6.8","3.5","0.0","0.0","0.0","0.0","5.6","135","123"
"2","2","2018-10-20","25-244","LAL","","HOU","L (-9)","1","18:08","2","8",".250","0","3",".000","1","2",".500","0","3","3","1","0","0","0","0","5","1.4","+3",".282",".250","0.0","16.5","8.1","6.2","0.0","0.0","0.0","19.9","65","120"
"3","3","2018-10-22","25-246","LAL","","SAS","L (-1)","1","19:03","1","4",".250","0","2",".000","2","2","1.000","1","1","2","0","0","0","0","1","4","2.2","-14",".410",".250","5.6","5.7","5.6","0.0","0.0","0.0","0.0","10.2","106","131"
"4","4","2018-10-24","25-248","LAL","@","PHO","W (+18)","0","32:43","6","14",".429","1","6",".167","1","1","1.000","0","2","2","1","1","0","1","2","14","7.1","+5",".485",".464","0.0","7.2","3.4","3.4","1.4","0.0","6.5","19.2","94","115"
"5","5","2018-10-25","25-249","LAL","","DEN","W (+7)","0","22:01","2","5",".400","2","4",".500","2","2","1.000","0","2","2","0","0","0","2","1","8","3.5","-13",".680",".600","0.0","10.1","5.1","0.0","0.0","0.0","25.4","14.9","97","115"
"6","6","2018-10-27","25-251","LAL","@","SAS","L (-4)","0","16:04","1","2",".500","0","0","","0","0","","0","1","1","1","0","1","0","1","2","2.3","-1",".500",".500","0.0","6.4","3.3","7.9","0.0","4.0","0.0","5.4","119","110"
"7","7","2018-10-29","25-253","LAL","@","MIN","L (-4)","0","6:45","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-0.4","+7",".000",".000","0.0","13.9","7.2","0.0","0.0","0.0","0.0","5.5","0","124"
"8","8","2018-10-31","25-255","LAL","","DAL","W (+1)","0","20:54","2","5",".400","0","1",".000","5","5","1.000","0","2","2","0","2","0","2","0","9","6.9","-10",".625",".400","0.0","11.2","5.8","0.0","4.4","0.0","21.7","18.4","102","106"
"9","9","2018-11-03","25-258","LAL","@","POR","W (+4)","0","15:05","3","4",".750","1","1","1.000","0","0","","0","1","1","0","2","0","1","0","7","6.7","+18",".875",".875","0.0","5.6","3.2","0.0","5.9","0.0","20.0","13.6","128","99"
"10","10","2018-11-04","25-259","LAL","","TOR","L (-14)","0","16:58","1","5",".200","0","4",".000","0","0","","0","2","2","0","0","0","1","0","2","-1.5","-8",".200",".200","0.0","12.6","6.5","0.0","0.0","0.0","16.7","14.9","34","122"
"11","11","2018-11-07","25-262","LAL","","MIN","W (+4)","0","12:57","2","4",".500","1","3",".333","0","0","","0","1","1","0","0","0","0","1","5","2.9","+1",".625",".625","0.0","8.1","4.3","0.0","0.0","0.0","0.0","13.1","124","120"
"12","12","2018-11-10","25-265","LAL","@","SAC","W (+15)","0","17:40","4","10",".400","2","7",".286","1","2",".500","0","2","2","1","0","0","0","1","11","6.1","+14",".506",".500","0.0","9.9","5.0","9.0","0.0","0.0","0.0","24.5","113","92"
"13","13","2018-11-11","25-266","LAL","","ATL","W (+1)","0","15:58","4","8",".500","3","6",".500","0","0","","1","1","2","2","2","0","1","2","11","9.6","-24",".688",".688","5.9","7.3","6.5","22.3","5.8","0.0","11.1","21.7","129","99"
"14","14","2018-11-14","25-269","LAL","","POR","W (+9)","0","17:22","4","8",".500","3","4",".750","2","2","1.000","0","4","4","2","2","0","1","2","13","11.8","+7",".732",".688","0.0","23.0","11.6","16.8","5.3","0.0","10.1","23.3","136","105"
