"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","30-017","GSW","","OKC","W (+8)","1","37:43","9","21",".429","0","5",".000","9","10",".900","1","7","8","6","1","1","3","4","27","19.6","+14",".531",".429","2.8","15.6","9.9","25.0","1.2","2.4","10.6","29.2","116","98"
"2","2","2018-10-19","30-020","GSW","@","UTA","W (+1)","1","39:38","14","25",".560","1","1","1.000","9","9","1.000","0","9","9","7","1","1","2","3","38","32.2","-1",".656",".580","0.0","24.2","13.5","26.5","1.2","2.8","6.5","33.8","135","119"
"3","3","2018-10-21","30-022","GSW","@","DEN","L (-2)","1","38:37","7","19",".368","0","4",".000","6","7",".857","0","11","11","7","1","1","4","2","20","14.2","0",".453",".368","0.0","29.1","15.7","31.9","1.3","2.3","15.3","30.1","89","98"
"4","4","2018-10-22","30-023","GSW","","PHO","W (+20)","1","26:29","9","17",".529","2","3",".667","2","2","1.000","0","4","4","3","1","0","3","3","22","13.8","+16",".615",".588","0.0","16.1","8.5","19.0","1.8","0.0","14.4","33.4","103","103"
"5","5","2018-10-24","30-025","GSW","","WAS","W (+22)","1","31:32","13","18",".722","1","3",".333","3","3","1.000","0","8","8","7","1","1","3","0","30","28.6","+26",".776",".750","0.0","27.1","14.9","32.1","1.4","3.0","13.4","28.8","141","111"
"6","6","2018-10-26","30-027","GSW","@","NYK","W (+28)","1","36:08","17","24",".708","5","9",".556","2","2","1.000","1","8","9","5","0","0","3","0","41","34.6","+17",".824",".813","3.8","24.2","15.1","23.4","0.0","0.0","10.8","34.8","148","104"
"7","7","2018-10-28","30-029","GSW","@","BRK","W (+6)","1","39:08","11","20",".550","2","6",".333","10","11",".909","0","8","8","6","1","1","3","0","34","29.3","-2",".684",".600","0.0","24.5","11.7","24.1","1.2","2.7","10.8","30.6","133","116"
"8","8","2018-10-29","30-030","GSW","@","CHI","W (+25)","1","28:08","5","9",".556","1","4",".250","3","3","1.000","0","2","2","7","1","1","0","2","14","16.1","+45",".678",".611","0.0","6.4","3.7","26.9","1.6","2.9","0.0","15.4","163","120"
"9","9","2018-10-31","30-032","GSW","","NOP","W (+10)","1","40:09","10","17",".588","2","3",".667","2","3",".667","0","5","5","8","2","0","2","0","24","22.8","+12",".655",".647","0.0","13.0","6.8","27.3","2.3","0.0","9.8","20.4","131","116"
"10","10","2018-11-02","30-034","GSW","","MIN","W (+17)","1","36:02","11","19",".579","3","5",".600","8","9",".889","0","13","13","3","0","1","4","2","33","25.6","+17",".719",".658","0.0","30.4","17.3","14.1","0.0","2.4","14.8","31.6","124","97"
