"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","19-067","NYK","","ATL","W (+19)","0","23:38","4","16",".250","1","5",".200","1","3",".333","0","0","0","0","2","1","2","2","10","-0.5","+1",".289",".281","0.0","0.0","0.0","0.0","3.6","3.8","10.4","30.7","55","93"
"2","2","2018-10-19","19-069","NYK","@","BRK","L (-2)","0","28:08","7","14",".500","3","4",".750","0","0","","3","3","6","0","0","0","0","3","17","11.8","-4",".607",".607","9.3","14.2","11.2","0.0","0.0","0.0","0.0","22.0","131","119"
"3","3","2018-10-20","19-070","NYK","","BOS","L (-2)","0","4:07","0","1",".000","0","0","","1","2",".500","0","0","0","0","0","0","0","0","1","-0.1","0",".266",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.1","62","113"
"11","4","2018-11-05","19-086","NYK","","CHI","L (-1)","0","4:59","1","2",".500","0","0","","0","0","","0","0","0","0","1","0","1","0","2","1.0","-1",".500",".500","0.0","0.0","0.0","0.0","10.4","0.0","33.3","25.7","64","89"
"12","5","2018-11-07","19-088","NYK","@","ATL","W (+5)","0","9:10","0","6",".000","0","3",".000","0","0","","0","0","0","1","0","0","1","0","0","-4.5","-14",".000",".000","0.0","0.0","0.0","15.4","0.0","0.0","14.3","32.2","11","116"
"13","6","2018-11-10","19-091","NYK","@","TOR","L (-16)","0","24:14","4","11",".364","2","4",".500","2","2","1.000","1","1","2","1","0","1","0","3","12","7.1","-6",".505",".455","4.0","4.6","4.3","5.5","0.0","4.5","0.0","19.7","122","135"
"14","7","2018-11-11","19-092","NYK","","ORL","L (-26)","0","25:35","4","11",".364","2","6",".333","7","10",".700","2","0","2","0","1","0","2","2","17","9.3","-13",".552",".455","6.8","0.0","3.5","0.0","1.8","0.0","11.5","27.2","107","118"
"15","8","2018-11-14","19-095","NYK","@","OKC","L (-25)","1","29:20","5","16",".313","2","7",".286","3","3","1.000","1","4","5","1","1","0","3","3","15","5.2","-14",".433",".375","3.8","16.4","9.9","5.3","1.6","0.0","14.8","28.6","81","127"
"16","9","2018-11-16","19-097","NYK","@","NOP","L (-5)","1","20:50","4","9",".444","3","6",".500","0","1",".000","2","3","5","2","1","0","2","4","11","7.0","+3",".583",".611","8.4","16.1","11.8","11.9","2.1","0.0","17.5","21.7","110","117"
"17","10","2018-11-18","19-099","NYK","@","ORL","L (-14)","1","23:26","2","8",".250","0","3",".000","0","0","","1","1","2","0","0","0","1","3","4","-2.0","-17",".250",".250","4.6","6.4","5.3","0.0","0.0","0.0","11.1","15.8","62","137"
"18","11","2018-11-20","19-101","NYK","","POR","L (-4)","0","12:35","1","3",".333","0","2",".000","0","0","","0","1","1","0","0","1","0","0","2","1.3","-2",".333",".333","0.0","8.3","4.5","0.0","0.0","6.4","0.0","10.6","73","126"
"19","12","2018-11-21","19-102","NYK","@","BOS","W (+8)","0","25:44","3","5",".600","2","2","1.000","3","4",".750","0","9","9","0","0","1","1","3","11","9.5","+11",".814",".800","0.0","30.5","17.0","0.0","0.0","2.9","12.9","12.8","136","102"
"20","13","2018-11-23","19-104","NYK","","NOP","W (+5)","0","9:19","2","5",".400","1","4",".250","0","0","","0","0","0","0","0","1","0","3","5","1.8","-9",".500",".500","0.0","0.0","0.0","0.0","0.0","7.1","0.0","23.2","103","117"
"21","14","2018-11-25","19-106","NYK","@","MEM","W (+5)","0","7:26","0","3",".000","0","2",".000","0","0","","0","2","2","0","0","1","0","2","0","-1.6","-4",".000",".000","0.0","26.9","13.3","0.0","0.0","11.5","0.0","17.3","0","94"
"22","15","2018-11-27","19-108","NYK","@","DET","L (-7)","0","15:31","1","7",".143","0","2",".000","2","3",".667","1","2","3","0","0","0","1","3","4","-1.8","-4",".240",".143","5.7","14.1","9.5","0.0","0.0","0.0","10.7","24.4","55","115"
"23","16","2018-11-28","19-109","NYK","@","PHI","L (-26)","0","23:28","3","9",".333","1","2",".500","2","2","1.000","0","7","7","1","1","0","2","0","9","5.7","-17",".455",".389","0.0","37.7","15.7","7.9","2.0","0.0","16.8","21.2","81","115"
"24","17","2018-12-01","19-112","NYK","","MIL","W (+2)","0","36:49","9","20",".450","5","12",".417","3","5",".600","0","4","4","4","1","1","2","3","26","17.3","+5",".586",".575","0.0","12.8","6.3","15.1","1.3","2.8","8.3","28.7","110","118"
"25","18","2018-12-03","19-114","NYK","","WAS","L (-3)","0","27:58","3","11",".273","0","3",".000","2","4",".500","1","8","9","4","1","0","2","2","8","4.8","-3",".313",".273","3.5","31.2","16.6","21.6","1.8","0.0","13.6","21.4","81","111"
"26","19","2018-12-06","19-117","NYK","@","BOS","L (-28)","0","24:45","4","12",".333","2","6",".333","1","2",".500","1","3","4","2","0","0","2","1","11","4.4","-19",".427",".417","3.7","14.5","8.3","13.7","0.0","0.0","13.4","24.9","85","131"
"27","20","2018-12-08","19-119","NYK","","BRK","L (-8)","0","20:20","3","6",".500","0","1",".000","1","3",".333","1","3","4","1","0","0","1","0","7","4.5","+1",".478",".500","5.6","16.5","11.1","7.4","0.0","0.0","12.0","18.2","94","120"
"28","21","2018-12-09","19-120","NYK","","CHO","L (-12)","0","41:14","10","25",".400","4","8",".500","2","2","1.000","3","12","15","0","1","0","0","2","26","18.4","-7",".502",".480","7.9","35.8","21.0","0.0","1.1","0.0","0.0","26.6","105","114"
"29","22","2018-12-12","19-123","NYK","@","CLE","L (-7)","1","32:43","7","15",".467","3","6",".500","2","2","1.000","0","7","7","1","0","2","1","3","19","13.3","-15",".598",".567","0.0","22.3","10.9","4.8","0.0","5.1","5.9","22.1","113","113"
"30","23","2018-12-14","19-125","NYK","@","CHO","W (+2)","1","42:06","7","15",".467","3","6",".500","3","6",".500","0","3","3","3","1","1","0","4","20","14.2","-9",".567",".567","0.0","8.2","3.9","9.9","1.1","2.3","0.0","18.3","119","117"
"31","24","2018-12-16","19-127","NYK","@","IND","L (-11)","1","35:11","6","15",".400","3","9",".333","0","2",".000","1","3","4","1","2","0","3","3","15","6.2","-5",".472",".500","2.9","9.7","6.1","4.7","2.8","0.0","15.9","22.7","83","113"
"32","25","2018-12-17","19-128","NYK","","PHO","L (-18)","1","37:24","6","16",".375","2","7",".286","3","4",".750","3","2","5","0","0","0","1","5","17","7.5","-2",".479",".438","6.9","6.8","6.8","0.0","0.0","0.0","5.3","19.6","106","126"
"33","26","2018-12-19","19-130","NYK","@","PHI","L (-22)","1","35:57","8","17",".471","3","6",".500","2","2","1.000","1","5","6","0","0","0","1","2","21","12.7","-15",".587",".559","2.9","16.7","9.3","0.0","0.0","0.0","5.3","23.4","106","134"
"34","27","2018-12-21","19-132","NYK","","ATL","L (-7)","1","36:36","8","17",".471","3","7",".429","5","6",".833","1","5","6","1","1","0","3","2","24","15.0","-11",".611",".559","3.0","14.3","8.8","4.3","1.3","0.0","13.3","27.9","106","115"
"35","28","2018-12-25","19-136","NYK","","MIL","L (-14)","1","37:28","8","20",".400","1","5",".200","4","4","1.000","3","3","6","3","0","0","3","4","21","10.7","-7",".483",".425","6.4","8.0","7.1","15.5","0.0","0.0","12.1","26.4","97","109"
"36","29","2018-12-27","19-138","NYK","@","MIL","L (-16)","1","38:41","4","15",".267","1","6",".167","3","6",".500","1","5","6","0","1","0","1","5","12","2.1","-19",".340",".300","2.2","14.1","7.4","0.0","1.2","0.0","5.4","20.3","70","112"
"37","30","2018-12-29","19-140","NYK","@","UTA","L (-32)","1","41:16","4","12",".333","3","4",".750","1","2",".500","1","4","5","1","0","1","1","1","12","6.7","-29",".466",".458","2.2","11.1","6.1","4.3","0.0","2.0","7.2","14.6","91","133"
"38","31","2019-01-01","19-143","NYK","@","DEN","L (-7)","1","38:42","7","16",".438","2","7",".286","2","3",".667","0","4","4","1","1","0","0","0","18","12.1","-2",".520",".500","0.0","11.3","5.2","3.7","1.3","0.0","0.0","19.7","111","126"
"39","32","2019-01-04","19-146","NYK","@","LAL","W (+7)","1","37:00","4","12",".333","2","5",".400","4","4","1.000","1","4","5","1","1","0","0","4","14","9.2","+8",".509",".417","2.3","9.4","5.8","4.1","1.2","0.0","0.0","14.5","115","109"
"40","33","2019-01-07","19-149","NYK","@","POR","L (-10)","1","21:34","1","6",".167","1","2",".500","5","6",".833","0","3","3","1","1","0","1","4","8","3.8","-8",".463",".250","0.0","14.5","6.7","6.6","2.3","0.0","10.4","19.2","97","113"
"41","34","2019-01-08","19-150","NYK","@","GSW","L (-27)","1","31:38","4","11",".364","0","4",".000","4","4","1.000","0","2","2","0","0","0","3","3","12","2.3","-24",".470",".364","0.0","6.7","3.4","0.0","0.0","0.0","19.0","21.1","80","130"
"42","35","2019-01-11","19-153","NYK","","IND","L (-15)","1","27:36","5","10",".500","2","5",".400","2","2","1.000","0","2","2","2","0","0","3","0","14","8.0","-11",".643",".600","0.0","8.7","4.1","11.5","0.0","0.0","21.6","21.7","102","128"
"43","36","2019-01-13","19-155","NYK","","PHI","L (-3)","1","43:52","12","23",".522","4","9",".444","3","4",".750","0","7","7","0","2","0","4","4","31","17.8","+11",".626",".609","0.0","19.6","8.5","0.0","2.2","0.0","13.9","28.8","98","107"
"44","37","2019-01-17","19-159","NYK","@","WAS","L (-1)","1","30:41","2","11",".182","0","6",".000","1","2",".500","1","3","4","1","0","0","0","2","5","-0.8","-7",".210",".182","3.7","9.2","6.7","4.4","0.0","0.0","0.0","17.5","56","109"
