"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","27-066","MIL","@","CHO","W (+1)","1","32:46","7","14",".500","3","6",".500","2","2","1.000","1","8","9","4","2","1","2","3","19","17.4","+2"
"2","2","2018-10-19","27-068","MIL","","IND","W (+17)","1","30:34","7","15",".467","5","9",".556","4","6",".667","1","3","4","4","1","0","3","2","23","16.1","+24"
"3","3","2018-10-22","27-071","MIL","","NYK","W (+11)","1","34:56","11","14",".786","7","8",".875","1","2",".500","0","7","7","2","1","0","2","3","30","25.5","+16"
"4","4","2018-10-24","27-073","MIL","","PHI","W (+15)","1","33:29","6","18",".333","3","8",".375","10","10","1.000","0","4","4","4","1","0","2","4","25","16.2","+15"
"5","5","2018-10-26","27-075","MIL","@","MIN","W (+30)","1","24:34","6","10",".600","4","7",".571","0","0","","0","4","4","1","2","1","2","2","16","13.2","+17"
"6","6","2018-10-27","27-076","MIL","","ORL","W (+22)","1","26:41","4","9",".444","2","4",".500","8","8","1.000","0","7","7","4","1","0","3","2","18","15.4","+17"
"7","7","2018-10-29","27-078","MIL","","TOR","W (+15)","1","31:15","4","11",".364","4","9",".444","2","3",".667","0","4","4","8","2","0","3","4","14","11.7","+18"
"8","8","2018-11-01","27-081","MIL","@","BOS","L (-4)","1","34:17","6","18",".333","3","10",".300","1","1","1.000","1","3","4","5","2","0","3","2","16","9.1","-11"
"9","9","2018-11-04","27-084","MIL","","SAC","W (+35)","1","22:03","3","12",".250","3","8",".375","3","3","1.000","0","3","3","3","1","0","1","0","12","7.8","+11"
"10","10","2018-11-06","27-086","MIL","@","POR","L (-15)","1","35:30","8","19",".421","4","10",".400","2","2","1.000","2","6","8","6","0","0","1","4","22","16.7","-10"
"11","11","2018-11-08","27-088","MIL","@","GSW","W (+23)","1","28:55","6","16",".375","2","9",".222","3","4",".750","1","2","3","6","3","1","2","3","17","13.8","+31"
"12","12","2018-11-10","27-090","MIL","@","LAC","L (-2)","1","28:33","6","13",".462","2","4",".500","0","0","","0","3","3","5","1","0","5","6","14","5.3","-1"
"13","13","2018-11-11","27-091","MIL","@","DEN","W (+7)","1","34:28","8","12",".667","3","5",".600","2","2","1.000","1","4","5","2","0","0","3","3","21","14.9","+11"
"14","14","2018-11-14","27-094","MIL","","MEM","L (-3)","1","32:16","8","16",".500","2","7",".286","7","7","1.000","1","4","5","3","0","0","2","1","25","18.6","-19"
"15","15","2018-11-16","27-096","MIL","","CHI","W (+19)","1","33:06","9","15",".600","2","6",".333","3","3","1.000","0","10","10","8","2","0","2","3","23","23.5","+18"
"16","16","2018-11-19","27-099","MIL","","DEN","W (+6)","1","36:51","4","15",".267","1","8",".125","4","4","1.000","1","5","6","5","2","0","0","2","13","11.0","+6"
"17","17","2018-11-21","27-101","MIL","","POR","W (+43)","1","23:32","7","12",".583","2","5",".400","5","5","1.000","0","7","7","4","2","0","1","3","21","20.1","+26"
"18","18","2018-11-23","27-103","MIL","","PHO","L (-2)","1","29:55","4","9",".444","2","4",".500","5","5","1.000","0","6","6","4","1","0","4","4","15","10.3","-7"
"19","19","2018-11-24","27-104","MIL","","SAS","W (+6)","1","34:50","8","14",".571","4","9",".444","1","2",".500","0","4","4","2","1","0","3","1","21","14.2","+11"
"20","20","2018-11-26","27-106","MIL","@","CHO","L (-3)","1","38:58","4","18",".222","3","12",".250","3","3","1.000","0","9","9","2","2","0","5","2","14","3.3","-2"
"21","21","2018-11-28","27-108","MIL","","CHI","W (+3)","1","31:09","6","13",".462","3","6",".500","2","3",".667","0","6","6","4","0","0","0","3","17","13.3","-7"
"22","22","2018-12-01","27-111","MIL","@","NYK","L (-2)","1","18:31","3","11",".273","3","6",".500","1","2",".500","0","4","4","2","1","0","1","1","10","5.3","-9"
"24","23","2018-12-07","27-117","MIL","","GSW","L (-10)","1","26:57","4","14",".286","1","7",".143","1","4",".250","1","7","8","0","1","0","2","4","10","0.8","+5"
"25","24","2018-12-09","27-119","MIL","@","TOR","W (+5)","1","33:32","3","9",".333","2","5",".400","2","3",".667","0","9","9","5","1","0","5","3","10","5.5","-4"
"26","25","2018-12-10","27-120","MIL","","CLE","W (+16)","1","28:27","5","16",".313","2","5",".400","4","4","1.000","0","7","7","3","0","0","3","2","16","7.2","+20"
"27","26","2018-12-12","27-122","MIL","@","IND","L (-16)","1","33:38","4","18",".222","0","7",".000","2","2","1.000","0","8","8","3","1","0","2","3","10","1.3","-4"
"29","27","2018-12-17","27-127","MIL","@","DET","W (+3)","1","36:33","7","16",".438","3","6",".500","5","6",".833","0","2","2","6","1","0","1","3","22","16.8","+15"
"30","28","2018-12-19","27-129","MIL","","NOP","W (+8)","1","33:15","5","13",".385","0","5",".000","4","4","1.000","0","5","5","5","2","0","3","1","14","10.5","-9"
"31","29","2018-12-21","27-131","MIL","@","BOS","W (+13)","1","33:37","8","20",".400","4","9",".444","1","2",".500","3","6","9","5","1","0","2","4","21","14.6","-3"
"32","30","2018-12-22","27-132","MIL","@","MIA","L (-7)","1","34:31","7","18",".389","2","11",".182","2","2","1.000","0","7","7","4","2","0","4","1","18","10.7","+4"
"33","31","2018-12-25","27-135","MIL","@","NYK","W (+14)","1","29:28","2","12",".167","1","7",".143","1","1","1.000","0","6","6","3","1","0","1","3","6","1.1","+3"
"34","32","2018-12-27","27-137","MIL","","NYK","W (+16)","1","32:35","10","17",".588","1","3",".333","4","4","1.000","1","5","6","5","0","0","2","1","25","20.4","+1"
"35","33","2018-12-29","27-139","MIL","","BRK","W (+14)","1","34:48","11","15",".733","4","6",".667","3","3","1.000","0","4","4","7","1","0","0","2","29","29.2","+20"
"36","34","2019-01-01","27-142","MIL","","DET","W (+23)","1","28:01","9","14",".643","1","4",".250","3","4",".750","3","2","5","2","0","0","4","2","22","14.7","+20"
"37","35","2019-01-04","27-145","MIL","","ATL","W (+32)","1","22:07","7","8",".875","4","4","1.000","1","2",".500","0","1","1","4","3","0","1","1","19","20.5","+29"
"38","36","2019-01-05","27-146","MIL","","TOR","L (-7)","1","32:04","6","13",".462","2","6",".333","0","1",".000","0","2","2","9","1","0","1","6","14","11.4","-18"
"39","37","2019-01-07","27-148","MIL","","UTA","W (+12)","1","32:39","5","15",".333","2","5",".400","2","3",".667","0","7","7","5","1","0","1","2","14","9.9","+13"
"40","38","2019-01-09","27-150","MIL","@","HOU","W (+7)","1","34:33","5","14",".357","2","5",".400","3","4",".750","0","3","3","4","3","0","0","3","15","12.3","-4"
"41","39","2019-01-11","27-152","MIL","@","WAS","L (-7)","1","36:38","8","17",".471","3","9",".333","6","7",".857","0","8","8","3","1","0","3","2","25","17.6","+2"
"42","40","2019-01-13","27-154","MIL","@","ATL","W (+19)","1","28:09","8","19",".421","0","2",".000","1","2",".500","1","10","11","4","0","0","4","4","17","7.4","+11"
"43","41","2019-01-15","27-156","MIL","","MIA","W (+38)","1","26:05","4","11",".364","2","3",".667","1","2",".500","1","7","8","4","0","0","1","0","11","9.1","+19"
"44","42","2019-01-16","27-157","MIL","@","MEM","W (+10)","1","26:51","4","8",".500","0","1",".000","3","3","1.000","0","6","6","5","1","0","2","2","11","10.5","+28"
"45","43","2019-01-19","27-160","MIL","@","ORL","W (+10)","1","27:52","6","15",".400","1","3",".333","2","2","1.000","0","3","3","3","0","0","1","0","15","8.9","+2"
"46","44","2019-01-21","27-162","MIL","","DAL","W (+10)","1","33:06","6","18",".333","1","7",".143","0","0","","2","6","8","3","0","1","3","1","13","5.4","+8"
"47","45","2019-01-25","27-166","MIL","","CHO","W (+9)","1","33:12","6","12",".500","2","5",".400","1","1","1.000","0","5","5","4","1","0","1","1","15","12.9","+17"
"48","46","2019-01-27","27-168","MIL","@","OKC","L (-6)","1","34:10","8","15",".533","3","7",".429","3","4",".750","0","4","4","6","1","0","2","2","22","17.9","+8"
"49","47","2019-01-29","27-170","MIL","@","DET","W (+10)","1","33:52","6","13",".462","1","3",".333","2","2","1.000","0","6","6","6","0","0","6","0","15","8.3","+16"
"50","48","2019-01-31","27-172","MIL","@","TOR","W (+13)","1","35:25","7","9",".778","1","1","1.000","3","4",".750","2","4","6","4","2","0","3","2","18","17.7","+17"
"51","49","2019-02-02","27-174","MIL","@","WAS","W (+16)","1","29:40","8","14",".571","4","7",".571","0","0","","1","6","7","6","0","0","3","1","20","16.7","+28"
"52","50","2019-02-04","27-176","MIL","@","BRK","W (+19)","1","24:41","4","12",".333","0","2",".000","4","4","1.000","1","7","8","4","0","1","2","1","12","9.1","+10"
"53","51","2019-02-06","27-178","MIL","","WAS","W (+19)","1","26:54","6","10",".600","3","5",".600","1","1","1.000","0","2","2","4","1","0","3","1","16","12.4","-2"
"55","52","2019-02-09","27-181","MIL","","ORL","L (-20)","1","32:16","4","17",".235","0","4",".000","3","3","1.000","2","10","12","4","1","0","1","2","11","7.1","-16"
