"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-16","28-250","GSW","","OKC","W (+8)","1","34:59","5","20",".250","1","8",".125","3","3","1.000","1","3","4","0","0","0","2","3","14","0.4","+2"
"2","2","2018-10-19","28-253","GSW","@","UTA","W (+1)","1","35:53","4","9",".444","0","2",".000","4","4","1.000","1","3","4","1","0","1","2","2","12","7.5","-8"
"3","3","2018-10-21","28-255","GSW","@","DEN","L (-2)","1","36:19","7","16",".438","1","6",".167","0","0","","0","7","7","0","1","1","3","3","15","6.2","-1"
"4","4","2018-10-22","28-256","GSW","","PHO","W (+20)","1","25:08","6","14",".429","1","6",".167","3","3","1.000","0","3","3","4","0","2","0","1","16","13.3","+22"
"5","5","2018-10-24","28-258","GSW","","WAS","W (+22)","1","29:35","8","17",".471","1","5",".200","2","2","1.000","0","2","2","1","1","0","1","2","19","10.8","+14"
"6","6","2018-10-26","28-260","GSW","@","NYK","W (+28)","1","33:43","6","18",".333","0","4",".000","0","0","","0","4","4","3","1","0","2","2","12","3.3","+8"
"7","7","2018-10-28","28-262","GSW","@","BRK","W (+6)","1","35:35","8","17",".471","1","5",".200","1","2",".500","2","3","5","0","1","1","1","4","18","10.3","-5"
"8","8","2018-10-29","28-263","GSW","@","CHI","W (+25)","1","26:33","18","29",".621","14","24",".583","2","2","1.000","0","4","4","0","2","0","2","2","52","39.3","+28"
"9","9","2018-10-31","28-265","GSW","","NOP","W (+10)","1","37:00","7","17",".412","1","4",".250","3","5",".600","1","3","4","4","1","0","3","2","18","9.7","-5"
"10","10","2018-11-02","28-267","GSW","","MIN","W (+17)","1","36:18","9","17",".529","4","9",".444","0","0","","0","4","4","1","0","0","2","2","22","12.8","+25"
"11","11","2018-11-05","28-270","GSW","","MEM","W (+16)","1","32:15","11","21",".524","3","7",".429","2","2","1.000","0","2","2","3","1","0","1","0","27","19.4","+6"
"12","12","2018-11-08","28-273","GSW","","MIL","L (-23)","1","33:16","9","15",".600","2","2","1.000","4","6",".667","1","2","3","3","1","2","1","2","24","20.3","-26"
"13","13","2018-11-10","28-275","GSW","","BRK","W (+16)","1","28:43","11","20",".550","2","5",".400","0","2",".000","0","1","1","1","2","1","3","3","24","13.1","+9"
"14","14","2018-11-12","28-277","GSW","@","LAC","L (-5)","1","45:19","13","31",".419","5","16",".313","0","0","","1","2","3","2","2","1","3","2","31","16.1","-4"
"15","15","2018-11-13","28-278","GSW","","ATL","W (+7)","1","38:16","8","19",".421","3","7",".429","5","5","1.000","0","5","5","4","3","0","1","0","24","20.2","+12"
"16","16","2018-11-15","28-280","GSW","@","HOU","L (-21)","1","29:27","5","16",".313","0","5",".000","0","0","","1","2","3","0","0","2","3","2","10","-0.3","-7"
"17","17","2018-11-17","28-282","GSW","@","DAL","L (-3)","1","37:45","9","24",".375","2","11",".182","2","2","1.000","0","3","3","4","2","0","1","3","22","12.3","-5"
"18","18","2018-11-18","28-283","GSW","@","SAS","L (-12)","1","37:57","11","26",".423","3","11",".273","0","1",".000","0","2","2","2","0","0","4","3","25","7.6","-17"
"19","19","2018-11-21","28-286","GSW","","OKC","L (-28)","1","30:33","10","22",".455","3","8",".375","4","7",".571","0","4","4","3","1","0","2","4","27","15.1","-12"
"20","20","2018-11-23","28-288","GSW","","POR","W (+28)","1","32:51","12","21",".571","4","9",".444","3","3","1.000","0","7","7","1","2","1","4","1","31","22.2","+13"
"21","21","2018-11-24","28-289","GSW","","SAC","W (+1)","1","36:17","12","26",".462","5","12",".417","2","2","1.000","1","3","4","0","0","0","1","2","31","17.4","+13"
"22","22","2018-11-26","28-291","GSW","","ORL","W (+6)","1","40:13","11","23",".478","6","12",".500","1","2",".500","0","5","5","1","0","2","1","2","29","18.7","-2"
"23","23","2018-11-29","28-294","GSW","@","TOR","L (-3)","1","43:50","9","20",".450","3","9",".333","2","2","1.000","0","3","3","3","0","1","4","3","23","11.1","-15"
"24","24","2018-12-01","28-296","GSW","@","DET","L (-9)","1","35:52","10","20",".500","1","5",".200","0","0","","0","8","8","1","2","0","1","1","21","14.7","+3"
