"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"3","1","2018-10-22","24-218","CHI","@","DAL","L (-6)","1","30:18","4","13",".308","1","4",".250","0","0","","0","4","4","7","0","0","4","6","9","1.2","-1",".346",".346","0.0","15.8","8.4","32.0","0.0","0.0","23.5","24.9","78","121"
"28","2","2018-12-10","24-267","CHI","","SAC","L (-19)","0","20:04","3","5",".600","0","2",".000","3","3","1.000","1","2","3","6","0","0","2","4","9","8.6","-9",".712",".600","6.1","11.1","8.8","53.5","0.0","0.0","24.0","18.3","132","116"
"29","3","2018-12-13","24-270","CHI","@","ORL","L (-6)","0","25:50","2","5",".400","1","1","1.000","0","0","","0","4","4","2","1","0","4","4","5","0.3","-2",".500",".500","0.0","18.1","9.8","12.3","1.9","0.0","44.4","17.1","61","102"
"30","4","2018-12-15","24-272","CHI","@","SAS","W (+5)","1","35:45","11","19",".579","0","2",".000","2","2","1.000","0","7","7","3","2","0","1","5","24","18.3","+3",".604",".579","0.0","24.1","11.6","18.1","3.0","0.0","4.8","27.4","120","103"
"31","5","2018-12-17","24-274","CHI","@","OKC","L (-25)","1","25:44","5","8",".625","0","0","","2","2","1.000","0","2","2","7","1","0","4","3","12","9.7","-17",".676",".625","0.0","8.3","4.1","45.5","1.8","0.0","31.1","20.9","109","122"
"32","6","2018-12-19","24-276","CHI","","BRK","L (-3)","1","34:19","11","21",".524","1","3",".333","1","2",".500","0","4","4","6","2","0","3","5","24","15.7","+1",".548",".548","0.0","15.1","6.7","34.1","3.1","0.0","12.1","33.7","102","105"
"33","7","2018-12-21","24-278","CHI","","ORL","W (+10)","1","35:50","4","14",".286","0","1",".000","4","6",".667","0","8","8","7","2","0","2","3","12","9.1","-4",".361",".286","0.0","19.8","11.0","33.9","3.1","0.0","10.7","26.7","83","88"
"34","8","2018-12-23","24-280","CHI","@","CLE","W (+20)","1","28:41","8","11",".727","0","0","","1","1","1.000","0","8","8","7","1","1","1","5","17","18.5","+21",".743",".727","0.0","31.1","18.1","39.6","1.9","2.7","8.0","21.6","152","96"
"35","9","2018-12-26","24-283","CHI","","MIN","L (-25)","1","30:17","4","11",".364","0","0","","1","3",".333","0","8","8","7","2","0","2","6","9","7.0","-23",".365",".364","0.0","28.2","13.1","34.0","3.2","0.0","14.0","20.3","82","114"
"36","10","2018-12-28","24-285","CHI","@","WAS","W (+9)","1","32:05","5","12",".417","1","2",".500","2","2","1.000","0","4","4","8","2","0","1","1","13","14.0","+1",".505",".458","0.0","12.7","7.0","40.5","3.2","0.0","7.2","20.8","116","99"
"37","11","2018-12-30","24-287","CHI","@","TOR","L (-6)","1","31:18","6","15",".400","0","1",".000","2","2","1.000","0","3","3","8","0","2","4","3","14","8.6","+9",".441",".400","0.0","8.5","4.8","51.6","0.0","5.2","20.1","29.3","87","107"
"38","12","2019-01-02","24-290","CHI","","ORL","L (-28)","1","27:44","6","12",".500","1","2",".500","1","1","1.000","0","3","3","4","3","0","2","2","14","11.9","-19",".563",".542","0.0","16.7","7.1","27.0","5.6","0.0","13.9","24.9","102","112"
"39","13","2019-01-04","24-292","CHI","","IND","L (-3)","1","40:16","6","9",".667","2","2","1.000","2","3",".667","0","5","5","17","0","0","2","4","16","21.5","+6",".775",".778","0.0","16.1","8.2","57.2","0.0","0.0","16.2","14.3","158","120"
"40","14","2019-01-06","24-294","CHI","","BRK","L (-17)","1","33:31","8","15",".533","0","2",".000","0","0","","0","4","4","7","2","0","3","2","16","13.0","-17",".533",".533","0.0","14.7","7.0","33.9","3.1","0.0","16.7","24.2","104","123"
"41","15","2019-01-09","24-297","CHI","@","POR","L (-12)","1","29:43","7","14",".500","1","2",".500","0","0","","0","5","5","7","2","0","3","4","15","11.8","-8",".536",".536","0.0","24.5","10.1","35.7","3.2","0.0","17.6","24.2","102","118"
"42","16","2019-01-11","24-299","CHI","@","GSW","L (-37)","1","24:34","2","9",".222","1","1","1.000","1","2",".500","0","0","0","5","2","0","1","5","6","2.6","-45",".304",".278","0.0","0.0","0.0","31.4","3.9","0.0","9.2","20.1","77","144"
"43","17","2019-01-12","24-300","CHI","@","UTA","L (-8)","1","30:22","4","11",".364","0","1",".000","2","2","1.000","1","4","5","8","3","2","2","6","10","11.4","-9",".421",".364","3.0","13.5","8.0","37.5","4.7","7.4","14.4","19.3","96","100"
"44","18","2019-01-15","24-303","CHI","@","LAL","L (-7)","1","31:09","2","7",".286","0","1",".000","2","2","1.000","0","5","5","4","1","2","5","3","6","2.4","-25",".381",".286","0.0","16.7","7.9","18.2","1.5","5.5","38.8","17.2","60","106"
"45","19","2019-01-17","24-305","CHI","@","DEN","L (-30)","1","29:52","3","8",".375","0","0","","0","0","","1","0","1","3","0","0","1","2","6","2.6","-26",".375",".375","3.3","0.0","1.8","12.3","0.0","0.0","11.1","13.2","93","150"
"46","20","2019-01-19","24-307","CHI","","MIA","L (-14)","1","32:59","3","14",".214","0","1",".000","0","0","","1","3","4","5","2","0","2","1","6","2.1","-17",".214",".214","2.9","11.5","6.5","23.8","3.0","0.0","12.5","20.5","61","117"
"47","21","2019-01-21","24-309","CHI","@","CLE","W (+16)","1","31:13","5","10",".500","1","1","1.000","2","2","1.000","0","4","4","9","2","0","3","4","13","12.9","+18",".597",".550","0.0","11.6","7.0","48.9","3.2","0.0","21.6","20.6","120","89"
"48","22","2019-01-23","24-311","CHI","","ATL","L (-20)","1","26:46","5","11",".455","1","2",".500","5","6",".833","1","3","4","3","2","2","1","2","16","15.2","-20",".587",".500","4.3","11.7","8.2","20.7","3.7","7.2","6.8","24.8","120","116"
