"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","28-205","IND","","MEM","W (+28)","0","3:58","0","0","","0","0","","2","2","1.000","1","2","3","3","0","0","0","2","2","4.6","-1"
"2","2","2018-10-19","28-207","IND","@","MIL","L (-17)","0","4:14","1","2",".500","0","0","","2","2","1.000","0","1","1","1","0","0","0","0","4","4.0","+7"
"3","3","2018-10-20","28-208","IND","","BRK","W (+20)","0","18:36","7","12",".583","0","0","","2","2","1.000","5","3","8","1","1","2","3","3","16","13.7","+15"
"4","4","2018-10-22","28-210","IND","@","MIN","L (-10)","0","10:43","2","4",".500","0","1",".000","0","0","","0","4","4","1","0","2","1","2","4","3.5","+7"
"5","5","2018-10-24","28-212","IND","@","SAS","W (+20)","0","2:51","1","1","1.000","0","0","","0","0","","0","1","1","1","0","0","0","1","2","2.3","-9"
"8","6","2018-10-31","28-219","IND","@","NYK","W (+6)","0","2:59","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-1.1","-2"
"12","7","2018-11-07","28-226","IND","","PHI","L (-6)","0","1:41","0","2",".000","0","1",".000","0","0","","0","1","1","1","0","0","0","1","0","-0.8","-1"
"14","8","2018-11-11","28-230","IND","@","HOU","L (-12)","0","4:32","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","-11"
"16","9","2018-11-17","28-236","IND","","ATL","W (+8)","0","2:31","0","1",".000","0","0","","0","0","","2","1","3","0","0","1","0","1","0","1.3","-10"
"17","10","2018-11-19","28-238","IND","","UTA","W (+27)","0","2:48","0","1",".000","0","0","","0","0","","0","2","2","2","0","0","0","1","0","0.9","+2"
"18","11","2018-11-21","28-240","IND","@","CHO","L (-18)","0","3:19","0","2",".000","0","1",".000","0","0","","0","1","1","1","0","0","1","0","0","-1.4","+2"
"19","12","2018-11-23","28-242","IND","","SAS","L (-11)","0","12:24","1","2",".500","0","0","","0","0","","2","3","5","3","0","1","2","4","2","2.5","+4"
"20","13","2018-11-26","28-245","IND","@","UTA","W (+33)","0","4:32","0","0","","0","0","","0","0","","0","0","0","2","0","0","1","0","0","0.4","+4"
"25","14","2018-12-07","28-256","IND","@","ORL","W (+22)","0","27:25","6","11",".545","0","1",".000","0","0","","2","8","10","2","2","2","0","2","12","14.5","+8"
"29","15","2018-12-14","28-263","IND","@","PHI","W (+12)","0","1:36","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","0"
"34","16","2018-12-23","28-272","IND","","WAS","W (+16)","0","2:06","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","0","2","1.7","0"
"36","17","2018-12-28","28-277","IND","","DET","W (+37)","0","5:21","2","4",".500","0","1",".000","0","0","","0","2","2","1","0","1","0","1","4","3.6","+4"
"39","18","2019-01-06","28-286","IND","@","TOR","L (-16)","0","17:22","3","8",".375","0","1",".000","3","4",".750","2","5","7","3","0","4","1","2","9","10.2","-6"
"40","19","2019-01-08","28-288","IND","@","CLE","W (+8)","0","13:53","1","5",".200","0","2",".000","0","0","","1","1","2","2","0","0","2","4","2","-2.3","-3"
"41","20","2019-01-09","28-289","IND","@","BOS","L (-27)","0","20:49","5","7",".714","1","1","1.000","0","0","","2","3","5","3","0","0","2","3","11","9.3","-5"
"42","21","2019-01-11","28-291","IND","@","NYK","W (+15)","0","14:01","3","4",".750","0","0","","0","0","","0","4","4","1","0","0","2","4","6","2.7","+4"
"43","22","2019-01-15","28-295","IND","","PHO","W (+34)","0","4:49","0","3",".000","0","1",".000","0","0","","0","1","1","2","0","1","0","0","0","0.3","+4"
"45","23","2019-01-19","28-299","IND","","DAL","W (+12)","0","2:41","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","1","1","2","0.3","-3"
"46","24","2019-01-20","28-300","IND","","CHO","W (+25)","0","2:14","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","+3"
"47","25","2019-01-23","28-303","IND","","TOR","W (+4)","0","1:55","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","+3"
"48","26","2019-01-26","28-306","IND","@","MEM","L (-3)","0","0:27","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0"
"49","27","2019-01-28","28-308","IND","","GSW","L (-32)","0","4:50","1","1","1.000","0","0","","0","0","","0","3","3","0","0","1","1","0","2","2.3","-8"
"50","28","2019-01-30","28-310","IND","@","WAS","L (-18)","0","4:39","0","1",".000","0","0","","0","0","","0","2","2","0","0","0","0","2","0","-0.9","0"
"54","29","2019-02-05","28-316","IND","","LAL","W (+42)","0","7:07","0","2",".000","0","1",".000","0","0","","0","2","2","1","0","0","0","1","0","-0.5","+6"
"55","30","2019-02-07","28-318","IND","","LAC","W (+24)","0","12:00","1","4",".250","0","0","","0","0","","0","3","3","0","0","3","4","4","2","-3.0","-1"
"56","31","2019-02-09","28-320","IND","","CLE","W (+15)","0","2:20","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2"
"57","32","2019-02-11","28-322","IND","","CHO","W (+9)","0","2:23","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","+1"
"59","33","2019-02-22","28-333","IND","","NOP","W (+15)","1","20:03","3","6",".500","0","0","","2","2","1.000","3","7","10","3","2","0","1","2","8","11.5","0"
"60","34","2019-02-23","28-334","IND","@","WAS","W (+7)","1","21:27","4","6",".667","0","0","","0","0","","2","4","6","5","1","0","2","2","8","9.7","-4"
"62","35","2019-02-27","28-338","IND","@","DAL","L (-9)","0","10:49","1","1","1.000","0","0","","0","0","","0","3","3","1","0","0","0","3","2","2.1","-1"
"63","36","2019-02-28","28-339","IND","","MIN","W (+7)","0","14:53","4","6",".667","0","0","","2","3",".667","0","2","2","0","0","1","1","4","10","5.7","0"
"64","37","2019-03-02","28-341","IND","","ORL","L (-5)","0","17:23","3","4",".750","0","0","","0","0","","1","3","4","4","0","1","1","2","6","7.7","-9"
"65","38","2019-03-05","28-344","IND","","CHI","W (+9)","0","10:56","1","3",".333","0","0","","1","2",".500","1","4","5","1","0","1","1","3","3","2.0","-1"
"66","39","2019-03-07","28-346","IND","@","MIL","L (-19)","0","13:01","5","7",".714","0","0","","1","2",".500","1","4","5","1","1","0","1","2","11","9.5","-8"
"67","40","2019-03-10","28-349","IND","@","PHI","L (-17)","0","7:34","3","5",".600","0","0","","0","0","","2","1","3","0","1","0","0","3","6","5.2","0"
