"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","26-312","DET","","BRK","W (+3)","0","33:00","2","5",".400","0","3",".000","2","2","1.000","0","3","3","1","0","0","0","0","6","4.9","-5",".510",".400","0.0","11.8","5.1","4.0","0.0","0.0","0.0","7.4","120","104"
"2","2","2018-10-20","26-315","DET","@","CHI","W (+2)","0","26:09","2","7",".286","2","7",".286","0","0","","1","0","1","3","1","0","0","0","6","5.7","-3",".429",".429","3.4","0.0","2.0","14.8","1.8","0.0","0.0","10.7","124","117"
"3","3","2018-10-23","26-318","DET","","PHI","W (+1)","0","24:43","1","3",".333","0","2",".000","2","2","1.000","0","2","2","0","0","0","0","3","4","1.7","-6",".515",".333","0.0","10.2","4.6","0.0","0.0","0.0","0.0","6.5","115","123"
"4","4","2018-10-25","26-320","DET","","CLE","W (+7)","0","26:57","3","6",".500","1","3",".333","1","2",".500","0","3","3","0","0","0","1","3","8","3.3","-2",".581",".583","0.0","12.7","6.9","0.0","0.0","0.0","12.7","12.7","107","112"
"5","5","2018-10-27","26-322","DET","","BOS","L (-20)","0","17:12","1","6",".167","0","5",".000","0","0","","0","3","3","0","1","1","0","3","2","-0.4","-18",".167",".167","0.0","17.1","8.3","0.0","2.8","5.4","0.0","15.4","34","100"
"7","6","2018-10-31","26-326","DET","@","BRK","L (-1)","0","5:32","2","4",".500","0","1",".000","0","0","","0","0","0","0","0","0","0","0","4","2.0","+4",".500",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","30.4","103","120"
"8","7","2018-11-03","26-329","DET","@","PHI","L (-10)","0","20:10","4","8",".500","1","3",".333","4","4","1.000","0","0","0","0","0","0","1","1","13","7.6","-2",".666",".563","0.0","0.0","0.0","0.0","0.0","0.0","9.3","21.7","120","110"
"9","8","2018-11-05","26-331","DET","","MIA","L (-5)","0","35:02","7","15",".467","4","9",".444","3","5",".600","4","5","9","4","2","0","2","4","21","18.0","-3",".610",".600","9.8","15.8","12.4","18.7","2.6","0.0","10.4","21.3","125","103"
"10","9","2018-11-07","26-333","DET","@","ORL","W (+7)","0","26:05","4","8",".500","4","8",".500","0","0","","0","6","6","3","0","0","1","2","12","10.1","+20",".750",".750","0.0","25.7","12.3","18.6","0.0","0.0","11.1","14.1","139","98"
"11","10","2018-11-09","26-335","DET","@","ATL","W (+15)","0","23:57","5","9",".556","5","9",".556","1","1","1.000","0","1","1","2","0","1","0","2","16","13.3","+14",".847",".833","0.0","4.7","2.1","11.1","0.0","3.9","0.0","16.4","163","112"
"12","11","2018-11-11","26-337","DET","","CHO","L (-10)","0","24:59","4","9",".444","2","5",".400","0","0","","3","1","4","0","0","0","0","2","10","6.9","+5",".556",".556","9.3","5.5","7.9","0.0","0.0","0.0","0.0","14.1","131","123"
"13","12","2018-11-14","26-340","DET","@","TOR","W (+2)","0","30:43","5","8",".625","2","5",".400","1","1","1.000","0","2","2","2","0","0","2","4","13","7.8","+7",".770",".750","0.0","7.1","3.6","8.6","0.0","0.0","19.2","14.3","121","105"
"14","13","2018-11-19","26-345","DET","","CLE","W (+11)","0","28:42","2","11",".182","2","10",".200","0","0","","0","3","3","2","0","0","0","2","6","0.6","-4",".273",".273","0.0","10.5","5.8","8.9","0.0","0.0","0.0","17.1","79","118"
"15","14","2018-11-21","26-347","DET","@","HOU","L (-2)","0","25:52","4","6",".667","4","5",".800","1","1","1.000","0","2","2","1","0","0","1","2","13","9.9","+6","1.009","1.000","0.0","13.7","5.1","5.7","0.0","0.0","13.4","11.8","170","135"
"16","15","2018-11-23","26-349","DET","","HOU","W (+5)","0","21:06","1","7",".143","0","5",".000","0","0","","0","3","3","4","0","0","0","2","2","0.4","-5",".143",".143","0.0","14.5","8.1","26.8","0.0","0.0","0.0","14.8","69","117"
"17","16","2018-11-25","26-351","DET","","PHO","W (+11)","0","26:35","4","6",".667","4","6",".667","3","3","1.000","0","1","1","1","0","0","0","2","15","12.6","+18","1.025","1.000","0.0","4.8","2.2","5.0","0.0","0.0","0.0","11.4","203","116"
"18","17","2018-11-27","26-353","DET","","NYK","W (+7)","0","21:53","3","8",".375","1","5",".200","2","3",".667","0","3","3","0","1","0","0","5","9","4.1","+9",".483",".438","0.0","12.2","6.7","0.0","2.1","0.0","0.0","18.1","98","105"
"19","18","2018-11-30","26-356","DET","","CHI","W (+19)","0","19:50","2","10",".200","1","3",".333","0","0","","0","1","1","2","0","0","0","1","5","0.1","+6",".250",".250","0.0","5.3","2.6","13.4","0.0","0.0","0.0","21.6","70","96"
"20","19","2018-12-01","26-357","DET","","GSW","W (+9)","0","27:52","2","5",".400","2","4",".500","2","3",".667","1","3","4","2","1","0","1","1","8","7.5","+4",".633",".600","3.4","12.6","7.6","8.7","1.7","0.0","13.7","10.7","126","105"
"21","20","2018-12-03","26-359","DET","","OKC","L (-27)","0","25:28","0","4",".000","0","2",".000","0","0","","1","2","3","0","0","0","0","1","0","-1.9","-14",".000",".000","3.4","9.9","6.1","0.0","0.0","0.0","0.0","6.4","14","112"
"22","21","2018-12-05","26-361","DET","@","MIL","L (-23)","1","22:40","2","5",".400","1","4",".250","0","0","","1","1","2","1","0","0","0","1","5","3.6","-25",".500",".500","3.9","4.9","4.4","6.9","0.0","0.0","0.0","8.6","115","113"
"23","22","2018-12-07","26-363","DET","","PHI","L (-6)","0","30:43","5","15",".333","2","9",".222","0","0","","2","3","5","1","1","0","1","4","12","4.9","+7",".400",".400","6.9","10.7","8.8","5.4","1.6","0.0","6.3","20.6","95","120"
"24","23","2018-12-09","27-000","DET","","NOP","L (-8)","0","36:45","9","20",".450","4","10",".400","2","3",".667","1","2","3","3","2","0","0","2","24","17.8","+6",".563",".550","2.3","6.9","4.2","12.5","2.6","0.0","0.0","23.5","124","118"
"25","24","2018-12-10","27-001","DET","@","PHI","L (-14)","0","22:31","0","3",".000","0","1",".000","1","2",".500","0","0","0","0","0","1","1","2","1","-2.6","0",".129",".000","0.0","0.0","0.0","0.0","0.0","4.2","20.5","9.6","23","125"
"26","25","2018-12-12","27-003","DET","@","CHO","L (-1)","0","27:50","5","10",".500","3","4",".750","4","4","1.000","2","1","3","2","2","0","0","2","17","16.3","-5",".723",".650","7.5","3.8","5.7","11.0","3.5","0.0","0.0","18.6","157","109"
"27","26","2018-12-15","27-006","DET","","BOS","W (+9)","0","28:36","6","13",".462","2","9",".222","0","2",".000","1","1","2","1","1","0","1","2","14","7.4","+6",".504",".538","4.0","3.4","3.6","5.8","1.6","0.0","6.7","22.0","97","108"
"28","27","2018-12-17","27-008","DET","","MIL","L (-3)","0","22:37","2","7",".286","1","4",".250","0","0","","0","2","2","0","1","0","1","2","5","0.7","+7",".357",".357","0.0","10.6","5.2","0.0","2.2","0.0","12.5","15.4","64","108"
"29","28","2018-12-19","27-010","DET","@","MIN","W (+6)","0","23:50","3","10",".300","2","7",".286","0","0","","2","1","3","2","0","0","0","3","8","4.1","+10",".400",".400","9.7","4.7","7.2","11.3","0.0","0.0","0.0","18.6","103","119"
"30","29","2018-12-21","27-012","DET","@","CHO","L (-12)","0","14:39","0","4",".000","0","3",".000","0","0","","0","2","2","0","0","0","1","0","0","-3.2","-4",".000",".000","0.0","16.4","7.8","0.0","0.0","0.0","20.0","15.5","0","114"
"31","30","2018-12-23","27-014","DET","","ATL","L (-3)","0","21:44","6","12",".500","3","5",".600","3","3","1.000","0","2","2","0","0","0","0","2","18","11.8","+7",".676",".625","0.0","8.7","4.6","0.0","0.0","0.0","0.0","26.5","126","104"
"32","31","2018-12-26","27-017","DET","","WAS","W (+11)","0","23:03","8","12",".667","4","7",".571","2","2","1.000","2","2","4","0","0","0","0","1","22","18.4","-11",".854",".833","11.6","10.2","10.8","0.0","0.0","0.0","0.0","24.1","172","104"
"33","32","2018-12-28","27-019","DET","@","IND","L (-37)","0","20:36","0","6",".000","0","4",".000","0","0","","0","1","1","1","2","0","1","1","0","-2.6","-6",".000",".000","0.0","6.7","2.7","6.9","4.7","0.0","14.3","13.8","9","121"
"34","33","2018-12-30","27-021","DET","@","ORL","L (-2)","0","13:07","2","7",".286","0","3",".000","2","2","1.000","3","2","5","0","1","0","0","1","6","5.2","+6",".381",".286","20.7","17.0","19.1","0.0","3.8","0.0","0.0","25.5","106","108"
"35","34","2019-01-01","27-023","DET","@","MIL","L (-23)","0","10:20","0","7",".000","0","4",".000","0","0","","0","0","0","3","0","0","0","2","0","-3.6","+1",".000",".000","0.0","0.0","0.0","39.8","0.0","0.0","0.0","28.2","28","129"
"36","35","2019-01-02","27-024","DET","@","MEM","W (+7)","0","18:45","4","8",".500","3","6",".500","0","0","","0","0","0","1","2","0","0","1","11","9.3","+3",".688",".688","0.0","0.0","0.0","9.9","5.7","0.0","0.0","20.5","130","100"
"37","36","2019-01-05","27-027","DET","","UTA","L (-5)","0","3:04","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-7",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.4","0","116"
"38","37","2019-01-07","27-029","DET","","SAS","L (-12)","0","4:56","0","0","","0","0","","0","0","","1","0","1","0","0","0","0","0","0","0.7","-16","","","25.6","0.0","13.0","0.0","0.0","0.0","","0.0","220","136"
"39","38","2019-01-09","27-031","DET","@","LAL","L (-13)","0","14:31","5","7",".714","5","6",".833","0","0","","0","3","3","1","0","0","0","0","15","13.7","+1","1.071","1.071","0.0","28.3","12.4","14.7","0.0","0.0","0.0","22.9","187","124"
"40","39","2019-01-10","27-032","DET","@","SAC","L (-10)","0","24:57","2","7",".286","2","7",".286","2","2","1.000","1","2","3","1","0","0","0","1","8","5.5","-10",".508",".429","4.3","9.9","6.9","6.2","0.0","0.0","0.0","13.6","116","119"
"41","40","2019-01-12","27-034","DET","@","LAC","W (+5)","0","14:47","0","1",".000","0","1",".000","0","0","","0","0","0","2","0","0","0","2","0","-0.1","0",".000",".000","0.0","0.0","0.0","17.6","0.0","0.0","0.0","2.9","103","118"
"42","41","2019-01-14","27-036","DET","@","UTA","L (-6)","0","21:23","2","8",".250","1","5",".200","0","0","","0","2","2","1","0","0","0","2","5","0.7","+6",".313",".313","0.0","10.2","4.8","7.4","0.0","0.0","0.0","16.9","68","110"
"43","42","2019-01-16","27-038","DET","","ORL","W (+5)","0","20:32","4","9",".444","2","6",".333","3","3","1.000","1","2","3","1","1","0","0","0","13","11.3","-6",".630",".556","6.0","12.6","9.2","7.7","2.6","0.0","0.0","23.6","145","116"
"44","43","2019-01-18","27-040","DET","","MIA","W (+5)","0","12:48","0","5",".000","0","3",".000","0","0","","1","0","1","1","0","0","0","0","0","-2.1","-3",".000",".000","8.2","0.0","4.3","10.7","0.0","0.0","0.0","18.6","29","106"
"46","44","2019-01-21","27-043","DET","@","WAS","L (-14)","0","18:30","3","5",".600","2","4",".500","0","0","","1","2","3","0","0","0","1","2","8","5.2","-2",".800",".800","6.2","12.1","9.2","0.0","0.0","0.0","16.7","15.3","114","107"
"47","45","2019-01-23","27-045","DET","@","NOP","W (+4)","0","27:29","3","11",".273","2","8",".250","0","0","","0","0","0","1","1","0","0","2","8","2.4","+1",".364",".364","0.0","0.0","0.0","5.7","1.8","0.0","0.0","18.1","77","99"
"48","46","2019-01-25","27-047","DET","@","DAL","L (-5)","0","13:09","2","5",".400","1","4",".250","0","0","","2","3","5","1","1","0","0","0","5","6.3","-5",".500",".500","15.5","26.1","20.5","13.2","4.0","0.0","0.0","16.9","127","108"
"49","47","2019-01-29","27-051","DET","","MIL","L (-10)","1","20:07","1","4",".250","0","2",".000","0","1",".000","1","3","4","1","0","0","0","1","2","1.1","-6",".225",".250","5.5","20.5","12.2","6.0","0.0","0.0","0.0","10.1","74","128"
"50","48","2019-01-31","27-053","DET","","DAL","W (+4)","0","22:15","3","6",".500","3","6",".500","2","3",".667","1","2","3","0","0","1","0","2","11","8.8","-1",".751",".750","4.5","9.0","6.7","0.0","0.0","3.4","0.0","14.7","155","102"
"51","49","2019-02-02","27-055","DET","","LAC","L (-10)","0","13:14","0","5",".000","0","3",".000","0","0","","0","1","1","0","0","1","0","2","0","-3.3","-7",".000",".000","0.0","8.6","4.3","0.0","0.0","5.9","0.0","17.1","0","116"
"52","50","2019-02-04","27-057","DET","","DEN","W (+26)","0","24:45","6","13",".462","3","8",".375","3","3","1.000","0","1","1","1","2","0","2","1","18","11.9","+20",".628",".577","0.0","4.1","2.3","5.3","3.9","0.0","12.3","27.1","123","103"
"53","51","2019-02-05","27-058","DET","@","NYK","W (+13)","0","10:39","1","5",".200","1","3",".333","0","0","","0","0","0","0","0","0","0","2","3","-0.9","-10",".300",".300","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22.9","62","111"
"54","52","2019-02-08","27-061","DET","","NYK","W (+17)","1","19:50","2","5",".400","1","4",".250","0","0","","0","1","1","3","1","0","0","1","5","5.3","+21",".500",".500","0.0","5.4","2.8","19.5","2.5","0.0","0.0","10.9","130","107"
"55","53","2019-02-11","27-064","DET","","WAS","W (+9)","1","20:40","0","4",".000","0","3",".000","0","0","","0","6","6","1","1","0","0","0","0","0.7","+19",".000",".000","0.0","31.0","16.4","5.3","2.4","0.0","0.0","8.4","22","109"
"56","54","2019-02-13","27-066","DET","@","BOS","L (-8)","0","11:33","0","3",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","0","0","-2.1","-19",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.3","0","127"
"57","55","2019-02-22","27-075","DET","@","ATL","W (+3)","0","7:59","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.8","-15",".000",".000","0.0","13.7","6.6","0.0","0.0","0.0","0.0","5.2","0","125"
"58","56","2019-02-23","27-076","DET","@","MIA","W (+23)","0","16:26","6","7",".857","4","5",".800","1","1","1.000","0","1","1","1","0","0","0","1","17","15.1","+17","1.142","1.143","0.0","6.8","3.9","11.9","0.0","0.0","0.0","20.6","222","108"
"59","57","2019-02-25","27-078","DET","","IND","W (+4)","0","17:37","5","8",".625","2","5",".400","1","1","1.000","1","1","2","1","1","0","0","2","13","11.3","+2",".770",".750","6.1","6.2","6.1","10.7","2.9","0.0","0.0","20.6","161","119"
"60","58","2019-02-27","27-080","DET","@","SAS","L (-12)","0","20:42","4","8",".500","3","5",".600","0","0","","0","0","0","2","0","0","1","1","11","7.0","-4",".688",".688","0.0","0.0","0.0","17.4","0.0","0.0","11.1","19.3","119","119"
"61","59","2019-03-02","27-083","DET","@","CLE","W (+36)","0","21:00","2","8",".250","2","6",".333","2","2","1.000","1","2","3","0","2","0","0","3","8","5.3","+14",".450",".375","6.9","9.0","8.2","0.0","4.9","0.0","0.0","19.6","110","96"
"62","60","2019-03-03","27-084","DET","","TOR","W (+5)","0","17:47","0","4",".000","0","4",".000","0","0","","0","1","1","1","0","0","0","1","0","-2.2","+5",".000",".000","0.0","5.3","3.1","7.5","0.0","0.0","0.0","10.5","18","116"
"63","61","2019-03-06","27-087","DET","","MIN","W (+17)","0","23:57","3","4",".750","3","3","1.000","2","2","1.000","0","2","2","0","0","1","0","2","11","9.9","+17","1.127","1.125","0.0","10.8","5.1","0.0","0.0","3.5","0.0","9.1","221","119"
"64","62","2019-03-08","27-089","DET","@","CHI","W (+8)","0","21:18","4","5",".800","3","3","1.000","4","5",".800","0","0","0","2","0","0","1","5","15","11.1","+17","1.042","1.100","0.0","0.0","0.0","12.5","0.0","0.0","12.2","17.2","179","112"
