"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"3","1","2018-10-21","25-293","CLE","","ATL","L (-22)","0","17:18","3","6",".500","0","0","","3","5",".600","2","2","4","4","0","0","1","3","9","7.8","-18"
"4","2","2018-10-24","25-296","CLE","","BRK","L (-16)","0","20:22","2","7",".286","0","1",".000","0","0","","1","5","6","4","2","0","2","2","4","4.1","-9"
"5","3","2018-10-25","25-297","CLE","@","DET","L (-7)","0","27:34","5","8",".625","0","0","","1","2",".500","4","2","6","5","3","0","0","4","11","15.3","+5"
"6","4","2018-10-27","25-299","CLE","","IND","L (-12)","0","22:41","6","8",".750","0","0","","3","3","1.000","3","9","12","4","1","0","0","4","15","18.8","-3"
"7","5","2018-10-30","25-302","CLE","","ATL","W (+22)","0","16:15","3","8",".375","0","0","","3","4",".750","0","1","1","3","0","0","0","2","9","5.8","-10"
"8","6","2018-11-01","25-304","CLE","","DEN","L (-19)","0","18:34","3","8",".375","0","0","","2","2","1.000","2","1","3","1","3","1","0","4","8","8.1","-10"
"9","7","2018-11-03","25-306","CLE","@","CHO","L (-32)","0","16:11","4","7",".571","0","0","","1","1","1.000","1","3","4","0","0","0","3","1","9","3.9","-18"
"10","8","2018-11-05","25-308","CLE","@","ORL","L (-2)","0","13:37","0","1",".000","0","0","","0","2",".000","1","4","5","2","1","0","3","2","0","-1.0","-11"
"11","9","2018-11-07","25-310","CLE","","OKC","L (-9)","0","22:20","3","6",".500","0","0","","0","0","","1","5","6","1","0","1","2","3","6","3.4","+2"
"12","10","2018-11-10","25-313","CLE","@","CHI","L (-1)","1","30:51","1","8",".125","0","2",".000","0","2",".000","3","11","14","1","1","4","1","4","2","3.3","+4"
"13","11","2018-11-13","25-316","CLE","","CHO","W (+24)","1","34:50","3","6",".500","1","2",".500","0","0","","3","9","12","1","1","1","1","2","7","9.4","+9"
"14","12","2018-11-14","25-317","CLE","@","WAS","L (-24)","1","26:23","3","4",".750","1","2",".500","3","5",".600","2","4","6","5","4","2","3","0","10","16.1","-13"
"15","13","2018-11-19","25-322","CLE","@","DET","L (-11)","1","19:52","2","4",".500","0","1",".000","0","0","","2","3","5","1","1","0","1","3","4","3.8","-28"
"16","14","2018-11-21","25-324","CLE","","LAL","L (-4)","0","17:58","3","8",".375","0","1",".000","1","1","1.000","1","8","9","5","1","0","1","1","7","8.8","+10"
"17","15","2018-11-23","25-326","CLE","@","PHI","W (+9)","0","18:34","2","3",".667","0","0","","0","0","","0","3","3","3","3","0","0","5","4","6.7","-3"
