"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"24","1","2018-12-01","21-193","CHI","@","HOU","L (-16)","0","25:34","4","14",".286","2","6",".333","0","0","","0","4","4","0","1","1","0","2","10","3.9","-9",".357",".357","0.0","18.8","8.5","0.0","1.8","4.4","0.0","23.6","73","117"
"25","2","2018-12-04","21-196","CHI","@","IND","L (-6)","1","32:11","8","24",".333","5","13",".385","0","0","","4","6","10","1","2","1","3","4","21","10.8","-12",".438",".438","11.7","23.5","16.8","5.9","3.0","2.8","11.1","35.3","83","92"
"26","3","2018-12-07","21-199","CHI","","OKC","W (+2)","1","28:28","8","12",".667","4","8",".500","4","5",".800","1","6","7","2","3","1","2","5","24","22.0","+8",".845",".833","4.0","21.1","13.1","11.4","4.7","2.6","12.3","24.4","143","97"
"27","4","2018-12-08","21-200","CHI","","BOS","L (-56)","1","18:19","3","10",".300","2","6",".333","0","0","","0","4","4","1","0","0","1","1","8","2.7","-10",".400",".400","0.0","25.0","11.5","11.3","0.0","0.0","9.1","28.2","75","143"
"28","5","2018-12-10","21-202","CHI","","SAC","L (-19)","1","28:34","5","16",".313","1","8",".125","2","2","1.000","0","6","6","1","1","0","2","1","13","4.9","-12",".385",".344","0.0","23.4","12.3","6.6","1.7","0.0","10.6","29.2","74","109"
"29","6","2018-12-13","21-205","CHI","@","ORL","L (-6)","1","27:58","2","10",".200","2","6",".333","1","2",".500","0","5","5","0","1","1","1","1","7","2.2","-9",".322",".300","0.0","20.9","11.3","0.0","1.8","3.5","8.4","20.8","56","100"
"30","7","2018-12-15","21-207","CHI","@","SAS","W (+5)","1","36:36","9","18",".500","3","8",".375","2","2","1.000","1","6","7","1","2","2","2","1","23","18.2","+12",".609",".583","3.1","20.2","11.3","5.2","2.9","5.0","9.6","26.8","113","100"
"31","8","2018-12-17","21-209","CHI","@","OKC","L (-25)","1","27:51","6","17",".353","1","3",".333","3","4",".750","7","8","15","0","2","2","3","2","16","13.0","-26",".426",".382","26.8","30.6","28.7","0.0","3.4","5.1","13.8","32.6","91","108"
"32","9","2018-12-19","21-211","CHI","","BRK","L (-3)","1","33:05","3","6",".500","2","3",".667","0","1",".000","0","6","6","2","0","0","0","3","8","6.6","-1",".621",".667","0.0","23.5","10.4","8.1","0.0","0.0","0.0","9.0","128","110"
"33","10","2018-12-21","21-213","CHI","","ORL","W (+10)","1","36:45","12","20",".600","4","6",".667","4","4","1.000","0","6","6","3","0","1","2","5","32","23.4","+2",".735",".700","0.0","14.5","8.1","22.6","0.0","2.5","8.4","33.2","130","95"
"34","11","2018-12-23","21-215","CHI","@","CLE","W (+20)","1","32:21","11","18",".611","5","10",".500","4","4","1.000","0","4","4","3","0","0","0","2","31","25.3","+11",".784",".750","0.0","13.8","8.0","16.7","0.0","0.0","0.0","30.4","160","107"
"35","12","2018-12-26","21-218","CHI","","MIN","L (-25)","1","32:04","6","14",".429","1","5",".200","3","3","1.000","1","6","7","0","0","0","2","2","16","8.3","-18",".522",".464","2.9","20.0","10.8","0.0","0.0","0.0","11.5","23.1","96","124"
"36","13","2018-12-28","21-220","CHI","@","WAS","W (+9)","1","28:49","5","15",".333","1","5",".200","3","5",".600","2","12","14","0","0","1","3","5","14","5.4","+9",".407",".367","8.5","42.5","27.1","0.0","0.0","3.0","14.9","33.6","76","96"
"37","14","2018-12-30","21-222","CHI","@","TOR","L (-6)","1","39:04","6","14",".429","4","7",".571","2","2","1.000","0","10","10","1","2","0","3","2","18","12.5","-10",".605",".571","0.0","22.8","12.8","4.8","2.6","0.0","16.8","21.1","99","95"
"38","15","2019-01-02","21-225","CHI","","ORL","L (-28)","1","28:08","6","12",".500","2","3",".667","0","0","","2","4","6","1","2","0","1","1","14","11.9","-15",".583",".583","8.1","22.0","14.0","6.6","3.7","0.0","7.7","22.1","110","116"
"39","16","2019-01-04","21-227","CHI","","IND","L (-3)","1","41:42","11","20",".550","4","9",".444","1","2",".500","1","8","9","2","1","0","6","4","27","14.9","-2",".647",".650","3.3","24.8","14.3","7.7","1.2","0.0","22.3","30.0","96","116"
