"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","28-052","TOR","","CLE","W (+12)","0","0:44","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","-1","","","0.0","100.0","71.1","0.0","0.0","0.0","","0.0","0","61"
"3","2","2018-10-20","28-055","TOR","@","WAS","W (+4)","0","9:03","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","1","0","-1.8","-5",".000",".000","0.0","11.3","6.0","0.0","0.0","0.0","50.0","8.8","0","116"
"4","3","2018-10-22","28-057","TOR","","CHO","W (+21)","0","3:53","1","1","1.000","0","0","","0","0","","0","0","0","2","0","0","0","0","2","3.1","0","1.000","1.000","0.0","0.0","0.0","65.7","0.0","0.0","0.0","11.6","214","118"
"5","4","2018-10-24","28-059","TOR","","MIN","W (+7)","0","12:06","1","4",".250","0","2",".000","0","0","","0","1","1","2","0","0","2","0","2","-0.7","+1",".250",".250","0.0","8.1","4.5","18.9","0.0","0.0","33.3","21.6","54","117"
"6","5","2018-10-26","28-061","TOR","","DAL","W (+9)","0","15:22","4","8",".500","1","2",".500","0","0","","0","1","1","1","2","0","1","2","9","6.2","+5",".563",".563","0.0","6.5","3.3","9.9","6.2","0.0","11.1","25.1","103","101"
"7","6","2018-10-29","28-064","TOR","@","MIL","L (-15)","0","19:07","2","9",".222","1","5",".200","0","0","","1","3","4","2","1","2","1","3","5","2.7","-7",".278",".278","3.9","17.1","9.3","14.8","2.3","10.7","10.0","20.0","66","108"
"8","7","2018-10-30","28-065","TOR","","PHI","W (+17)","0","3:33","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","+3","","","0.0","0.0","0.0","28.8","0.0","0.0","","0.0","223","117"
"11","8","2018-11-05","28-071","TOR","@","UTA","W (+13)","0","4:13","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","2","0","-0.5","-9","","","0.0","23.7","13.7","0.0","0.0","0.0","","0.0","0","110"
"13","9","2018-11-10","28-076","TOR","","NYK","W (+16)","0","2:23","1","1","1.000","0","0","","0","0","","0","1","1","0","0","0","1","0","2","1.0","-2","1.000","1.000","0.0","40.3","21.7","0.0","0.0","0.0","50.0","36.1","64","106"
"14","10","2018-11-12","28-078","TOR","","NOP","L (-16)","0","6:42","0","2",".000","0","2",".000","0","0","","0","2","2","1","0","0","1","0","0","-1.1","+1",".000",".000","0.0","32.6","14.8","18.4","0.0","0.0","33.3","18.4","19","124"
