"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","31-355","LAC","","DEN","L (-9)","0","24:25","4","10",".400","2","6",".333","4","5",".800","0","1","1","5","0","0","1","4","14","9.4","-4"
"2","2","2018-10-19","31-357","LAC","","OKC","W (+16)","0","26:29","4","12",".333","2","4",".500","7","7","1.000","0","1","1","1","1","0","2","1","17","9.8","+13"
"3","3","2018-10-21","31-359","LAC","","HOU","W (+3)","0","25:03","3","16",".188","0","6",".000","6","6","1.000","1","4","5","2","1","1","2","0","12","5.0","+14"
"4","4","2018-10-23","31-361","LAC","@","NOP","L (-7)","0","26:06","8","15",".533","0","3",".000","1","2",".500","1","2","3","1","0","0","4","0","17","7.3","+3"
"5","5","2018-10-26","31-364","LAC","@","HOU","W (+20)","0","26:23","7","9",".778","3","4",".750","6","6","1.000","0","1","1","3","0","0","3","0","23","18.9","+20"
"6","6","2018-10-28","32-001","LAC","","WAS","W (+32)","0","15:44","7","13",".538","2","4",".500","1","1","1.000","0","0","0","6","1","0","1","1","17","14.5","+11"
"7","7","2018-10-30","32-003","LAC","@","OKC","L (-18)","0","25:07","4","11",".364","1","2",".500","8","8","1.000","0","5","5","3","1","0","5","1","17","10.1","-14"
"8","8","2018-11-01","32-005","LAC","@","PHI","L (-9)","0","24:23","9","19",".474","2","5",".400","6","7",".857","1","0","1","2","1","0","4","1","26","14.6","-16"
"9","9","2018-11-02","32-006","LAC","@","ORL","W (+25)","0","20:50","7","13",".538","5","5","1.000","9","10",".900","0","3","3","3","1","0","2","1","28","22.9","+15"
"10","10","2018-11-05","32-009","LAC","","MIN","W (+11)","0","27:21","7","17",".412","1","4",".250","5","5","1.000","0","0","0","6","0","1","1","1","20","14.4","+8"
