"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"5","1","2018-10-24","23-101","NYK","@","MIA","L (-23)","0","6:14","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","1","0","0","-1.0","-2"
"6","2","2018-10-26","23-103","NYK","","GSW","L (-28)","0","2:04","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-7"
"7","3","2018-10-29","23-106","NYK","","BRK","W (+19)","0","2:24","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","+4"
"10","4","2018-11-04","23-112","NYK","@","WAS","L (-13)","0","2:10","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","0"
"24","5","2018-12-01","23-139","NYK","","MIL","W (+2)","0","0:01","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0"
"26","6","2018-12-06","23-144","NYK","@","BOS","L (-28)","0","2:43","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","1","0","0","0","0.3","-5"
"29","7","2018-12-12","23-150","NYK","@","CLE","L (-7)","0","7:38","0","1",".000","0","1",".000","0","0","","1","2","3","1","0","0","0","0","0","1.3","-10"
"30","8","2018-12-14","23-152","NYK","@","CHO","W (+2)","0","24:11","4","8",".500","3","5",".600","2","2","1.000","4","2","6","0","2","3","1","1","13","15.1","+19"
"31","9","2018-12-16","23-154","NYK","@","IND","L (-11)","0","9:27","2","4",".500","1","3",".333","0","0","","0","3","3","0","0","0","0","2","5","3.1","+2"
"32","10","2018-12-17","23-155","NYK","","PHO","L (-18)","0","13:39","1","5",".200","1","5",".200","3","4",".750","0","3","3","2","1","0","2","0","6","3.8","-10"
"33","11","2018-12-19","23-157","NYK","@","PHI","L (-22)","0","10:11","1","4",".250","1","3",".333","0","0","","1","0","1","2","0","0","0","1","3","2.3","-5"
"34","12","2018-12-21","23-159","NYK","","ATL","L (-7)","0","11:21","3","4",".750","1","2",".500","0","0","","1","1","2","2","0","0","0","2","7","7.0","+1"
"35","13","2018-12-25","23-163","NYK","","MIL","L (-14)","0","13:49","3","6",".500","3","6",".500","0","0","","0","3","3","0","0","1","0","0","9","7.6","-7"
"36","14","2018-12-27","23-165","NYK","@","MIL","L (-16)","1","33:34","8","17",".471","7","11",".636","0","0","","1","2","3","5","0","1","1","1","23","18.4","-7"
"37","15","2018-12-29","23-167","NYK","@","UTA","L (-32)","1","28:38","5","11",".455","4","6",".667","0","0","","1","5","6","5","1","0","2","1","14","12.6","-3"
"38","16","2019-01-01","23-170","NYK","@","DEN","L (-7)","1","26:59","6","9",".667","4","7",".571","3","3","1.000","0","6","6","1","0","1","0","3","19","17.1","0"
"39","17","2019-01-04","23-173","NYK","@","LAL","W (+7)","1","21:11","2","8",".250","1","4",".250","1","2",".500","1","4","5","1","1","0","0","1","6","4.0","+2"
"40","18","2019-01-07","23-176","NYK","@","POR","L (-10)","1","18:50","2","4",".500","0","2",".000","2","2","1.000","1","1","2","0","0","2","1","0","6","5.4","-17"
"41","19","2019-01-08","23-177","NYK","@","GSW","L (-27)","1","18:53","2","5",".400","2","4",".500","0","0","","0","2","2","0","1","1","0","0","6","5.6","-15"
"42","20","2019-01-11","23-180","NYK","","IND","L (-15)","1","20:58","1","7",".143","1","6",".167","0","0","","0","3","3","3","0","1","2","2","3","-0.6","-24"
"43","21","2019-01-13","23-182","NYK","","PHI","L (-3)","0","33:38","7","13",".538","3","8",".375","6","8",".750","2","3","5","5","1","0","1","3","23","20.5","+25"
"44","22","2019-01-17","23-186","NYK","@","WAS","L (-1)","1","33:55","5","11",".455","4","6",".667","2","2","1.000","1","2","3","2","5","1","2","1","16","16.3","-2"
"45","23","2019-01-21","23-190","NYK","","OKC","L (-18)","1","6:45","1","4",".250","0","1",".000","0","0","","0","1","1","0","1","0","0","0","2","0.9","-8"
"51","24","2019-02-01","23-201","NYK","","BOS","L (-14)","1","16:31","4","9",".444","1","4",".250","0","0","","0","2","2","0","1","0","1","0","9","4.9","-3"
"52","25","2019-02-03","23-203","NYK","","MEM","L (-12)","0","20:17","4","9",".444","3","7",".429","0","0","","1","3","4","1","0","3","0","1","11","10.3","-3"
"54","26","2019-02-08","23-208","NYK","@","DET","L (-17)","0","3:33","1","1","1.000","1","1","1.000","0","0","","0","1","1","1","0","0","0","0","3","3.7","+4"
"56","27","2019-02-11","23-211","NYK","@","CLE","L (-3)","0","12:00","2","6",".333","2","5",".400","0","0","","0","1","1","0","1","1","0","1","6","4.2","+7"
"57","28","2019-02-13","23-213","NYK","","PHI","L (-15)","0","28:07","2","11",".182","1","8",".125","2","2","1.000","0","6","6","1","0","0","2","3","7","-0.6","+9"
"58","29","2019-02-14","23-214","NYK","@","ATL","W (+15)","1","31:23","3","16",".188","3","10",".300","2","2","1.000","1","2","3","0","4","1","0","2","11","6.2","+17"
"59","30","2019-02-22","23-222","NYK","","MIN","L (-11)","1","10:33","0","4",".000","0","3",".000","0","0","","0","1","1","0","0","0","0","2","0","-3.3","-17"
"61","31","2019-02-26","23-226","NYK","","ORL","W (+5)","0","4:27","0","0","","0","0","","0","0","","0","0","0","0","1","0","1","0","0","0.0","+7"
"63","32","2019-03-03","23-231","NYK","@","LAC","L (-21)","0","21:21","1","6",".167","1","4",".250","3","3","1.000","1","2","3","2","2","3","0","1","6","8.6","+5"
