"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","34-242","LAC","","DEN","L (-9)","1","18:10","3","5",".600","0","0","","0","0","","0","6","6","2","0","0","0","3","6","5.7","-5"
"2","2","2018-10-19","34-244","LAC","","OKC","W (+16)","1","20:28","2","5",".400","0","0","","0","1",".000","3","9","12","1","0","0","0","3","4","5.2","+7"
"3","3","2018-10-21","34-246","LAC","","HOU","W (+3)","1","18:24","2","3",".667","0","0","","4","4","1.000","3","2","5","2","0","1","1","0","8","10.5","+6"
"4","4","2018-10-23","34-248","LAC","@","NOP","L (-7)","1","12:02","0","4",".000","0","0","","0","0","","1","2","3","1","0","0","1","2","0","-2.6","-13"
"5","5","2018-10-26","34-251","LAC","@","HOU","W (+20)","1","15:54","0","1",".000","0","0","","0","0","","2","4","6","1","0","0","3","2","0","-1.2","0"
"6","6","2018-10-28","34-253","LAC","","WAS","W (+32)","1","19:41","2","5",".400","0","0","","0","0","","2","6","8","3","0","3","1","3","4","6.5","+5"
"7","7","2018-10-30","34-255","LAC","@","OKC","L (-18)","1","19:15","1","1","1.000","0","0","","5","6",".833","1","1","2","1","0","1","1","2","7","6.9","-6"
"8","8","2018-11-01","34-257","LAC","@","PHI","L (-9)","1","9:08","0","1",".000","0","0","","0","0","","1","1","2","1","0","1","2","4","0","-1.9","-7"
"12","9","2018-11-10","34-266","LAC","","MIL","W (+2)","1","19:26","3","5",".600","0","0","","0","0","","0","4","4","2","0","0","2","3","6","3.1","+1"
"13","10","2018-11-12","34-268","LAC","","GSW","W (+5)","1","20:33","4","5",".800","0","0","","4","4","1.000","2","4","6","1","1","0","0","2","12","13.6","+9"
"14","11","2018-11-15","34-271","LAC","","SAS","W (+5)","1","20:58","2","3",".667","0","0","","3","4",".750","0","7","7","4","0","0","0","1","7","9.8","0"
"15","12","2018-11-17","34-273","LAC","@","BRK","W (+8)","1","15:53","5","6",".833","0","0","","0","0","","4","4","8","0","0","0","1","3","10","9.6","-4"
"16","13","2018-11-19","34-275","LAC","@","ATL","W (+8)","1","16:05","2","5",".400","0","0","","1","2",".500","2","5","7","3","0","1","0","2","5","6.8","-5"
"17","14","2018-11-20","34-276","LAC","@","WAS","L (-7)","1","15:28","4","7",".571","0","0","","1","1","1.000","1","6","7","1","1","0","2","5","9","5.9","+5"
"18","15","2018-11-23","34-279","LAC","","MEM","W (+5)","1","17:25","3","4",".750","0","0","","0","0","","1","6","7","1","0","0","1","1","6","6.2","+9"
"19","16","2018-11-25","34-281","LAC","@","POR","W (+4)","1","15:57","3","4",".750","0","0","","0","0","","1","3","4","0","0","1","1","1","6","5.3","+16"
"21","17","2018-11-29","34-285","LAC","@","SAC","W (+12)","1","18:03","4","5",".800","0","0","","1","1","1.000","0","5","5","1","0","1","1","3","9","7.8","+21"
"22","18","2018-12-02","34-288","LAC","@","DAL","L (-4)","1","19:40","2","4",".500","0","0","","0","0","","0","5","5","0","0","0","1","2","4","1.7","-3"
"23","19","2018-12-03","34-289","LAC","@","NOP","W (+3)","1","20:49","2","4",".500","0","0","","0","0","","1","6","7","4","0","0","1","2","4","5.5","+1"
"24","20","2018-12-05","34-291","LAC","@","MEM","L (-10)","1","14:41","1","3",".333","0","0","","0","0","","2","1","3","0","0","3","3","2","2","0.3","+2"
"27","21","2018-12-11","34-297","LAC","","TOR","L (-24)","1","18:30","2","5",".400","0","0","","3","4",".750","1","3","4","4","0","0","1","1","7","6.9","-17"
"28","22","2018-12-13","34-299","LAC","@","SAS","L (-38)","1","22:52","1","5",".200","0","0","","0","0","","2","6","8","5","0","0","2","1","2","3.2","-12"
