"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","23-234","NYK","","ATL","W (+19)","0","19:14","6","14",".429","3","7",".429","0","1",".000","0","3","3","1","3","0","3","5","15","6.8","+14"
"2","2","2018-10-19","23-236","NYK","@","BRK","L (-2)","0","13:19","1","3",".333","0","1",".000","0","0","","0","1","1","1","0","0","0","1","2","0.9","-11"
"3","3","2018-10-20","23-237","NYK","","BOS","L (-2)","0","9:45","1","5",".200","0","2",".000","0","0","","0","2","2","0","0","0","0","0","2","-0.5","+5"
"4","4","2018-10-22","23-239","NYK","@","MIL","L (-11)","0","30:00","8","16",".500","2","5",".400","0","0","","0","4","4","3","2","0","2","2","18","12.5","-14"
"5","5","2018-10-24","23-241","NYK","@","MIA","L (-23)","0","21:56","4","15",".267","2","8",".250","3","6",".500","0","1","1","1","0","0","2","2","13","1.1","-3"
"6","6","2018-10-26","23-243","NYK","","GSW","L (-28)","0","17:51","3","9",".333","0","4",".000","0","0","","0","3","3","2","0","0","1","0","6","2.2","-16"
"7","7","2018-10-29","23-246","NYK","","BRK","W (+19)","0","20:13","5","12",".417","1","2",".500","0","0","","0","4","4","1","0","0","1","2","11","4.7","+3"
"8","8","2018-10-31","23-248","NYK","","IND","L (-6)","0","12:30","1","5",".200","0","3",".000","1","2",".500","1","6","7","0","0","0","2","1","3","-0.4","+5"
"9","9","2018-11-02","23-250","NYK","@","DAL","W (+12)","0","9:05","5","7",".714","1","2",".500","0","1",".000","0","1","1","0","0","0","0","1","11","7.6","-3"
"10","10","2018-11-04","23-252","NYK","@","WAS","L (-13)","0","25:08","4","9",".444","2","5",".400","0","0","","0","8","8","3","3","0","1","1","10","11.4","+11"
"11","11","2018-11-05","23-253","NYK","","CHI","L (-1)","0","36:00","6","18",".333","1","5",".200","2","3",".667","2","4","6","2","1","1","3","3","15","5.9","+2"
"12","12","2018-11-07","23-255","NYK","@","ATL","W (+5)","0","11:39","0","2",".000","0","1",".000","1","2",".500","0","2","2","0","0","0","0","2","1","-1.0","-13"
"13","13","2018-11-10","23-258","NYK","@","TOR","L (-16)","0","21:33","6","8",".750","0","0","","1","1","1.000","0","5","5","1","0","0","3","2","13","8.2","-8"
"14","14","2018-11-11","23-259","NYK","","ORL","L (-26)","0","26:32","3","9",".333","2","3",".667","4","6",".667","0","5","5","1","0","1","0","4","12","7.4","-3"
"15","15","2018-11-14","23-262","NYK","@","OKC","L (-25)","0","22:00","3","9",".333","0","2",".000","0","0","","1","5","6","2","0","1","3","1","6","1.8","-7"
"18","16","2018-11-20","23-268","NYK","","POR","L (-4)","1","17:06","1","5",".200","0","0","","0","0","","1","2","3","1","1","0","1","2","2","0.1","+1"
"19","17","2018-11-21","23-269","NYK","@","BOS","W (+8)","1","13:02","1","7",".143","1","6",".167","0","0","","0","2","2","0","1","0","0","1","3","-0.3","-2"
"20","18","2018-11-23","23-271","NYK","","NOP","W (+5)","1","18:40","1","4",".250","0","2",".000","0","0","","2","1","3","1","1","0","1","2","2","1.2","-3"
"21","19","2018-11-25","23-273","NYK","@","MEM","W (+5)","1","21:02","2","5",".400","0","1",".000","0","0","","1","3","4","1","0","0","2","0","4","1.6","+5"
"22","20","2018-11-27","23-275","NYK","@","DET","L (-7)","1","15:51","1","3",".333","1","3",".333","2","2","1.000","0","1","1","1","1","0","1","6","5","1.9","+2"
"23","21","2018-11-28","23-276","NYK","@","PHI","L (-26)","1","25:39","7","15",".467","2","6",".333","1","1","1.000","0","5","5","1","5","0","2","4","17","12.9","-7"
"24","22","2018-12-01","23-279","NYK","","MIL","W (+2)","1","12:08","1","2",".500","0","0","","0","0","","0","2","2","2","1","0","2","1","2","1.6","-6"
"25","23","2018-12-03","23-281","NYK","","WAS","L (-3)","1","19:53","2","7",".286","1","4",".250","4","4","1.000","0","2","2","1","0","0","2","1","9","3.8","+1"
"26","24","2018-12-06","23-284","NYK","@","BOS","L (-28)","1","18:27","1","4",".250","0","2",".000","1","1","1.000","0","3","3","2","0","0","2","2","3","0.1","-7"
"27","25","2018-12-08","23-286","NYK","","BRK","L (-8)","1","26:39","4","8",".500","3","4",".750","1","2",".500","1","4","5","1","0","0","0","2","12","9.4","-14"
"28","26","2018-12-09","23-287","NYK","","CHO","L (-12)","1","4:49","0","3",".000","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-2.2","-4"
"29","27","2018-12-12","23-290","NYK","@","CLE","L (-7)","0","10:50","1","3",".333","0","0","","0","0","","0","0","0","0","1","0","0","0","2","1.3","+10"
"30","28","2018-12-14","23-292","NYK","@","CHO","W (+2)","0","12:01","2","6",".333","1","1","1.000","0","1",".000","0","3","3","1","1","0","0","0","5","3.8","+7"
"31","29","2018-12-16","23-294","NYK","@","IND","L (-11)","0","13:20","1","3",".333","0","0","","0","0","","0","0","0","0","0","0","0","1","2","-0.1","-6"
"32","30","2018-12-17","23-295","NYK","","PHO","L (-18)","0","17:28","6","11",".545","1","3",".333","1","3",".333","1","4","5","0","0","0","0","1","14","9.4","-10"
"33","31","2018-12-19","23-297","NYK","@","PHI","L (-22)","0","3:47","0","0","","0","0","","2","2","1.000","0","1","1","0","0","0","0","1","2","1.9","-1"
"37","32","2018-12-29","23-307","NYK","@","UTA","L (-32)","0","4:36","0","0","","0","0","","0","0","","0","1","1","0","0","0","2","0","0","-1.7","0"
"39","33","2019-01-04","23-313","NYK","@","LAL","W (+7)","0","13:30","3","4",".750","1","2",".500","3","6",".500","0","2","2","1","1","1","1","1","10","8.8","+9"
"40","34","2019-01-07","23-316","NYK","@","POR","L (-10)","0","31:11","5","10",".500","0","2",".000","4","4","1.000","2","5","7","1","3","0","2","1","14","13.2","+7"
"41","35","2019-01-08","23-317","NYK","@","GSW","L (-27)","0","25:14","7","12",".583","1","3",".333","4","4","1.000","1","5","6","0","3","0","1","3","19","16.4","-8"
"42","36","2019-01-11","23-320","NYK","","IND","L (-15)","0","30:09","4","12",".333","1","4",".250","1","2",".500","2","4","6","2","5","1","1","3","10","10.3","-3"
"43","37","2019-01-13","23-322","NYK","","PHI","L (-3)","0","21:56","3","6",".500","0","1",".000","3","3","1.000","0","5","5","2","2","0","0","0","9","10.9","+2"
"44","38","2019-01-17","23-326","NYK","@","WAS","L (-1)","0","19:30","0","4",".000","0","1",".000","0","0","","0","6","6","1","0","0","1","3","0","-2.5","-6"
"45","39","2019-01-21","23-330","NYK","","OKC","L (-18)","0","10:44","2","5",".400","0","0","","1","2",".500","2","0","2","0","0","0","2","3","5","0.1","+3"
"48","40","2019-01-27","23-336","NYK","","MIA","L (-9)","0","30:21","4","10",".400","1","4",".250","3","4",".750","0","5","5","1","3","0","0","4","12","9.8","+1"
"49","41","2019-01-28","23-337","NYK","@","CHO","L (-9)","0","25:37","4","11",".364","0","2",".000","1","2",".500","0","4","4","2","1","1","3","0","9","3.8","-14"
"50","42","2019-01-30","23-339","NYK","","DAL","L (-24)","0","31:35","4","8",".500","1","3",".333","4","4","1.000","0","2","2","1","2","0","1","2","13","10.5","-21"
"51","43","2019-02-01","23-341","NYK","","BOS","L (-14)","0","22:16","4","8",".500","0","4",".000","2","2","1.000","0","3","3","2","0","0","2","1","10","5.9","-10"
"52","44","2019-02-03","23-343","NYK","","MEM","L (-12)","0","22:00","5","8",".625","2","4",".500","2","4",".500","2","6","8","1","1","0","2","1","14","12.1","+4"
"54","45","2019-02-08","23-348","NYK","@","DET","L (-17)","0","32:38","3","11",".273","0","2",".000","2","2","1.000","0","7","7","1","2","0","0","3","8","5.1","+1"
"55","46","2019-02-09","23-349","NYK","","TOR","L (-5)","1","25:06","3","6",".500","1","3",".333","0","0","","1","8","9","2","1","0","3","5","7","4.5","-7"
"56","47","2019-02-11","23-351","NYK","@","CLE","L (-3)","1","15:44","2","8",".250","1","2",".500","0","0","","0","5","5","1","0","0","1","1","5","1.0","-1"
"57","48","2019-02-13","23-353","NYK","","PHI","L (-15)","1","6:29","0","3",".000","0","0","","0","0","","1","0","1","1","0","0","0","0","0","-0.7","-9"
"70","49","2019-03-17","24-020","NYK","","LAL","W (+1)","1","36:26","4","8",".500","1","2",".500","8","8","1.000","1","7","8","1","2","1","2","3","17","16.0","-5"
"71","50","2019-03-18","24-021","NYK","@","TOR","L (-36)","1","27:29","3","10",".300","0","3",".000","2","2","1.000","0","5","5","3","2","0","2","2","8","5.0","-29"
"72","51","2019-03-20","24-023","NYK","","UTA","L (-21)","1","25:36","8","13",".615","4","5",".800","3","3","1.000","1","1","2","1","0","0","4","4","23","13.2","-26"
"73","52","2019-03-22","24-025","NYK","","DEN","L (-18)","1","21:39","2","6",".333","0","2",".000","3","4",".750","0","4","4","4","0","0","0","0","7","7.2","-13"
"74","53","2019-03-24","24-027","NYK","","LAC","L (-11)","1","25:32","2","9",".222","0","3",".000","2","2","1.000","1","4","5","3","0","1","3","2","6","1.4","+3"
"75","54","2019-03-28","24-031","NYK","","TOR","L (-25)","1","20:54","3","8",".375","0","3",".000","2","2","1.000","1","3","4","2","0","0","2","2","8","3.8","-26"
"78","55","2019-04-03","24-037","NYK","@","ORL","L (-14)","1","33:56","11","22",".500","1","5",".200","6","6","1.000","0","9","9","5","2","0","4","6","29","19.8","-4"
"79","56","2019-04-05","24-039","NYK","@","HOU","L (-24)","1","42:03","6","11",".545","0","3",".000","4","6",".667","1","15","16","11","1","0","4","3","16","18.6","-10"
"80","57","2019-04-07","24-041","NYK","","WAS","W (+3)","1","35:31","12","21",".571","3","6",".500","3","4",".750","2","4","6","5","2","0","5","2","30","22.0","-7"
"82","58","2019-04-10","24-044","NYK","","DET","L (-26)","1","21:04","0","3",".000","0","1",".000","0","0","","0","3","3","4","3","0","6","3","0","-2.6","-21"
