"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","19-217","SAC","","UTA","L (-6)","0","12:07","3","6",".500","0","0","","0","0","","1","4","5","0","0","0","0","2","6","4.1","-14",".500",".500","9.0","42.8","24.5","0.0","0.0","0.0","0.0","21.2","107","118"
"2","2","2018-10-19","19-219","SAC","@","NOP","L (-20)","0","32:38","7","10",".700","0","3",".000","5","6",".833","2","6","8","3","3","1","1","5","19","20.4","-21",".752",".700","6.0","21.0","12.9","11.1","4.0","2.3","7.3","16.7","150","124"
"3","3","2018-10-21","19-221","SAC","@","OKC","W (+11)","0","23:44","5","13",".385","0","0","","3","6",".500","5","2","7","0","1","0","4","3","13","4.6","+6",".416",".385","22.5","7.8","14.6","0.0","1.8","0.0","20.4","33.0","83","112"
"4","4","2018-10-23","19-223","SAC","@","DEN","L (-14)","0","32:20","9","11",".818","1","1","1.000","1","3",".333","1","8","9","3","0","5","4","2","20","19.0","-1",".812",".864","3.5","26.4","15.2","14.1","0.0","10.8","24.5","21.9","116","119"
"5","5","2018-10-24","19-224","SAC","","MEM","W (+5)","0","22:20","4","8",".500","0","0","","5","8",".625","3","3","6","1","0","0","1","2","13","9.7","-8",".564",".500","12.6","11.7","12.2","8.1","0.0","0.0","8.0","24.1","119","100"
"6","6","2018-10-26","19-226","SAC","","WAS","W (+4)","0","22:56","5","11",".455","1","1","1.000","0","2",".000","4","4","8","0","1","1","5","2","11","4.4","-17",".463",".500","16.4","19.0","17.6","0.0","1.9","4.8","29.6","28.7","73","99"
"7","7","2018-10-29","19-229","SAC","@","MIA","W (+10)","0","16:57","3","7",".429","1","1","1.000","0","0","","2","3","5","1","0","2","2","2","7","4.9","-5",".500",".500","11.8","17.0","14.4","7.2","0.0","10.7","22.2","21.2","90","103"
"8","8","2018-10-30","19-230","SAC","@","ORL","W (+8)","0","22:43","3","7",".429","2","3",".667","2","4",".500","5","4","9","2","1","1","3","1","10","9.9","-2",".571",".571","23.5","15.7","19.2","12.2","2.1","4.4","25.5","22.5","106","94"
"9","9","2018-11-01","19-232","SAC","@","ATL","W (+31)","0","24:07","7","10",".700","0","0","","4","4","1.000","4","1","5","0","1","0","1","2","18","16.1","+20",".765",".700","18.5","4.3","11.2","0.0","1.8","0.0","7.8","20.1","151","107"
"10","10","2018-11-04","19-235","SAC","@","MIL","L (-35)","0","20:18","3","10",".300","1","3",".333","4","9",".444","1","5","6","1","0","1","1","3","11","4.6","-7",".394",".350","4.4","25.7","14.2","6.8","0.0","6.1","6.7","29.6","82","130"
