"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-18","25-160","POR","","LAL","W (+9)","0","18:26","3","5",".600","1","2",".500","0","0","","2","4","6","2","0","3","1","3","7","8.6","-4"
"2","2","2018-10-20","25-162","POR","","SAS","W (+13)","0","20:21","2","5",".400","1","3",".333","0","0","","1","7","8","1","1","0","1","1","5","5.4","+7"
"3","3","2018-10-22","25-164","POR","","WAS","L (-1)","0","18:59","1","5",".200","1","2",".500","2","2","1.000","0","5","5","0","0","1","0","3","5","2.9","-4"
"4","4","2018-10-25","25-167","POR","@","ORL","W (+14)","0","20:05","0","1",".000","0","1",".000","0","0","","0","1","1","1","0","0","0","3","0","-0.9","+7"
"5","5","2018-10-27","25-169","POR","@","MIA","L (-9)","0","10:26","1","2",".500","0","0","","0","0","","0","4","4","1","1","2","0","0","2","5.3","-13"
"18","6","2018-11-21","25-194","POR","@","MIL","L (-43)","0","13:11","1","5",".200","0","4",".000","0","0","","1","2","3","0","2","1","0","4","2","1.3","-8"
"19","7","2018-11-23","25-196","POR","@","GSW","L (-28)","0","6:54","0","1",".000","0","1",".000","1","2",".500","0","0","0","0","0","0","0","1","1","-0.5","-8"
"20","8","2018-11-25","25-198","POR","","LAC","L (-4)","1","16:49","2","4",".500","0","2",".000","0","0","","0","1","1","0","0","0","1","3","4","0.1","-7"
"21","9","2018-11-28","25-201","POR","","ORL","W (+3)","1","12:36","1","4",".250","0","1",".000","0","0","","0","0","0","0","0","0","0","0","2","-0.4","+5"
"22","10","2018-11-30","25-203","POR","","DEN","L (-1)","1","14:02","1","4",".250","0","1",".000","0","0","","1","2","3","0","2","0","2","2","2","0.1","0"
"23","11","2018-12-02","25-205","POR","@","SAS","L (-13)","1","33:37","3","5",".600","2","2","1.000","0","0","","2","5","7","3","1","3","3","3","8","9.6","+6"
"24","12","2018-12-04","25-207","POR","@","DAL","L (-9)","1","22:57","2","5",".400","1","2",".500","0","0","","0","3","3","0","1","0","0","4","5","2.6","0"
"25","13","2018-12-06","25-209","POR","","PHO","W (+22)","1","15:17","3","3","1.000","0","0","","0","0","","0","1","1","0","2","0","0","4","6","5.8","+10"
"26","14","2018-12-08","25-211","POR","","MIN","W (+8)","1","23:38","3","6",".500","2","3",".667","0","0","","1","5","6","2","0","2","0","5","8","8.0","+21"
"27","15","2018-12-11","25-214","POR","@","HOU","L (-7)","1","31:19","4","9",".444","1","3",".333","0","0","","0","4","4","1","1","2","1","2","9","6.8","+1"
