"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","27-007","HOU","","NOP","L (-19)","0","17:44","4","10",".400","1","3",".333","1","2",".500","1","3","4","2","0","2","3","3","10","4.4","+3"
"2","2","2018-10-20","27-010","HOU","@","LAL","W (+9)","0","2:29","0","2",".000","0","0","","0","2",".000","1","0","1","0","0","0","0","2","0","-2.3","-5"
"3","3","2018-10-21","27-011","HOU","@","LAC","L (-3)","0","13:39","1","4",".250","0","0","","0","0","","0","3","3","3","1","1","2","1","2","1.9","-15"
"4","4","2018-10-24","27-014","HOU","","UTA","L (-11)","1","20:25","3","7",".429","1","4",".250","0","0","","0","0","0","2","1","0","1","4","7","3.1","-11"
"5","5","2018-10-26","27-016","HOU","","LAC","L (-20)","0","22:04","3","8",".375","0","1",".000","4","6",".667","0","1","1","4","2","0","1","3","10","7.7","-6"
"6","6","2018-10-30","27-020","HOU","","POR","L (-19)","0","14:35","2","4",".500","0","2",".000","2","4",".500","0","1","1","2","2","1","1","2","6","5.8","-4"
"7","7","2018-11-02","27-023","HOU","@","BRK","W (+8)","0","5:37","0","1",".000","0","0","","0","2",".000","0","0","0","1","1","0","0","2","0","-0.6","-7"
"14","8","2018-11-15","27-036","HOU","","GSW","W (+21)","0","3:43","0","1",".000","0","0","","1","2",".500","0","1","1","1","0","0","0","1","1","0.5","-5"
"15","9","2018-11-17","27-038","HOU","","SAC","W (+20)","0","1:59","0","0","","0","0","","0","0","","0","0","0","1","1","0","0","1","0","1.3","-1"
"18","10","2018-11-24","27-045","HOU","@","CLE","L (-9)","0","4:22","2","2","1.000","1","1","1.000","0","1",".000","0","0","0","0","0","0","0","2","5","3.2","-7"
"19","11","2018-11-26","27-047","HOU","@","WAS","L (-4)","0","2:56","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","1","1","0","-2.1","-7"
"20","12","2018-11-28","27-049","HOU","","DAL","L (-20)","0","7:04","0","4",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","0","0","-3.5","+2"
"21","13","2018-11-30","27-051","HOU","@","SAS","W (+31)","0","8:49","2","2","1.000","1","1","1.000","2","4",".500","0","0","0","2","0","1","0","2","7","6.9","-3"
"22","14","2018-12-01","27-052","HOU","","CHI","W (+16)","0","2:56","1","3",".333","0","0","","1","2",".500","1","0","1","0","0","1","0","1","3","1.9","-4"
"24","15","2018-12-06","27-057","HOU","@","UTA","L (-27)","0","12:00","5","8",".625","2","3",".667","1","1","1.000","0","0","0","2","1","0","0","1","13","11.4","+8"
"30","16","2018-12-19","27-070","HOU","","WAS","W (+18)","0","4:15","2","4",".500","1","3",".333","0","0","","0","0","0","1","0","0","0","1","5","3.3","-2"
"39","17","2019-03-17","27-158","ORL","","ATL","W (+10)","0","15:45","0","3",".000","0","2",".000","5","8",".625","0","4","4","1","0","0","0","3","5","2.4","0"
"40","18","2019-03-20","27-161","ORL","","NOP","W (+23)","0","18:06","2","4",".500","0","1",".000","0","0","","1","4","5","2","0","1","2","1","4","3.6","+8"
"41","19","2019-03-22","27-163","ORL","","MEM","W (+4)","0","15:23","0","2",".000","0","0","","0","0","","0","5","5","4","1","1","1","0","0","3.6","+13"
"42","20","2019-03-25","27-166","ORL","","PHI","W (+21)","0","19:42","5","8",".625","1","3",".333","4","4","1.000","1","5","6","3","2","1","0","2","15","17.6","+13"
"43","21","2019-03-26","27-167","ORL","@","MIA","W (+5)","0","18:17","1","5",".200","1","2",".500","0","2",".000","2","4","6","6","0","1","2","0","3","4.6","-8"
"44","22","2019-03-28","27-169","ORL","@","DET","L (-17)","0","14:28","0","6",".000","0","1",".000","0","0","","4","0","4","2","0","1","0","1","0","0.3","-8"
"45","23","2019-03-30","27-171","ORL","@","IND","W (+5)","0","17:34","4","6",".667","1","2",".500","1","1","1.000","1","1","2","5","0","2","1","1","10","11.9","+10"
"46","24","2019-04-01","27-173","ORL","@","TOR","L (-12)","0","25:24","4","10",".400","0","3",".000","0","0","","1","4","5","6","1","0","0","4","8","8.1","-5"
"47","25","2019-04-03","27-175","ORL","","NYK","W (+14)","0","23:45","1","5",".200","0","2",".000","2","2","1.000","2","4","6","4","1","1","0","3","4","6.8","+26"
"48","26","2019-04-05","27-177","ORL","","ATL","W (+36)","0","20:34","1","5",".200","0","2",".000","2","2","1.000","2","4","6","6","2","0","3","1","4","6.3","+3"
"49","27","2019-04-07","27-179","ORL","@","BOS","W (+8)","0","16:08","0","3",".000","0","0","","4","4","1.000","1","3","4","3","3","1","1","2","4","7.5","-3"
"50","28","2019-04-10","27-182","ORL","@","CHO","W (+8)","0","22:04","3","5",".600","0","1",".000","2","4",".500","1","3","4","7","1","0","0","3","8","11.2","+18"
