"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"4","1","2018-10-23","27-114","PHI","@","DET","L (-1)","0","16:42","2","3",".667","1","2",".500","0","0","","1","1","2","0","0","2","0","1","5","5.7","-2",".833",".833","7.6","6.1","6.8","0.0","0.0","8.5","0.0","7.8","166","118"
"5","2","2018-10-24","27-115","PHI","@","MIL","L (-15)","0","18:17","3","6",".500","1","4",".250","1","1","1.000","1","3","4","1","0","0","1","5","8","4.3","-10",".621",".583","5.3","15.4","10.4","8.7","0.0","0.0","13.4","16.1","109","114"
"6","3","2018-10-27","27-118","PHI","","CHO","W (+2)","0","17:12","0","3",".000","0","3",".000","2","2","1.000","1","5","6","2","0","1","1","2","2","2.4","+6",".258",".000","5.3","27.4","16.1","15.9","0.0","4.7","20.5","11.8","74","100"
"7","4","2018-10-29","27-120","PHI","","ATL","W (+21)","0","18:52","5","7",".714","4","6",".667","0","0","","1","4","5","0","0","1","1","1","14","12.3","+7","1.000","1.000","4.8","17.5","11.5","0.0","0.0","4.5","12.5","16.2","145","89"
"8","5","2018-10-30","27-121","PHI","@","TOR","L (-17)","0","16:03","3","5",".600","1","3",".333","5","5","1.000","2","3","5","1","0","0","1","1","12","11.3","-17",".833",".700","11.7","23.0","16.6","10.3","0.0","0.0","12.2","19.3","160","124"
"9","6","2018-11-01","27-123","PHI","","LAC","W (+9)","0","23:43","1","4",".250","1","2",".500","1","1","1.000","0","2","2","3","0","0","1","5","4","1.3","+13",".450",".375","0.0","9.9","4.8","14.5","0.0","0.0","18.4","9.2","99","112"
"10","7","2018-11-03","27-125","PHI","","DET","W (+10)","0","25:47","3","10",".300","2","8",".250","6","6","1.000","1","3","4","0","1","0","3","4","14","6.2","+8",".554",".400","4.7","11.4","8.4","0.0","1.8","0.0","19.2","26.9","90","95"
"11","8","2018-11-04","27-126","PHI","@","BRK","L (-25)","0","28:22","0","2",".000","0","1",".000","0","0","","1","1","2","3","0","0","4","0","0","-2.3","-25",".000",".000","5.3","3.3","4.0","16.4","0.0","0.0","66.7","9.2","34","127"
"15","9","2018-11-12","27-134","PHI","@","MIA","W (+10)","0","27:16","3","11",".273","3","10",".300","4","5",".800","0","8","8","1","0","0","0","4","13","7.6","+4",".492",".409","0.0","35.2","17.2","5.2","0.0","0.0","0.0","21.3","110","116"
"16","10","2018-11-14","27-136","PHI","@","ORL","L (-5)","0","26:18","2","6",".333","1","4",".250","0","2",".000","3","2","5","2","0","0","2","4","5","1.3","-4",".363",".417","13.0","10.1","11.7","9.8","0.0","0.0","22.5","15.2","83","122"
"17","11","2018-11-16","27-138","PHI","","UTA","W (+6)","0","31:33","3","7",".429","3","5",".600","0","0","","1","3","4","0","1","1","1","4","9","6.0","-7",".643",".643","3.9","11.1","7.6","0.0","1.5","2.3","12.5","10.9","113","105"
"18","12","2018-11-17","27-139","PHI","@","CHO","W (+3)","1","36:46","2","8",".250","1","6",".167","1","1","1.000","0","6","6","2","2","0","2","3","6","3.2","+15",".355",".313","0.0","16.3","8.5","8.0","2.5","0.0","19.2","11.7","67","102"
"19","13","2018-11-19","27-141","PHI","","PHO","W (+5)","0","22:55","4","6",".667","2","3",".667","9","11",".818","3","2","5","0","0","0","0","3","19","17.1","+4",".876",".833","16.1","9.3","12.5","0.0","0.0","0.0","0.0","18.7","189","113"
"20","14","2018-11-21","27-143","PHI","","NOP","W (+1)","0","16:39","2","3",".667","2","3",".667","1","2",".500","1","1","2","2","0","1","0","4","7","6.8","-8",".902","1.000","6.4","5.1","5.7","15.1","0.0","4.2","0.0","8.9","184","117"
"21","15","2018-11-23","27-145","PHI","","CLE","L (-9)","0","23:49","1","7",".143","1","7",".143","0","0","","0","4","4","1","1","0","0","0","3","1.4","+8",".214",".214","0.0","19.7","11.0","5.3","2.2","0.0","0.0","14.6","53","129"
"22","16","2018-11-25","27-147","PHI","@","BRK","W (+2)","0","15:56","0","4",".000","0","4",".000","1","2",".500","1","0","1","3","1","0","0","2","1","0.8","-13",".102",".000","6.5","0.0","3.5","20.5","3.0","0.0","0.0","12.8","75","126"
"23","17","2018-11-28","27-150","PHI","","NYK","W (+26)","0","24:58","4","6",".667","2","3",".667","0","0","","1","7","8","1","0","1","2","5","10","7.6","+13",".833",".833","5.1","25.4","16.9","4.9","0.0","3.1","25.0","14.0","115","90"
"24","18","2018-11-30","27-152","PHI","","WAS","W (+25)","0","32:01","2","9",".222","2","7",".286","6","7",".857","3","7","10","2","0","2","0","2","12","12.3","+9",".497",".333","8.8","21.4","15.0","7.5","0.0","4.7","0.0","14.5","133","96"
"25","19","2018-12-02","27-154","PHI","","MEM","W (+8)","1","27:40","2","4",".500","2","3",".667","2","2","1.000","1","6","7","5","0","0","0","0","8","12.0","-5",".820",".750","5.0","23.7","15.4","26.7","0.0","0.0","0.0","8.2","177","99"
"26","20","2018-12-05","27-157","PHI","@","TOR","L (-11)","0","23:18","1","4",".250","1","4",".250","3","3","1.000","0","8","8","1","0","1","0","2","6","6.6","+2",".564",".375","0.0","30.0","16.2","5.4","0.0","2.9","0.0","9.5","131","106"
"27","21","2018-12-07","27-159","PHI","@","DET","W (+6)","0","29:46","7","13",".538","4","9",".444","0","0","","1","2","3","2","1","3","2","5","18","13.5","+15",".692",".692","3.7","7.2","5.4","9.9","1.6","7.9","13.3","21.0","121","114"
"28","22","2018-12-10","27-162","PHI","","DET","W (+14)","0","25:50","3","6",".500","2","5",".400","2","3",".667","2","2","4","2","1","0","2","3","10","7.8","-13",".683",".667","7.1","8.8","7.9","11.1","1.9","0.0","21.5","14.9","119","107"
"30","23","2018-12-14","27-166","PHI","","IND","L (-12)","0","16:44","1","8",".125","0","6",".000","0","0","","2","1","3","0","0","0","1","1","2","-2.9","-8",".125",".125","10.8","6.7","9.0","0.0","0.0","0.0","11.1","22.3","40","123"
"31","24","2018-12-16","27-168","PHI","@","CLE","W (+23)","0","24:22","4","7",".571","0","1",".000","0","0","","2","4","6","0","1","3","0","2","8","9.6","+7",".571",".571","10.1","18.8","14.6","0.0","2.0","10.2","0.0","12.6","132","98"
"32","25","2018-12-17","27-169","PHI","@","SAS","L (-27)","0","18:20","4","8",".500","3","4",".750","0","0","","1","0","1","3","0","1","0","3","11","9.3","-10",".688",".688","4.9","0.0","3.0","26.6","0.0","4.1","0.0","18.9","144","129"
"33","26","2018-12-19","27-171","PHI","","NYK","W (+22)","0","26:28","3","9",".333","3","7",".429","0","0","","1","5","6","2","0","1","1","3","9","6.0","+9",".500",".500","4.5","19.7","12.7","8.7","0.0","3.3","10.0","16.8","104","110"
"34","27","2018-12-22","27-174","PHI","","TOR","W (+25)","1","17:37","1","3",".333","1","3",".333","1","2",".500","0","4","4","1","0","0","0","2","4","3.0","+10",".515",".500","0.0","19.1","11.6","6.3","0.0","0.0","0.0","9.5","109","100"
"35","28","2018-12-25","27-177","PHI","@","BOS","L (-7)","0","17:21","1","9",".111","1","8",".125","0","0","","1","2","3","0","0","0","1","0","3","-2.6","-11",".167",".167","6.0","10.2","8.3","0.0","0.0","0.0","10.0","24.7","39","114"
"36","29","2018-12-27","27-179","PHI","@","UTA","W (+17)","0","21:03","2","5",".400","2","5",".400","2","2","1.000","0","3","3","2","0","0","0","0","8","7.6","+1",".680",".600","0.0","13.7","7.5","11.9","0.0","0.0","0.0","12.5","148","105"
"37","30","2018-12-30","27-182","PHI","@","POR","L (-34)","0","24:19","2","6",".333","2","6",".333","1","2",".500","2","2","4","1","0","0","1","2","7","4.1","-21",".509",".500","6.5","11.6","8.3","6.6","0.0","0.0","12.7","13.1","99","128"
"38","31","2019-01-01","27-184","PHI","@","LAC","W (+6)","0","12:43","4","7",".571","2","5",".400","0","0","","2","3","5","2","0","0","1","2","10","8.6","+10",".714",".714","16.4","22.6","19.7","28.1","0.0","0.0","12.5","24.8","140","111"
"39","32","2019-01-02","27-185","PHI","@","PHO","W (+5)","0","23:14","0","1",".000","0","1",".000","0","0","","0","4","4","2","1","0","2","5","0","-1.1","+5",".000",".000","0.0","16.9","10.2","10.3","1.9","0.0","66.7","5.4","40","118"
"40","33","2019-01-05","27-188","PHI","","DAL","W (+6)","0","15:25","2","5",".400","0","3",".000","0","0","","2","1","3","1","0","0","1","4","4","1.1","-11",".400",".400","13.0","6.2","9.5","9.5","0.0","0.0","16.7","17.4","87","105"
"41","34","2019-01-08","27-191","PHI","","WAS","W (+17)","0","18:19","1","3",".333","0","0","","1","1","1.000","1","4","5","4","0","1","2","2","3","3.9","+7",".436",".333","6.4","25.0","15.8","22.6","0.0","5.0","36.8","12.1","102","112"
"42","35","2019-01-09","27-192","PHI","@","WAS","L (-17)","0","14:11","1","2",".500","1","2",".500","0","0","","0","1","1","0","1","0","1","0","3","2.3","+8",".750",".750","0.0","8.5","4.0","0.0","3.3","0.0","33.3","8.2","90","121"
"43","36","2019-01-11","27-194","PHI","","ATL","L (-2)","1","26:47","6","10",".600","4","8",".500","0","0","","0","3","3","1","2","1","3","4","16","11.1","+1",".800",".800","0.0","15.8","7.3","5.2","3.7","3.2","23.1","20.5","108","121"
"44","37","2019-01-13","27-196","PHI","@","NYK","W (+3)","0","15:38","2","5",".400","1","3",".333","1","2",".500","1","1","2","2","2","2","1","2","6","6.9","+6",".510",".500","7.9","6.0","6.8","18.1","6.1","11.2","14.5","18.2","107","88"
"45","38","2019-01-15","27-198","PHI","","MIN","W (+42)","0","19:17","2","4",".500","0","2",".000","0","0","","1","1","2","1","0","1","0","2","4","3.6","+18",".500",".500","7.5","4.5","5.7","5.0","0.0","3.7","0.0","8.6","129","107"
"46","39","2019-01-17","27-200","PHI","@","IND","W (+24)","0","22:23","4","6",".667","3","4",".750","0","0","","1","6","7","0","1","1","0","0","11","12.6","+19",".917",".917","5.8","23.8","16.5","0.0","2.2","3.2","0.0","11.9","168","92"
"47","40","2019-01-19","27-202","PHI","","OKC","L (-2)","0","17:44","2","5",".400","0","2",".000","2","2","1.000","0","1","1","1","1","0","1","4","6","2.7","+18",".510",".400","0.0","5.9","2.9","8.3","2.7","0.0","14.5","16.2","97","118"
"48","41","2019-01-21","27-204","PHI","","HOU","W (+28)","0","24:20","0","3",".000","0","3",".000","2","2","1.000","1","4","5","1","0","1","0","1","2","2.8","+12",".258",".000","4.7","15.5","10.6","4.6","0.0","4.5","0.0","6.6","90","97"
