"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"5","1","2018-10-26","31-221","LAC","@","HOU","W (+20)","0","17:25","3","4",".750","2","3",".667","0","0","","1","6","7","5","0","0","2","2","8","9.6","+19"
"6","2","2018-10-28","31-223","LAC","","WAS","W (+32)","0","10:31","1","1","1.000","1","1","1.000","0","0","","0","0","0","3","1","0","0","2","3","5.0","+10"
"7","3","2018-10-30","31-225","LAC","@","OKC","L (-18)","0","6:51","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","1","3","0","3","0.4","-5"
"8","4","2018-11-01","31-227","LAC","@","PHI","L (-9)","0","5:03","0","2",".000","0","1",".000","0","0","","0","0","0","2","0","0","1","0","0","-1.0","-6"
"9","5","2018-11-02","31-228","LAC","@","ORL","W (+25)","0","16:46","2","3",".667","1","2",".500","1","2",".500","1","3","4","3","0","0","1","3","6","5.8","+21"
"10","6","2018-11-05","31-231","LAC","","MIN","W (+11)","0","11:53","1","1","1.000","1","1","1.000","0","0","","0","0","0","4","0","0","1","3","3","3.3","+3"
"11","7","2018-11-08","31-234","LAC","@","POR","L (-11)","0","4:02","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","2","0","-2.2","-6"
"16","8","2018-11-19","31-245","LAC","@","ATL","W (+8)","0","9:45","0","1",".000","0","1",".000","0","0","","0","2","2","1","0","0","1","2","0","-1.2","+11"
"19","9","2018-11-25","31-251","LAC","@","POR","W (+4)","0","6:59","2","4",".500","0","2",".000","2","2","1.000","0","0","0","1","0","0","0","2","6","3.9","-9"
"21","10","2018-11-29","31-255","LAC","@","SAC","W (+12)","0","5:57","0","1",".000","0","1",".000","0","0","","0","0","0","3","1","0","0","2","0","1.6","-5"
"22","11","2018-12-02","31-258","LAC","@","DAL","L (-4)","0","1:06","0","0","","0","0","","0","0","","0","0","0","0","1","0","0","1","0","0.6","-1"
"26","12","2018-12-10","31-266","LAC","@","PHO","W (+4)","0","12:08","3","6",".500","1","3",".333","1","2",".500","0","1","1","3","0","0","3","2","8","3.2","+5"
"27","13","2018-12-11","31-267","LAC","","TOR","L (-24)","0","19:04","3","7",".429","3","5",".600","0","1",".000","1","0","1","3","0","0","3","1","9","4.3","+6"
"28","14","2018-12-13","31-269","LAC","@","SAS","L (-38)","0","11:50","0","4",".000","0","3",".000","0","0","","0","0","0","2","0","0","3","2","0","-5.2","-12"
"29","15","2018-12-15","31-271","LAC","@","OKC","L (-6)","0","10:40","1","4",".250","0","2",".000","0","0","","0","0","0","2","0","0","2","3","2","-2.2","-5"
