"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","22-207","IND","","MEM","W (+28)","1","20:22","4","8",".500","0","0","","0","0","","3","5","8","1","0","4","1","3","8","8.9","+7",".500",".500","20.8","23.1","22.2","6.3","0.0","17.1","11.1","19.5","114","76"
"2","2","2018-10-19","22-209","IND","@","MIL","L (-17)","1","27:23","5","12",".417","0","4",".000","1","1","1.000","2","2","4","0","0","1","2","2","11","4.5","-15",".442",".417","7.3","8.2","7.7","0.0","0.0","3.7","13.9","21.8","84","117"
"3","3","2018-10-20","22-210","IND","","BRK","W (+20)","1","26:33","4","7",".571","1","1","1.000","5","6",".833","1","7","8","2","1","1","0","2","14","15.4","+11",".726",".643","4.4","32.4","18.1","8.3","1.8","3.7","0.0","15.6","164","107"
"4","4","2018-10-22","22-212","IND","@","MIN","L (-10)","1","26:00","6","13",".462","1","3",".333","3","3","1.000","2","1","3","1","1","1","1","5","16","10.4","0",".559",".500","7.2","4.5","6.0","7.4","1.9","3.6","6.5","24.8","114","103"
"5","5","2018-10-24","22-214","IND","@","SAS","W (+20)","1","27:38","5","8",".625","0","0","","0","0","","0","6","6","2","0","2","2","3","10","7.8","+4",".625",".625","0.0","20.8","12.1","9.3","0.0","5.1","20.0","17.3","99","102"
"6","6","2018-10-27","22-217","IND","@","CLE","W (+12)","1","27:34","7","10",".700","0","1",".000","1","1","1.000","1","1","2","1","0","3","2","2","15","11.8","+6",".718",".700","6.4","4.8","5.5","4.9","0.0","8.6","16.1","21.6","119","125"
"7","7","2018-10-29","22-219","IND","","POR","L (-10)","1","31:55","5","12",".417","0","1",".000","0","4",".000","4","5","9","1","1","3","0","2","10","9.3","+2",".363",".417","12.5","20.3","15.9","5.1","1.6","8.7","0.0","19.4","88","103"
"8","8","2018-10-31","22-221","IND","@","NYK","W (+6)","1","28:55","4","10",".400","0","0","","0","0","","1","2","3","4","0","2","1","3","8","5.9","+4",".400",".400","4.6","8.3","6.6","17.3","0.0","6.1","9.1","17.3","98","113"
"9","9","2018-11-02","22-223","IND","@","CHI","W (+2)","1","27:18","7","10",".700","0","3",".000","4","4","1.000","1","2","3","3","0","6","4","4","18","15.8","+6",".765",".700","4.3","8.0","6.2","19.0","0.0","18.2","25.4","26.2","118","106"
"10","10","2018-11-03","22-224","IND","","BOS","W (+1)","1","28:02","4","7",".571","0","0","","4","4","1.000","1","5","6","0","0","1","2","2","12","8.8","-7",".685",".571","4.0","18.2","11.4","0.0","0.0","4.1","18.6","16.7","113","108"
"11","11","2018-11-05","22-226","IND","","HOU","L (-4)","1","23:20","2","7",".286","0","1",".000","3","4",".750","1","1","2","0","1","3","3","2","7","2.8","-4",".400",".286","5.0","5.6","5.3","0.0","2.2","21.3","25.5","23.4","66","96"
"12","12","2018-11-07","22-228","IND","","PHI","L (-6)","1","30:10","2","8",".250","0","0","","3","4",".750","1","3","4","0","1","2","0","4","7","4.2","-6",".359",".250","3.5","12.6","7.6","0.0","1.6","6.8","0.0","14.1","83","100"
