"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","29-307","CHO","","MIL","L (-1)","1","31:49","2","8",".250","1","4",".250","0","0","","1","6","7","3","2","2","2","1","5","5.8","-4"
"2","2","2018-10-19","29-309","CHO","@","ORL","W (+32)","1","29:59","6","8",".750","3","4",".750","0","0","","0","6","6","5","2","0","2","0","15","17.1","+32"
"3","3","2018-10-20","29-310","CHO","@","MIA","W (+1)","1","41:44","2","10",".200","2","7",".286","2","2","1.000","1","3","4","4","1","0","1","3","8","5.0","0"
"4","4","2018-10-22","29-312","CHO","@","TOR","L (-21)","1","35:57","4","10",".400","3","7",".429","2","2","1.000","2","3","5","1","0","0","2","2","13","7.8","-22"
"5","5","2018-10-24","29-314","CHO","@","CHI","L (-2)","1","37:36","6","15",".400","1","6",".167","0","1",".000","0","3","3","4","1","1","3","0","13","6.9","+14"
"6","6","2018-10-26","29-316","CHO","","CHI","W (+29)","1","30:31","4","5",".800","2","3",".667","0","0","","1","7","8","5","2","1","1","3","10","14.9","+27"
"7","7","2018-10-27","29-317","CHO","@","PHI","L (-2)","1","31:08","1","5",".200","0","2",".000","0","0","","2","8","10","4","0","2","1","1","2","5.5","+12"
"8","8","2018-10-30","29-320","CHO","","MIA","W (+12)","1","32:20","7","10",".700","3","5",".600","3","4",".750","1","6","7","1","1","1","4","1","20","15.9","+6"
"9","9","2018-11-01","29-322","CHO","","OKC","L (-4)","1","35:39","4","8",".500","2","4",".500","0","0","","1","6","7","6","2","0","4","4","10","9.1","+5"
"10","10","2018-11-03","29-324","CHO","","CLE","W (+32)","1","26:18","4","9",".444","1","3",".333","0","0","","3","5","8","7","1","0","2","1","9","11.4","+5"
"11","11","2018-11-06","29-327","CHO","","ATL","W (+11)","1","32:34","4","7",".571","2","4",".500","0","0","","0","5","5","4","0","0","3","3","10","6.8","+11"
"12","12","2018-11-09","29-330","CHO","@","PHI","L (-1)","1","16:44","2","4",".500","1","1","1.000","0","0","","0","2","2","2","2","0","1","0","5","6.0","-9"
"13","13","2018-11-11","29-332","CHO","@","DET","W (+10)","1","34:07","2","6",".333","1","4",".250","0","0","","0","8","8","3","2","1","3","3","5","4.6","+13"
"14","14","2018-11-13","29-334","CHO","@","CLE","L (-24)","1","29:05","5","12",".417","1","4",".250","0","0","","5","0","5","3","0","0","2","3","11","7.0","-20"
"15","15","2018-11-17","29-338","CHO","","PHI","L (-3)","1","18:59","0","4",".000","0","1",".000","0","0","","1","0","1","4","1","1","1","0","0","1.4","-9"
"16","16","2018-11-19","29-340","CHO","","BOS","W (+5)","1","35:52","3","10",".300","2","6",".333","1","2",".500","3","5","8","1","1","0","2","0","9","6.1","+12"
"17","17","2018-11-21","29-342","CHO","","IND","W (+18)","1","23:04","4","5",".800","1","1","1.000","2","2","1.000","0","2","2","3","0","0","0","0","11","11.8","+17"
"18","18","2018-11-23","29-344","CHO","@","OKC","L (-5)","1","31:04","4","7",".571","1","4",".250","0","0","","1","8","9","4","0","0","2","1","9","9.2","-10"
"19","19","2018-11-25","29-346","CHO","@","ATL","L (-1)","1","27:35","5","8",".625","0","2",".000","4","4","1.000","2","2","4","5","0","0","4","2","14","11.1","-1"
"20","20","2018-11-26","29-347","CHO","","MIL","W (+3)","1","34:00","3","4",".750","1","2",".500","0","0","","2","1","3","2","1","0","1","3","7","7.3","-15"
"21","21","2018-11-28","29-349","CHO","","ATL","W (+14)","1","33:00","4","8",".500","0","2",".000","5","6",".833","1","5","6","3","2","1","2","1","13","13.2","+8"
"22","22","2018-11-30","29-351","CHO","","UTA","L (-8)","1","31:00","3","5",".600","0","0","","0","0","","0","3","3","0","1","1","0","2","6","5.5","-9"
"23","23","2018-12-02","29-353","CHO","","NOP","L (-10)","1","13:49","1","6",".167","0","3",".000","0","0","","0","3","3","1","0","0","1","1","2","-1.6","-20"
"24","24","2018-12-05","29-356","CHO","@","MIN","L (-17)","1","36:35","7","17",".412","3","6",".500","1","1","1.000","2","5","7","8","1","0","0","1","18","18.0","-17"
"25","25","2018-12-07","29-358","CHO","","DEN","W (+6)","1","26:26","0","4",".000","0","0","","4","4","1.000","2","5","7","1","0","1","1","4","4","2.9","+19"
"26","26","2018-12-09","29-360","CHO","@","NYK","W (+12)","1","23:36","2","6",".333","2","3",".667","0","0","","0","4","4","5","0","0","0","3","6","6.1","+2"
"27","27","2018-12-12","29-363","CHO","","DET","W (+1)","1","30:35","1","2",".500","0","1",".000","0","0","","0","3","3","3","1","1","0","2","2","4.9","-3"
"28","28","2018-12-14","30-000","CHO","","NYK","L (-2)","1","38:32","8","14",".571","5","8",".625","0","0","","0","6","6","7","0","0","0","1","21","20.7","+12"
"29","29","2018-12-15","30-001","CHO","","LAL","L (-28)","1","27:22","3","7",".429","1","5",".200","0","0","","0","1","1","2","1","0","3","2","7","2.2","-23"
"30","30","2018-12-19","30-005","CHO","","CLE","W (+11)","1","30:17","5","8",".625","2","3",".667","0","0","","0","3","3","2","0","0","2","1","12","8.3","+12"
"31","31","2018-12-21","30-007","CHO","","DET","W (+12)","1","36:15","1","4",".250","0","1",".000","0","2",".000","0","4","4","4","0","1","1","4","2","0.9","+6"
"32","32","2018-12-23","30-009","CHO","@","BOS","L (-16)","1","22:58","2","6",".333","1","2",".500","0","0","","0","5","5","1","0","0","1","2","5","2.0","-18"
"33","33","2018-12-26","30-012","CHO","@","BRK","L (-2)","1","43:56","5","7",".714","2","4",".500","1","1","1.000","0","2","2","3","1","0","2","3","13","10.6","-5"
"34","34","2018-12-28","30-014","CHO","","BRK","W (+13)","1","28:43","2","3",".667","1","1","1.000","0","0","","1","8","9","5","1","0","1","4","5","8.7","+25"
"35","35","2018-12-29","30-015","CHO","@","WAS","L (-4)","1","36:10","2","7",".286","1","4",".250","3","3","1.000","1","4","5","4","2","1","2","3","8","8.1","-5"
"36","36","2018-12-31","30-017","CHO","","ORL","W (+25)","1","26:30","3","6",".500","1","2",".500","0","0","","1","4","5","3","0","0","0","1","7","7.6","+4"
"37","37","2019-01-02","30-019","CHO","","DAL","L (-38)","1","28:11","3","6",".500","2","3",".667","0","0","","1","4","5","4","1","0","2","2","8","7.9","-25"
"38","38","2019-01-05","30-022","CHO","@","DEN","L (-13)","1","33:32","4","6",".667","3","5",".600","0","0","","1","6","7","3","2","1","1","2","11","13.9","-9"
"39","39","2019-01-06","30-023","CHO","@","PHO","W (+6)","1","35:59","3","7",".429","0","4",".000","2","2","1.000","0","4","4","3","3","0","1","3","8","8.4","+4"
"40","40","2019-01-08","30-025","CHO","@","LAC","L (-19)","1","37:07","1","6",".167","1","5",".200","7","7","1.000","0","5","5","4","1","1","1","0","10","11.2","-10"
"41","41","2019-01-11","30-028","CHO","@","POR","L (-31)","1","23:48","3","6",".500","2","3",".667","0","0","","0","5","5","2","0","0","3","1","8","4.5","-12"
