"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","27-248","NOP","@","HOU","W (+19)","1","29:54","11","20",".550","6","8",".750","2","3",".667","7","3","10","3","0","0","1","1","30","26.5","+14"
"2","2","2018-10-19","27-250","NOP","","SAC","W (+20)","1","31:19","14","21",".667","5","9",".556","3","6",".500","2","7","9","2","0","0","0","4","36","29.0","+14"
"3","3","2018-10-23","27-254","NOP","","LAC","W (+7)","1","30:01","7","18",".389","0","6",".000","4","5",".800","2","10","12","0","0","1","1","3","18","10.7","+3"
"4","4","2018-10-26","27-257","NOP","","BRK","W (+2)","1","22:55","3","7",".429","0","1",".000","4","4","1.000","3","5","8","1","1","1","1","1","10","10.9","+13"
"5","5","2018-10-27","27-258","NOP","","UTA","L (-21)","1","28:19","10","18",".556","4","9",".444","1","2",".500","1","7","8","0","0","0","2","3","25","15.6","-15"
"6","6","2018-10-29","27-260","NOP","@","DEN","L (-5)","1","37:53","7","17",".412","3","11",".273","0","2",".000","0","10","10","2","3","1","2","1","17","12.8","-4"
"7","7","2018-10-31","27-262","NOP","@","GSW","L (-10)","1","31:51","10","15",".667","2","7",".286","4","5",".800","3","9","12","1","2","0","1","4","26","24.0","+5"
"8","8","2018-11-01","27-263","NOP","@","POR","L (-13)","1","35:47","6","20",".300","1","6",".167","5","6",".833","6","7","13","3","1","2","1","2","18","15.0","-18"
"9","9","2018-11-03","27-265","NOP","@","SAS","L (-14)","1","35:46","9","16",".563","2","6",".333","2","2","1.000","0","16","16","1","0","0","0","1","22","19.5","0"
"10","10","2018-11-05","27-267","NOP","@","OKC","L (-6)","1","31:46","5","12",".417","1","5",".200","5","6",".833","2","14","16","0","2","0","1","3","16","14.6","0"
"11","11","2018-11-07","27-269","NOP","","CHI","W (+9)","1","29:30","4","14",".286","1","8",".125","0","0","","2","13","15","1","0","1","4","1","9","3.1","+2"
"14","12","2018-11-14","27-276","NOP","@","MIN","L (-7)","1","33:30","7","14",".500","2","8",".250","0","0","","1","9","10","1","1","0","2","3","16","10.9","0"
"15","13","2018-11-16","27-278","NOP","","NYK","W (+5)","1","27:03","4","11",".364","2","8",".250","2","2","1.000","1","9","10","1","0","1","0","2","12","9.9","-7"
"16","14","2018-11-17","27-279","NOP","","DEN","W (+10)","1","33:50","6","12",".500","3","7",".429","5","5","1.000","0","10","10","2","0","3","1","2","20","18.7","+14"
"17","15","2018-11-19","27-281","NOP","","SAS","W (+14)","1","28:42","4","7",".571","3","4",".750","2","2","1.000","1","4","5","0","1","1","0","3","13","12.1","+12"
"18","16","2018-11-21","27-283","NOP","@","PHI","L (-1)","1","29:16","3","9",".333","2","6",".333","5","6",".833","3","10","13","0","1","1","2","5","13","10.3","+9"
"19","17","2018-11-23","27-285","NOP","@","NYK","L (-5)","1","29:51","5","14",".357","3","9",".333","6","7",".857","4","5","9","2","1","1","2","1","19","15.8","0"
"20","18","2018-11-24","27-286","NOP","@","WAS","L (-10)","1","40:12","7","12",".583","5","9",".556","5","5","1.000","1","8","9","1","1","0","1","1","24","21.8","-9"
"21","19","2018-11-26","27-288","NOP","","BOS","L (-17)","1","36:52","8","15",".533","6","11",".545","3","3","1.000","0","5","5","0","0","0","0","3","25","18.0","-12"
"22","20","2018-11-28","27-290","NOP","","WAS","W (+21)","1","28:00","4","13",".308","3","8",".375","4","4","1.000","1","8","9","2","2","1","1","3","15","12.5","+8"
"23","21","2018-11-30","27-292","NOP","@","MIA","L (-5)","1","29:01","5","11",".455","3","9",".333","2","2","1.000","0","4","4","1","2","1","2","1","15","11.5","-10"
"24","22","2018-12-02","27-294","NOP","@","CHO","W (+10)","1","30:13","5","14",".357","3","10",".300","3","3","1.000","0","8","8","1","1","0","3","2","16","8.5","+24"
"27","23","2018-12-07","27-299","NOP","","MEM","L (-4)","0","20:26","1","6",".167","0","4",".000","2","2","1.000","0","2","2","1","0","0","3","4","4","-3.1","-4"
"28","24","2018-12-09","27-301","NOP","@","DET","W (+8)","0","30:29","5","13",".385","2","8",".250","0","0","","0","7","7","0","0","1","0","4","12","6.1","-9"
"29","25","2018-12-10","27-302","NOP","@","BOS","L (-13)","0","7:03","1","5",".200","1","4",".250","0","0","","0","1","1","0","0","0","0","1","3","-0.2","-7"
"42","26","2019-01-09","27-332","NOP","","CLE","W (+16)","0","21:50","6","11",".545","4","7",".571","1","3",".333","1","3","4","1","0","0","1","3","17","11.0","+5"
"43","27","2019-01-12","27-335","NOP","@","MIN","L (-4)","0","26:55","3","8",".375","1","6",".167","2","2","1.000","0","6","6","0","0","3","0","5","9","6.5","+4"
"44","28","2019-01-14","27-337","NOP","@","LAC","W (+4)","0","17:24","0","3",".000","0","2",".000","0","0","","1","1","2","1","0","0","1","4","0","-3.0","-9"
"45","29","2019-01-16","27-339","NOP","@","GSW","L (-7)","0","28:59","9","14",".643","6","10",".600","5","6",".833","1","4","5","3","1","1","0","4","29","26.5","+2"
"46","30","2019-01-18","27-341","NOP","@","POR","L (-16)","0","23:36","3","10",".300","3","7",".429","4","4","1.000","0","3","3","2","0","2","1","4","13","8.3","-4"
"47","31","2019-01-21","27-344","NOP","@","MEM","W (+20)","0","32:19","6","15",".400","5","12",".417","4","4","1.000","0","6","6","1","1","2","2","5","21","13.8","+23"
"48","32","2019-01-23","27-346","NOP","","DET","L (-4)","0","24:25","4","12",".333","3","6",".500","0","0","","3","4","7","1","0","1","1","2","11","7.1","-9"
"60","33","2019-02-21","28-010","MIL","","BOS","W (+1)","0","13:58","3","7",".429","2","6",".333","0","0","","1","2","3","0","0","0","0","1","8","5.2","+1"
"61","34","2019-02-23","28-012","MIL","","MIN","W (+12)","0","18:14","7","11",".636","3","6",".500","0","0","","1","5","6","1","1","2","0","1","17","17.0","+10"
"62","35","2019-02-25","28-014","MIL","@","CHI","W (+11)","0","22:41","5","11",".455","3","9",".333","0","0","","1","3","4","2","0","0","0","2","13","9.5","0"
"63","36","2019-02-27","28-016","MIL","@","SAC","W (+1)","0","26:49","7","14",".500","5","8",".625","2","2","1.000","1","7","8","3","0","2","0","1","21","19.9","+18"
"64","37","2019-03-01","28-018","MIL","@","LAL","W (+11)","0","22:05","4","7",".571","1","4",".250","2","2","1.000","1","4","5","2","1","0","2","1","11","9.6","+5"
"65","38","2019-03-02","28-019","MIL","@","UTA","L (-4)","1","27:11","1","7",".143","1","6",".167","0","0","","0","6","6","1","1","0","1","2","3","0.2","+16"
"66","39","2019-03-04","28-021","MIL","@","PHO","L (-9)","0","22:39","3","14",".214","3","10",".300","4","4","1.000","2","5","7","0","1","2","1","1","13","8.3","-19"
"67","40","2019-03-07","28-024","MIL","","IND","W (+19)","0","19:21","1","6",".167","0","3",".000","0","0","","0","6","6","1","1","1","0","1","2","2.0","0"
"68","41","2019-03-09","28-026","MIL","","CHO","W (+17)","0","24:39","6","10",".600","5","7",".714","1","2",".500","0","6","6","3","2","0","1","2","18","17.1","+17"
"69","42","2019-03-10","28-027","MIL","@","SAS","L (-7)","0","21:50","3","8",".375","2","5",".400","2","2","1.000","0","4","4","1","0","0","1","3","10","5.3","+5"
"70","43","2019-03-12","28-029","MIL","@","NOP","W (+17)","0","23:59","4","10",".400","1","5",".200","5","6",".833","1","3","4","2","0","0","1","3","14","9.0","+2"
"71","44","2019-03-15","28-032","MIL","@","MIA","W (+15)","0","28:52","3","9",".333","2","5",".400","0","0","","1","5","6","1","1","2","2","2","8","5.4","+21"
"72","45","2019-03-17","28-034","MIL","","PHI","L (-5)","1","23:51","1","7",".143","0","6",".000","0","0","","1","3","4","2","2","0","2","1","2","0.1","-8"
"73","46","2019-03-19","28-036","MIL","","LAL","W (+14)","1","24:02","8","14",".571","3","7",".429","4","5",".800","4","2","6","1","0","0","0","0","23","20.1","+18"
