"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","33-165","HOU","","NOP","L (-19)","1","34:19","6","11",".545","4","7",".571","3","4",".750","0","2","2","1","1","1","0","2","19","15.5","-13",".745",".727","0.0","6.5","3.1","4.6","1.4","1.9","0.0","15.7","148","130"
"2","2","2018-10-20","33-168","HOU","@","LAL","W (+9)","1","35:39","2","6",".333","2","6",".333","0","0","","2","7","9","3","0","0","1","4","6","5.6","-6",".500",".500","5.6","18.8","12.4","9.8","0.0","0.0","14.3","7.5","118","110"
"3","3","2018-10-21","33-169","HOU","@","LAC","L (-3)","1","37:12","1","2",".500","1","1","1.000","0","2",".000","1","2","3","1","1","1","0","4","3","3.3","+8",".521",".750","3.0","6.3","4.6","3.1","1.3","2.0","0.0","3.5","120","119"
"4","4","2018-10-24","33-172","HOU","","UTA","L (-11)","1","38:49","2","9",".222","2","7",".286","0","0","","0","3","3","0","7","1","1","4","6","6.5","-10",".333",".333","0.0","10.9","4.5","0.0","9.1","2.5","10.0","11.4","63","92"
"5","5","2018-10-26","33-174","HOU","","LAC","L (-20)","1","34:04","5","12",".417","2","6",".333","0","0","","5","1","6","3","3","1","1","1","12","13.8","-17",".500",".500","12.8","4.5","9.8","13.7","4.1","2.5","7.7","15.0","120","126"
"6","6","2018-10-30","33-178","HOU","","POR","L (-19)","1","34:00","3","6",".500","2","5",".400","0","0","","3","5","8","1","2","1","2","2","8","9.2","-11",".667",".667","6.6","19.6","11.3","5.3","2.9","2.4","25.0","9.6","106","105"
"7","7","2018-11-02","33-181","HOU","@","BRK","W (+8)","1","39:04","1","1","1.000","1","1","1.000","2","2","1.000","2","9","11","2","0","1","0","3","5","9.7","+21","1.330","1.500","6.1","28.4","17.1","6.2","0.0","2.4","0.0","2.2","251","121"
"8","8","2018-11-03","33-182","HOU","@","CHI","W (+8)","1","33:40","2","6",".333","2","4",".500","0","0","","1","4","5","1","1","0","0","4","6","4.6","-8",".500",".500","3.3","14.6","8.7","4.4","1.5","0.0","0.0","7.8","116","96"
"9","9","2018-11-05","33-184","HOU","@","IND","W (+4)","1","33:11","3","8",".375","3","7",".429","0","0","","0","4","4","0","2","0","0","2","9","7.0","+9",".563",".563","0.0","14.1","7.4","0.0","3.1","0.0","0.0","11.7","103","101"
"10","10","2018-11-08","33-187","HOU","@","OKC","L (-18)","1","32:31","4","6",".667","3","5",".600","2","2","1.000","1","2","3","2","0","0","2","4","13","9.5","-4",".945",".917","2.9","7.4","4.9","11.8","0.0","0.0","22.5","12.8","144","118"
"11","11","2018-11-10","33-189","HOU","@","SAS","L (-7)","1","38:32","1","3",".333","1","3",".333","0","0","","0","7","7","0","0","0","1","3","3","1.2","-23",".500",".500","0.0","20.8","9.2","0.0","0.0","0.0","25.0","4.5","77","110"
"12","12","2018-11-11","33-190","HOU","","IND","W (+12)","1","39:50","4","6",".667","4","6",".667","0","0","","1","4","5","0","0","0","1","3","12","9.1","+21","1.000","1.000","3.2","13.8","8.3","0.0","0.0","0.0","14.3","8.2","159","115"
"13","13","2018-11-13","33-192","HOU","@","DEN","W (+10)","1","40:46","4","8",".500","4","7",".571","0","0","","0","6","6","2","1","1","1","3","12","10.7","+25",".750",".750","0.0","21.4","11.2","6.9","1.3","2.3","11.1","11.0","132","111"
"14","14","2018-11-15","33-194","HOU","","GSW","W (+21)","1","31:16","1","3",".333","0","2",".000","1","2",".500","1","3","4","1","0","0","0","3","3","2.0","+13",".387",".333","3.3","11.8","7.2","4.6","0.0","0.0","0.0","5.8","111","106"
"15","15","2018-11-17","33-196","HOU","","SAC","W (+20)","1","29:36","4","9",".444","1","5",".200","0","0","","1","7","8","0","1","0","4","2","9","3.3","+19",".500",".500","5.1","23.6","16.2","0.0","1.5","0.0","30.8","18.6","70","107"
"16","16","2018-11-21","33-200","HOU","","DET","W (+2)","1","25:11","2","3",".667","2","3",".667","0","0","","0","4","4","0","1","1","1","2","6","5.8","+11","1.000","1.000","0.0","16.6","10.4","0.0","2.0","3.7","25.0","7.4","133","124"
"17","17","2018-11-23","33-202","HOU","@","DET","L (-5)","1","44:04","4","10",".400","3","6",".500","0","0","","1","7","8","2","1","0","1","4","11","8.2","-3",".550",".550","2.3","20.5","10.3","6.6","1.2","0.0","9.1","10.9","115","115"
"18","18","2018-11-24","33-203","HOU","@","CLE","L (-9)","1","41:49","3","7",".429","1","4",".250","0","0","","2","7","9","0","0","0","2","5","7","2.8","+2",".500",".500","6.2","18.7","12.9","0.0","0.0","0.0","22.2","10.1","89","126"
"19","19","2018-11-26","33-205","HOU","@","WAS","L (-4)","1","43:15","2","7",".286","1","5",".200","0","0","","3","10","13","3","3","1","2","5","5","7.8","+7",".357",".357","7.8","31.4","18.5","8.4","3.5","2.0","22.2","8.6","96","121"
"20","20","2018-11-28","33-207","HOU","","DAL","L (-20)","1","34:56","2","7",".286","1","6",".167","0","0","","2","2","4","1","2","0","0","3","5","4.4","-22",".357",".357","6.5","8.3","7.3","3.7","2.9","0.0","0.0","8.5","105","135"
"21","21","2018-11-30","33-209","HOU","@","SAS","W (+31)","1","24:19","3","4",".750","2","3",".667","2","2","1.000","0","7","7","1","2","0","0","2","10","12.4","+23","1.025","1.000","0.0","30.7","15.4","4.6","4.1","0.0","0.0","8.6","208","102"
"22","22","2018-12-01","33-210","HOU","","CHI","W (+16)","1","30:46","4","8",".500","2","5",".400","1","1","1.000","1","5","6","1","1","0","0","2","11","10.1","+10",".652",".625","3.9","16.3","10.6","4.4","1.5","0.0","0.0","11.8","137","104"
"23","23","2018-12-03","33-212","HOU","@","MIN","L (-12)","1","36:46","1","7",".143","1","6",".167","0","0","","3","6","9","1","1","1","2","2","3","2.0","-14",".214",".214","10.9","19.6","15.5","4.3","1.4","2.2","22.2","11.5","59","112"
"24","24","2018-12-06","33-215","HOU","@","UTA","L (-27)","1","18:19","0","2",".000","0","2",".000","0","0","","0","5","5","0","0","0","1","4","0","-2.5","-19",".000",".000","0.0","32.0","14.6","0.0","0.0","0.0","33.3","6.6","0","117"
"25","25","2018-12-08","33-217","HOU","@","DAL","L (-3)","1","39:11","2","9",".222","1","4",".250","0","0","","3","3","6","0","1","0","0","2","5","2.7","-6",".278",".278","9.2","9.2","9.2","0.0","1.4","0.0","0.0","10.6","83","121"
"26","26","2018-12-11","33-220","HOU","","POR","W (+7)","1","29:10","3","6",".500","1","3",".333","0","0","","2","3","5","0","0","0","1","2","7","4.5","-17",".583",".583","7.7","11.5","9.6","0.0","0.0","0.0","14.3","11.1","112","120"
"27","27","2018-12-13","33-222","HOU","","LAL","W (+15)","1","37:26","2","6",".333","2","4",".500","0","2",".000","2","2","4","1","0","0","0","3","6","3.3","+11",".436",".500","6.6","7.3","6.9","3.3","0.0","0.0","0.0","7.9","120","124"
