"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","24-198","TOR","","CLE","W (+12)","1","19:57","6","8",".750","1","1","1.000","0","0","","0","2","2","2","0","1","0","2","13","11.7","+11"
"2","2","2018-10-19","24-200","TOR","","BOS","W (+12)","1","17:36","2","6",".333","0","2",".000","0","0","","0","5","5","2","0","0","2","1","4","1.1","0"
"3","3","2018-10-20","24-201","TOR","@","WAS","W (+4)","0","26:26","4","8",".500","1","1","1.000","1","3",".333","4","6","10","2","1","1","2","6","10","8.5","+9"
"4","4","2018-10-22","24-203","TOR","","CHO","W (+21)","1","19:46","2","4",".500","0","1",".000","0","0","","1","4","5","2","0","0","2","3","4","2.1","+16"
"5","5","2018-10-24","24-205","TOR","","MIN","W (+7)","1","19:43","4","6",".667","1","1","1.000","0","1",".000","2","2","4","3","1","2","0","3","9","11.3","+7"
"6","6","2018-10-26","24-207","TOR","","DAL","W (+9)","1","37:25","4","8",".500","0","2",".000","2","2","1.000","1","6","7","3","1","0","3","3","10","7.4","+11"
"7","7","2018-10-29","24-210","TOR","@","MIL","L (-15)","1","33:19","10","16",".625","0","4",".000","2","3",".667","2","6","8","2","4","1","2","2","22","20.9","-11"
"8","8","2018-10-30","24-211","TOR","","PHI","W (+17)","1","33:24","6","8",".750","0","1",".000","3","4",".750","1","14","15","2","3","0","3","3","15","16.5","+24"
"9","9","2018-11-02","24-214","TOR","@","PHO","W (+9)","1","26:36","4","5",".800","0","0","","2","4",".500","1","4","5","1","1","0","0","2","10","10.1","+7"
"10","10","2018-11-04","24-216","TOR","@","LAL","W (+14)","1","34:38","8","14",".571","0","1",".000","0","0","","5","8","13","3","1","0","2","2","16","15.6","+25"
"11","11","2018-11-05","24-217","TOR","@","UTA","W (+13)","1","30:50","7","11",".636","0","2",".000","2","2","1.000","1","6","7","2","1","0","2","2","16","13.2","+25"
"12","12","2018-11-07","24-219","TOR","@","SAC","W (+9)","1","34:58","8","11",".727","0","2",".000","5","5","1.000","1","2","3","1","2","0","1","3","21","18.3","0"
"13","13","2018-11-10","24-222","TOR","","NYK","W (+16)","1","28:22","6","7",".857","3","4",".750","8","9",".889","1","2","3","2","0","0","2","3","23","19.6","+8"
"14","14","2018-11-12","24-224","TOR","","NOP","L (-16)","1","28:23","8","12",".667","2","4",".500","4","4","1.000","0","3","3","1","1","3","0","5","22","19.5","-10"
"15","15","2018-11-14","24-226","TOR","","DET","L (-2)","1","29:26","8","12",".667","1","1","1.000","0","1",".000","2","5","7","2","1","1","1","4","17","14.8","0"
"16","16","2018-11-16","24-228","TOR","@","BOS","L (-7)","1","39:14","6","11",".545","0","0","","4","6",".667","3","6","9","4","2","0","2","6","16","14.2","-2"
"17","17","2018-11-17","24-229","TOR","@","CHI","W (+39)","1","29:10","4","10",".400","0","2",".000","4","4","1.000","1","7","8","5","1","1","1","2","12","12.8","+30"
"18","18","2018-11-20","24-232","TOR","@","ORL","W (+2)","1","33:39","7","11",".636","0","2",".000","1","1","1.000","1","8","9","1","1","1","2","5","15","11.6","+1"
"19","19","2018-11-21","24-233","TOR","@","ATL","W (+16)","1","31:42","9","13",".692","1","3",".333","3","5",".600","1","3","4","2","2","0","1","2","22","18.9","+19"
"20","20","2018-11-23","24-235","TOR","","WAS","W (+18)","1","25:37","2","5",".400","1","1","1.000","2","2","1.000","0","8","8","3","0","1","1","4","7","6.9","+4"
"21","21","2018-11-25","24-237","TOR","","MIA","W (+10)","1","30:38","8","9",".889","1","1","1.000","4","4","1.000","1","5","6","3","2","2","1","1","21","24.2","+25"
"22","22","2018-11-27","24-239","TOR","@","MEM","W (+8)","1","30:57","3","5",".600","0","1",".000","4","6",".667","1","5","6","4","0","1","1","4","10","10.0","+10"
"23","23","2018-11-29","24-241","TOR","","GSW","W (+3)","1","42:29","8","10",".800","3","4",".750","7","8",".875","0","2","2","1","0","1","1","3","26","21.6","+7"
"24","24","2018-12-01","24-243","TOR","@","CLE","W (+11)","1","33:22","6","11",".545","0","2",".000","3","4",".750","0","5","5","5","0","0","3","4","15","9.7","+14"
"25","25","2018-12-03","24-245","TOR","","DEN","L (-3)","1","29:27","7","10",".700","0","2",".000","0","0","","1","5","6","7","2","0","3","2","14","15.1","-1"
"26","26","2018-12-05","24-247","TOR","","PHI","W (+11)","1","31:21","3","8",".375","0","0","","0","0","","5","3","8","6","1","0","0","4","6","9.6","+2"
"27","27","2018-12-07","24-249","TOR","@","BRK","L (-1)","1","36:40","6","15",".400","1","3",".333","3","4",".750","1","5","6","2","1","2","1","2","16","11.7","+2"
"28","28","2018-12-09","24-251","TOR","","MIL","L (-5)","1","25:21","7","12",".583","2","4",".500","1","2",".500","2","5","7","2","0","3","1","1","17","16.0","-5"
"29","29","2018-12-11","24-253","TOR","@","LAC","W (+24)","1","26:33","6","9",".667","1","2",".500","0","0","","0","3","3","5","1","0","1","3","13","12.3","+29"
"30","30","2018-12-12","24-254","TOR","@","GSW","W (+20)","1","34:46","5","10",".500","1","2",".500","2","2","1.000","0","3","3","3","2","1","5","2","13","7.9","+15"
"31","31","2018-12-14","24-256","TOR","@","POR","L (-6)","1","24:40","3","8",".375","2","4",".500","2","2","1.000","1","3","4","1","0","0","3","2","10","4.1","+3"
"33","32","2018-12-19","24-261","TOR","","IND","W (+3)","1","34:55","6","10",".600","0","0","","5","6",".833","1","6","7","4","3","1","2","4","17","17.4","+4"
"34","33","2018-12-21","24-263","TOR","","CLE","W (+16)","1","37:27","6","17",".353","2","5",".400","1","3",".333","5","5","10","3","1","1","1","1","15","12.1","+17"
"35","34","2018-12-22","24-264","TOR","@","PHI","L (-25)","1","37:16","11","21",".524","0","6",".000","4","4","1.000","2","4","6","2","1","0","0","1","26","20.3","-21"
"36","35","2018-12-26","24-268","TOR","@","MIA","W (+2)","1","33:33","4","7",".571","0","1",".000","2","3",".667","0","9","9","2","1","1","6","5","10","4.1","0"
"37","36","2018-12-28","24-270","TOR","@","ORL","L (-29)","1","28:42","1","8",".125","0","2",".000","2","3",".667","1","3","4","2","0","0","2","4","4","-2.2","-20"
"38","37","2018-12-30","24-272","TOR","","CHI","W (+6)","1","33:44","7","12",".583","1","1","1.000","5","6",".833","6","6","12","4","0","0","3","3","20","18.6","+2"
"39","38","2019-01-01","24-274","TOR","","UTA","W (+6)","1","32:13","9","15",".600","3","4",".750","7","7","1.000","1","9","10","1","0","0","1","3","28","23.0","+12"
"40","39","2019-01-03","24-276","TOR","@","SAS","L (-18)","1","27:05","4","8",".500","0","2",".000","2","2","1.000","0","6","6","7","1","1","4","4","10","8.8","-17"
"41","40","2019-01-05","24-278","TOR","@","MIL","W (+7)","1","38:50","11","15",".733","3","5",".600","5","7",".714","2","2","4","3","0","2","0","4","30","27.0","+16"
"42","41","2019-01-06","24-279","TOR","","IND","W (+16)","1","26:05","4","8",".500","0","1",".000","4","4","1.000","2","8","10","4","0","0","3","1","12","11.2","+5"
"43","42","2019-01-08","24-281","TOR","","ATL","W (+3)","1","34:53","6","13",".462","0","3",".000","1","4",".250","1","9","10","3","1","1","4","5","13","6.3","+7"
"44","43","2019-01-11","24-284","TOR","","BRK","W (+17)","1","25:47","6","13",".462","0","2",".000","4","7",".571","2","4","6","2","1","0","1","3","16","10.9","+20"
"45","44","2019-01-13","24-286","TOR","@","WAS","W (+2)","1","44:13","9","16",".563","0","2",".000","6","6","1.000","5","14","19","2","3","2","5","6","24","22.5","-5"
"46","45","2019-01-16","24-289","TOR","@","BOS","L (-9)","1","35:47","3","6",".500","0","0","","0","0","","1","3","4","7","1","0","3","4","6","5.9","+1"
"47","46","2019-01-17","24-290","TOR","","PHO","W (+2)","1","33:00","4","8",".500","0","3",".000","2","2","1.000","2","10","12","5","1","2","1","1","10","14.9","-3"
"48","47","2019-01-19","24-292","TOR","","MEM","W (+29)","1","28:42","7","12",".583","0","1",".000","3","4",".750","2","6","8","2","1","0","0","2","17","15.8","+40"
"49","48","2019-01-22","24-295","TOR","","SAC","W (+15)","1","31:21","8","14",".571","1","4",".250","1","1","1.000","1","3","4","1","1","1","2","3","18","12.2","+11"
"50","49","2019-01-23","24-296","TOR","@","IND","L (-4)","1","37:00","5","16",".313","1","4",".250","5","5","1.000","3","6","9","4","0","0","0","4","16","11.9","-10"
"51","50","2019-01-25","24-298","TOR","@","HOU","L (-2)","1","33:37","9","15",".600","2","2","1.000","2","2","1.000","4","8","12","3","0","0","2","3","22","19.2","+6"
