"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"2","1","2018-10-19","25-286","MIL","","IND","W (+17)","0","3:44","0","2",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","0","0","-0.7","-9"
"5","2","2018-10-26","25-293","MIL","@","MIN","W (+30)","0","17:29","3","8",".375","1","5",".200","0","0","","0","7","7","0","0","0","1","3","7","2.5","+5"
"6","3","2018-10-27","25-294","MIL","","ORL","W (+22)","0","19:12","3","7",".429","2","4",".500","2","2","1.000","0","6","6","1","0","1","1","1","10","8.1","-1"
"7","4","2018-10-29","25-296","MIL","","TOR","W (+15)","0","16:25","3","8",".375","2","4",".500","0","2",".000","2","6","8","0","1","0","1","1","8","5.6","-3"
"8","5","2018-11-01","25-299","MIL","@","BOS","L (-4)","0","8:54","1","2",".500","0","1",".000","0","0","","0","3","3","2","0","0","0","1","2","2.9","+2"
"9","6","2018-11-04","25-302","MIL","","SAC","W (+35)","0","17:53","5","8",".625","3","4",".750","0","0","","3","2","5","0","0","1","0","0","13","12.8","+7"
"10","7","2018-11-06","25-304","MIL","@","POR","L (-15)","0","6:07","0","0","","0","0","","2","2","1.000","2","0","2","0","0","0","0","0","2","3.4","-7"
"11","8","2018-11-08","25-306","MIL","@","GSW","W (+23)","0","21:16","7","11",".636","1","3",".333","0","1",".000","2","2","4","2","0","1","1","3","15","11.6","+9"
"12","9","2018-11-10","25-308","MIL","@","LAC","L (-2)","0","25:53","3","8",".375","2","6",".333","2","2","1.000","3","2","5","5","0","1","0","2","10","11.7","+23"
"13","10","2018-11-11","25-309","MIL","@","DEN","W (+7)","0","18:03","1","3",".333","0","2",".000","0","0","","0","3","3","3","0","3","1","0","2","4.4","+8"
"14","11","2018-11-14","25-312","MIL","","MEM","L (-3)","0","27:08","6","9",".667","2","5",".400","2","4",".500","2","4","6","2","2","1","1","1","16","16.6","+21"
"15","12","2018-11-16","25-314","MIL","","CHI","W (+19)","0","22:46","1","4",".250","0","3",".000","0","0","","0","7","7","4","1","0","0","2","2","4.7","+14"
"16","13","2018-11-19","25-317","MIL","","DEN","W (+6)","0","17:58","2","3",".667","1","2",".500","0","0","","1","2","3","2","0","0","0","1","5","6.0","+3"
"17","14","2018-11-21","25-319","MIL","","POR","W (+43)","0","18:58","2","4",".500","1","2",".500","0","0","","1","2","3","2","1","0","0","1","5","6.3","+12"
"18","15","2018-11-23","25-321","MIL","","PHO","L (-2)","0","21:05","3","7",".429","2","6",".333","0","0","","0","5","5","2","2","2","0","0","8","10.6","+14"
"19","16","2018-11-24","25-322","MIL","","SAS","W (+6)","0","16:07","2","6",".333","0","4",".000","0","0","","1","2","3","0","0","1","1","3","4","0.4","-24"
"20","17","2018-11-26","25-324","MIL","@","CHO","L (-3)","0","26:02","4","10",".400","3","7",".429","4","5",".800","4","1","5","2","0","0","1","3","15","11.5","-11"
"21","18","2018-11-28","25-326","MIL","","CHI","W (+3)","0","24:29","3","7",".429","1","4",".250","0","0","","0","4","4","3","0","2","1","1","7","6.6","-9"
