"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","29-216","OKC","@","GSW","L (-8)","1","18:53","2","9",".222","1","4",".250","2","3",".667","3","2","5","0","1","1","1","0","7","4.5","+3",".339",".278","13.4","11.1","12.3","0.0","2.5","3.7","8.8","23.7","80","105"
"2","2","2018-10-19","29-219","OKC","@","LAC","L (-16)","1","19:27","2","4",".500","1","2",".500","0","0","","1","1","2","0","0","1","0","1","5","4.3","-9",".625",".625","4.7","5.3","4.9","0.0","0.0","4.5","0.0","8.4","135","113"
"3","3","2018-10-21","29-221","OKC","","SAC","L (-11)","1","12:34","1","6",".167","1","6",".167","1","1","1.000","0","2","2","0","1","1","0","0","4","2.5","-12",".311",".250","0.0","17.0","7.9","0.0","3.5","5.5","0.0","18.2","80","114"
"4","4","2018-10-25","29-225","OKC","","BOS","L (-6)","0","17:24","3","5",".600","1","2",".500","0","0","","2","5","7","0","0","0","1","3","7","5.4","-1",".700",".700","10.8","27.0","18.9","0.0","0.0","0.0","16.7","13.7","121","101"
"5","5","2018-10-28","29-228","OKC","","PHO","W (+7)","0","29:44","6","10",".600","2","5",".400","3","4",".750","1","3","4","0","0","0","0","3","17","12.4","-8",".723",".700","3.8","11.0","7.4","0.0","0.0","0.0","0.0","16.5","148","112"
"6","6","2018-10-30","29-230","OKC","","LAC","W (+18)","0","20:29","3","3","1.000","2","2","1.000","0","0","","0","2","2","0","1","0","1","1","8","7.3","+1","1.333","1.333","0.0","12.3","5.9","0.0","2.1","0.0","25.0","7.6","177","105"
"7","7","2018-11-01","29-232","OKC","@","CHO","W (+4)","0","7:15","0","3",".000","0","3",".000","0","0","","0","3","3","0","0","0","0","0","0","-1.2","+2",".000",".000","0.0","43.2","19.9","0.0","0.0","0.0","0.0","16.7","0","102"
"8","8","2018-11-02","29-233","OKC","@","WAS","W (+23)","0","17:47","2","8",".250","2","5",".400","2","2","1.000","3","2","5","1","0","1","0","2","8","6.5","+19",".450",".375","26.1","14.6","19.8","6.2","0.0","4.8","0.0","21.7","122","112"
"9","9","2018-11-05","29-236","OKC","","NOP","W (+6)","0","16:43","3","4",".750","3","3","1.000","1","2",".500","0","2","2","1","0","0","0","3","10","8.1","-3","1.025","1.125","0.0","13.4","6.7","7.9","0.0","0.0","0.0","11.8","192","117"
"10","10","2018-11-07","29-238","OKC","@","CLE","W (+9)","0","16:53","1","5",".200","1","3",".333","0","2",".000","0","4","4","1","0","0","0","1","3","0.6","0",".255",".300","0.0","23.2","12.0","8.8","0.0","0.0","0.0","15.6","61","93"
"11","11","2018-11-08","29-239","OKC","","HOU","W (+18)","0","12:54","1","3",".333","1","3",".333","0","0","","0","2","2","0","0","0","1","1","3","0.5","-4",".500",".500","0.0","14.6","8.2","0.0","0.0","0.0","25.0","14.1","77","96"
"12","12","2018-11-10","29-241","OKC","@","DAL","L (-15)","0","15:16","2","6",".333","1","4",".250","0","0","","1","2","3","0","0","0","1","1","5","1.5","-17",".417",".417","5.2","20.3","10.4","0.0","0.0","0.0","14.3","18.2","89","123"
"13","13","2018-11-12","29-243","OKC","","PHO","W (+17)","0","15:27","2","3",".667","1","2",".500","0","0","","1","0","1","1","0","0","0","0","5","5.1","-2",".833",".833","8.0","0.0","3.9","8.4","0.0","0.0","0.0","8.2","183","116"
"14","14","2018-11-14","29-245","OKC","","NYK","W (+25)","0","18:17","2","4",".500","0","0","","1","2",".500","2","0","2","1","1","0","1","0","5","4.7","+22",".512",".500","13.1","0.0","6.3","5.7","2.6","0.0","17.0","13.3","111","105"
"15","15","2018-11-17","29-248","OKC","@","PHO","W (+10)","0","15:35","1","5",".200","1","3",".333","1","2",".500","1","2","3","0","0","0","0","0","4","1.8","-4",".340",".300","7.5","14.7","11.1","0.0","0.0","0.0","0.0","15.5","92","108"
"16","16","2018-11-19","29-250","OKC","@","SAC","L (-4)","0","15:09","0","5",".000","0","5",".000","0","0","","0","1","1","2","0","0","0","0","0","-1.8","+1",".000",".000","0.0","5.9","2.8","14.1","0.0","0.0","0.0","12.4","24","114"
"17","17","2018-11-21","29-252","OKC","@","GSW","W (+28)","0","13:31","0","3",".000","0","2",".000","0","0","","1","4","5","0","0","0","1","1","0","-1.6","+3",".000",".000","6.7","28.4","17.2","0.0","0.0","0.0","25.0","11.6","20","96"
"18","18","2018-11-23","29-254","OKC","","CHO","W (+5)","0","12:51","0","3",".000","0","2",".000","0","0","","0","1","1","1","0","0","0","0","0","-1.1","-5",".000",".000","0.0","8.1","4.1","9.1","0.0","0.0","0.0","9.5","22","108"
"19","19","2018-11-24","29-255","OKC","","DEN","L (-7)","0","9:00","0","3",".000","0","2",".000","0","0","","1","1","2","0","1","0","0","0","0","-0.1","-10",".000",".000","9.2","10.7","9.9","0.0","5.3","0.0","0.0","13.0","20","100"
"20","20","2018-11-28","29-259","OKC","","CLE","W (+17)","0","13:17","0","2",".000","0","1",".000","0","0","","0","3","3","0","0","0","0","2","0","-1.3","+14",".000",".000","0.0","22.1","11.7","0.0","0.0","0.0","0.0","6.8","0","91"
"21","21","2018-11-30","29-261","OKC","","ATL","W (+15)","0","21:18","4","9",".444","3","8",".375","2","2","1.000","0","1","1","3","3","0","1","1","13","12.3","0",".658",".611","0.0","4.3","2.6","18.3","6.3","0.0","9.2","21.4","129","97"
"22","22","2018-12-03","29-264","OKC","@","DET","W (+27)","0","18:37","2","4",".500","0","1",".000","0","1",".000","0","2","2","1","1","1","1","2","4","2.8","+10",".450",".500","0.0","9.4","5.5","6.8","2.5","4.2","18.4","12.7","78","80"
"23","23","2018-12-05","29-266","OKC","@","BRK","W (+2)","0","6:47","0","3",".000","0","1",".000","0","0","","1","0","1","0","0","0","0","1","0","-1.8","-11",".000",".000","13.6","0.0","6.7","0.0","0.0","0.0","0.0","17.2","25","119"
"24","24","2018-12-07","29-268","OKC","@","CHI","L (-2)","0","11:09","0","1",".000","0","1",".000","0","0","","0","2","2","0","0","0","0","0","0","-0.1","-8",".000",".000","0.0","20.5","9.6","0.0","0.0","0.0","0.0","3.4","0","113"
"25","25","2018-12-10","29-271","OKC","","UTA","W (+9)","0","18:27","0","0","","0","0","","0","0","","1","3","4","1","0","0","1","1","0","0.9","-13","","","5.7","18.6","11.8","6.1","0.0","0.0","100.0","2.2","82","112"
"26","26","2018-12-12","29-273","OKC","@","NOP","L (-4)","0","18:01","1","4",".250","0","3",".000","1","2",".500","1","2","3","0","2","0","0","3","3","2.3","-6",".307",".250","5.6","11.3","8.4","0.0","5.0","0.0","0.0","11.1","79","106"
