"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","33-249","DEN","@","LAC","W (+9)","1","30:19","1","7",".143","0","1",".000","9","12",".750","3","13","16","0","1","1","2","2","11","10.2","+20"
"2","2","2018-10-20","33-252","DEN","","PHO","W (+28)","1","32:07","5","10",".500","0","1",".000","4","4","1.000","4","6","10","2","1","2","3","3","14","13.2","+38"
"3","3","2018-10-21","33-253","DEN","","GSW","W (+2)","1","26:26","1","7",".143","0","2",".000","3","8",".375","2","4","6","1","3","1","1","2","5","3.7","-3"
"4","4","2018-10-23","33-255","DEN","","SAC","W (+14)","1","22:08","6","10",".600","1","2",".500","2","2","1.000","2","3","5","0","1","1","0","2","15","13.6","+19"
"5","5","2018-10-25","33-257","DEN","@","LAL","L (-7)","1","28:14","3","9",".333","0","2",".000","0","0","","2","3","5","2","0","2","3","3","6","1.8","-9"
"6","6","2018-10-29","33-261","DEN","","NOP","W (+5)","1","26:52","6","12",".500","2","4",".500","4","4","1.000","3","5","8","3","1","1","3","2","18","15.6","+1"
"7","7","2018-10-31","33-263","DEN","@","CHI","W (+1)","1","32:57","8","12",".667","1","2",".500","2","3",".667","1","5","6","1","0","3","1","2","19","16.6","+7"
"8","8","2018-11-01","33-264","DEN","@","CLE","W (+19)","1","20:51","6","9",".667","1","1","1.000","3","4",".750","2","4","6","1","1","0","0","3","16","14.8","+11"
"9","9","2018-11-03","33-266","DEN","","UTA","W (+15)","1","23:05","6","10",".600","1","3",".333","0","1",".000","1","4","5","2","3","0","2","2","13","11.5","-5"
"10","10","2018-11-05","33-268","DEN","","BOS","W (+8)","1","27:59","3","9",".333","1","2",".500","3","4",".750","3","5","8","2","0","1","1","1","10","8.8","-1"
"11","11","2018-11-07","33-270","DEN","@","MEM","L (-2)","1","19:41","1","7",".143","0","1",".000","0","0","","1","2","3","1","1","0","2","2","2","-2.3","-5"
"12","12","2018-11-09","33-272","DEN","","BRK","L (-2)","1","26:52","4","8",".500","0","1",".000","3","6",".500","4","7","11","0","0","1","3","2","11","7.6","-1"
"13","13","2018-11-11","33-274","DEN","","MIL","L (-7)","1","30:58","6","14",".429","5","8",".625","8","11",".727","3","5","8","6","0","2","0","3","25","24.4","-14"
"14","14","2018-11-13","33-276","DEN","","HOU","L (-10)","1","25:39","4","8",".500","1","2",".500","4","4","1.000","0","0","0","1","2","0","3","5","13","6.7","-5"
"15","15","2018-11-15","33-278","DEN","","ATL","W (+45)","1","24:35","8","13",".615","1","2",".500","1","1","1.000","3","6","9","5","4","2","1","2","18","23.1","+35"
"16","16","2018-11-17","33-280","DEN","@","NOP","L (-10)","1","21:46","3","8",".375","0","3",".000","1","3",".333","1","0","1","3","0","2","1","3","7","3.8","-2"
"17","17","2018-11-19","33-282","DEN","@","MIL","L (-6)","1","28:50","3","9",".333","0","4",".000","2","2","1.000","2","7","9","2","1","1","1","3","8","7.3","-10"
"18","18","2018-11-21","33-284","DEN","@","MIN","W (+2)","1","27:32","11","13",".846","2","2","1.000","1","2",".500","1","4","5","0","5","1","1","4","25","24.9","+6"
"19","19","2018-11-23","33-286","DEN","","ORL","W (+25)","1","23:58","5","8",".625","0","0","","4","4","1.000","1","6","7","2","2","2","2","3","14","14.5","+9"
"20","20","2018-11-24","33-287","DEN","@","OKC","W (+7)","1","28:25","3","7",".429","2","3",".667","0","2",".000","0","6","6","3","1","1","1","3","8","6.9","+2"
"21","21","2018-11-27","33-290","DEN","","LAL","W (+32)","1","23:07","9","14",".643","0","1",".000","2","2","1.000","5","6","11","2","1","2","1","1","20","21.5","+11"
"22","22","2018-11-30","33-293","DEN","@","POR","W (+1)","1","36:24","9","16",".563","2","3",".667","2","2","1.000","5","5","10","4","4","0","3","5","22","21.2","+9"
"23","23","2018-12-03","33-296","DEN","@","TOR","W (+3)","1","29:32","2","9",".222","0","2",".000","2","2","1.000","1","7","8","3","1","0","3","2","6","2.6","+3"
"24","24","2018-12-05","33-298","DEN","@","ORL","W (+6)","1","32:42","6","10",".600","2","2","1.000","4","7",".571","0","8","8","2","0","0","2","1","18","13.6","+1"
"25","25","2018-12-07","33-300","DEN","@","CHO","L (-6)","1","18:47","4","8",".500","0","1",".000","8","9",".889","2","1","3","1","1","2","1","4","16","13.8","-6"
"34","26","2018-12-29","33-322","DEN","@","PHO","W (+4)","0","14:10","3","7",".429","0","1",".000","0","0","","0","0","0","1","0","1","0","0","6","3.7","+7"
"35","27","2019-01-01","33-325","DEN","","NYK","W (+7)","0","22:26","6","13",".462","0","4",".000","4","10",".400","2","7","9","2","2","0","0","5","16","11.8","+17"
"36","28","2019-01-03","33-327","DEN","@","SAC","W (+4)","0","22:13","3","6",".500","1","2",".500","3","4",".750","1","5","6","2","0","0","0","4","10","8.6","+2"
"37","29","2019-01-05","33-329","DEN","","CHO","W (+13)","0","27:29","7","14",".500","1","3",".333","3","4",".750","4","2","6","3","4","0","2","1","18","17.7","+14"
"38","30","2019-01-07","33-331","DEN","@","HOU","L (-12)","1","21:53","2","6",".333","0","0","","2","2","1.000","2","1","3","2","0","1","0","2","6","5.6","-14"
