"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-18","30-200","CHI","@","PHI","L (-19)","0","17:43","1","4",".250","0","0","","0","0","","1","0","1","3","1","1","2","2","2","1.3","-3",".250",".250","5.5","0.0","2.9","19.7","2.5","4.8","33.3","13.7","63","116"
"2","2","2018-10-20","30-202","CHI","","DET","L (-2)","0","25:17","3","6",".500","0","0","","1","1","1.000","0","2","2","3","0","1","3","4","7","2.8","-3",".543",".500","0.0","7.0","4.2","14.9","0.0","3.1","31.8","16.4","83","123"
"3","3","2018-10-22","30-204","CHI","@","DAL","L (-6)","0","9:30","1","2",".500","0","0","","0","0","","0","1","1","1","0","0","1","5","2","-1.0","-6",".500",".500","0.0","12.6","6.7","14.1","0.0","0.0","33.3","14.0","81","122"
"9","4","2018-11-02","30-215","CHI","","IND","L (-2)","0","3:54","0","0","","0","0","","0","0","","2","0","2","1","0","2","0","0","0","3.5","-6","","","55.9","0.0","29.0","29.3","0.0","41.7","","0.0","231","87"
"11","5","2018-11-05","30-218","CHI","@","NYK","W (+1)","0","17:19","1","3",".333","0","0","","0","0","","3","2","5","0","0","2","1","0","2","3.4","+1",".333",".333","19.3","11.5","15.2","0.0","0.0","8.4","25.0","10.5","87","105"
"12","6","2018-11-07","30-220","CHI","@","NOP","L (-9)","0","10:37","0","1",".000","0","0","","0","0","","2","0","2","1","0","2","1","0","0","1.8","+7",".000",".000","17.7","0.0","9.0","11.9","0.0","14.1","50.0","7.9","69","102"
"13","7","2018-11-10","30-223","CHI","","CLE","W (+1)","0","22:22","2","3",".667","0","0","","0","0","","1","0","1","1","0","0","1","3","4","1.9","+8",".667",".667","5.0","0.0","2.4","6.2","0.0","0.0","25.0","8.4","111","114"
"14","8","2018-11-12","30-225","CHI","","DAL","L (-5)","0","18:24","2","4",".500","0","1",".000","1","1","1.000","1","1","2","2","0","1","1","1","5","4.7","-6",".563",".500","5.2","5.9","5.6","17.5","0.0","5.7","18.4","12.3","109","103"
"15","9","2018-11-14","30-227","CHI","@","BOS","L (-29)","0","13:01","1","4",".250","0","0","","0","0","","2","0","2","0","0","0","2","1","2","-1.4","-13",".250",".250","14.8","0.0","7.5","0.0","0.0","0.0","33.3","20.1","49","118"
"16","10","2018-11-16","30-229","CHI","@","MIL","L (-19)","0","19:54","2","5",".400","0","0","","1","2",".500","1","0","1","1","0","1","1","1","5","2.6","-1",".425",".400","5.0","0.0","2.7","6.7","0.0","4.8","14.5","14.9","85","123"
"17","11","2018-11-17","30-230","CHI","","TOR","L (-39)","0","14:31","4","6",".667","1","1","1.000","0","2",".000","0","0","0","0","1","0","2","2","9","3.8","-18",".654",".750","0.0","0.0","0.0","0.0","3.1","0.0","22.5","25.0","80","115"
"18","12","2018-11-21","30-234","CHI","","PHO","W (+8)","0","11:30","3","6",".500","0","1",".000","0","0","","0","1","1","2","0","1","1","1","6","4.0","+9",".500",".500","0.0","10.2","5.6","24.9","0.0","6.5","14.3","26.9","94","109"
"19","13","2018-11-23","30-236","CHI","","MIA","L (-7)","0","25:18","4","9",".444","0","1",".000","1","1","1.000","2","4","6","1","0","1","2","3","9","5.1","+9",".477",".444","7.7","15.2","11.5","6.9","0.0","3.6","17.5","18.1","87","102"
