"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","20-254","BRK","@","DET","L (-3)","0","10:37","1","2",".500","1","2",".500","0","0","","0","1","1","1","0","0","1","2","3","1.2","+3"
"2","2","2018-10-19","20-256","BRK","","NYK","W (+2)","0","17:19","3","8",".375","1","3",".333","4","4","1.000","2","3","5","0","0","0","2","0","11","6.9","0"
"3","3","2018-10-20","20-257","BRK","@","IND","L (-20)","0","14:56","5","9",".556","2","5",".400","0","0","","2","4","6","0","0","0","2","1","12","7.9","-2"
"10","4","2018-11-04","20-272","BRK","","PHI","W (+25)","0","3:09","1","2",".500","0","1",".000","0","0","","1","1","2","0","0","0","0","0","2","2.0","+4"
"13","5","2018-11-10","20-278","BRK","@","GSW","L (-16)","0","8:17","3","4",".750","1","1","1.000","0","0","","1","1","2","0","0","0","0","0","7","6.4","+4"
"15","6","2018-11-14","20-282","BRK","","MIA","L (-13)","0","7:08","1","2",".500","0","0","","0","0","","0","2","2","0","1","0","0","1","2","2.2","+7"
"16","7","2018-11-16","20-284","BRK","@","WAS","W (+11)","0","20:47","4","8",".500","1","2",".500","0","0","","1","2","3","0","0","0","0","0","9","6.3","+1"
"24","8","2018-12-01","20-299","BRK","@","WAS","L (-14)","0","14:19","2","7",".286","0","4",".000","4","4","1.000","1","4","5","0","0","0","1","5","8","2.8","+6"
"25","9","2018-12-03","20-301","BRK","","CLE","L (-2)","0","13:58","6","10",".600","0","2",".000","0","0","","2","2","4","0","1","0","1","2","12","8.6","+6"
"27","10","2018-12-07","20-305","BRK","","TOR","W (+1)","0","13:34","3","6",".500","0","2",".000","0","0","","1","2","3","0","1","0","1","3","6","3.1","+1"
"28","11","2018-12-08","20-306","BRK","@","NYK","W (+8)","0","12:38","0","3",".000","0","2",".000","0","0","","0","1","1","0","0","1","0","5","0","-3.1","+2"
"29","12","2018-12-12","20-310","BRK","@","PHI","W (+3)","0","19:09","4","6",".667","1","1","1.000","4","5",".800","0","1","1","0","3","0","2","3","13","10.1","+5"
"30","13","2018-12-14","20-312","BRK","","WAS","W (+7)","1","29:49","5","6",".833","1","1","1.000","4","4","1.000","1","5","6","1","0","0","0","1","15","15.3","+5"
"31","14","2018-12-16","20-314","BRK","","ATL","W (+17)","1","28:24","4","9",".444","1","5",".200","2","2","1.000","1","5","6","4","0","0","3","1","11","7.9","+21"
"32","15","2018-12-18","20-316","BRK","","LAL","W (+5)","1","17:03","1","5",".200","1","3",".333","0","0","","0","1","1","0","0","1","0","4","3","-0.7","0"
"33","16","2018-12-19","20-317","BRK","@","CHI","W (+3)","1","23:13","3","5",".600","0","2",".000","2","2","1.000","1","3","4","0","1","1","0","2","8","8.2","-2"
"34","17","2018-12-21","20-319","BRK","","IND","L (-8)","1","34:22","6","11",".545","4","5",".800","8","10",".800","0","3","3","0","1","1","0","4","24","18.9","-6"
"35","18","2018-12-23","20-321","BRK","","PHO","W (+8)","1","32:59","7","15",".467","0","1",".000","2","2","1.000","3","7","10","2","0","1","2","2","16","11.8","-2"
"36","19","2018-12-26","20-324","BRK","","CHO","W (+2)","1","38:46","6","9",".667","1","3",".333","0","0","","2","10","12","3","3","1","3","5","13","14.3","+5"
"37","20","2018-12-28","20-326","BRK","@","CHO","L (-13)","1","20:19","2","6",".333","0","3",".000","1","2",".500","1","2","3","0","0","1","1","3","5","1.0","-22"
"38","21","2018-12-29","20-327","BRK","@","MIL","L (-14)","1","22:02","0","5",".000","0","3",".000","2","2","1.000","0","1","1","2","0","0","3","2","2","-3.6","+11"
"39","22","2019-01-02","20-331","BRK","","NOP","W (+5)","1","26:07","4","7",".571","2","3",".667","0","0","","1","1","2","1","0","1","1","3","10","6.9","+1"
"40","23","2019-01-04","20-333","BRK","@","MEM","W (+9)","1","13:09","2","7",".286","0","3",".000","1","1","1.000","0","1","1","0","1","0","1","1","5","0.8","-17"
"41","24","2019-01-06","20-335","BRK","@","CHI","W (+17)","1","19:57","2","6",".333","2","4",".500","0","0","","0","5","5","1","1","0","1","0","6","4.8","+5"
"42","25","2019-01-07","20-336","BRK","@","BOS","L (-21)","1","28:13","8","15",".533","5","8",".625","3","3","1.000","0","1","1","1","0","0","1","2","24","15.9","-8"
"43","26","2019-01-09","20-338","BRK","","ATL","W (+16)","1","29:02","5","9",".556","1","2",".500","0","0","","2","2","4","2","1","1","2","5","11","7.8","+22"
"44","27","2019-01-11","20-340","BRK","@","TOR","L (-17)","1","22:01","1","3",".333","0","1",".000","2","2","1.000","1","2","3","0","0","0","3","0","4","0.6","-18"
"45","28","2019-01-14","20-343","BRK","","BOS","W (+7)","1","33:13","7","11",".636","2","4",".500","3","3","1.000","3","1","4","1","2","0","1","3","19","17.0","-7"
"46","29","2019-01-16","20-345","BRK","@","HOU","W (+3)","1","29:33","7","12",".583","0","2",".000","0","0","","2","3","5","2","1","0","2","6","14","8.7","+4"
"47","30","2019-01-18","20-347","BRK","@","ORL","W (+2)","1","11:27","1","2",".500","0","0","","0","0","","1","1","2","1","1","0","0","2","2","2.9","-13"
"48","31","2019-01-21","20-350","BRK","","SAC","W (+29)","1","23:24","7","10",".700","0","2",".000","2","2","1.000","0","2","2","0","0","0","1","1","16","11.0","+27"
"49","32","2019-01-23","20-352","BRK","","ORL","W (+4)","1","22:11","6","9",".667","0","1",".000","1","2",".500","1","3","4","0","1","0","2","4","13","7.7","+12"
"50","33","2019-01-25","20-354","BRK","","NYK","W (+10)","1","17:55","4","9",".444","0","3",".000","0","0","","0","3","3","1","1","0","2","4","8","2.3","-10"
"51","34","2019-01-28","20-357","BRK","@","BOS","L (-8)","1","26:17","1","9",".111","1","3",".333","2","2","1.000","0","2","2","0","1","0","0","1","5","0.3","-2"
"52","35","2019-01-29","20-358","BRK","","CHI","W (+5)","1","24:49","2","11",".182","0","5",".000","2","2","1.000","3","3","6","0","1","0","0","4","6","1.5","-7"
"53","36","2019-01-31","20-360","BRK","@","SAS","L (-3)","1","26:57","4","8",".500","0","3",".000","1","2",".500","3","7","10","1","1","0","3","3","9","6.3","-5"
"54","37","2019-02-02","20-362","BRK","@","ORL","L (-13)","1","20:13","2","12",".167","1","3",".333","0","0","","1","6","7","0","0","1","2","1","5","-1.8","-12"
"55","38","2019-02-04","20-364","BRK","","MIL","L (-19)","1","26:47","2","10",".200","1","6",".167","0","0","","1","2","3","4","0","1","2","5","5","-0.4","-22"
"56","39","2019-02-06","21-001","BRK","","DEN","W (+5)","1","17:12","3","6",".500","1","3",".333","0","1",".000","0","0","0","0","1","1","1","1","7","3.9","-1"
"57","40","2019-02-08","21-003","BRK","","CHI","L (-19)","1","18:52","1","3",".333","1","2",".500","0","0","","0","1","1","0","0","0","0","0","3","1.6","-12"
"58","41","2019-02-11","21-006","BRK","@","TOR","L (-2)","1","16:07","2","4",".500","1","1","1.000","0","0","","0","2","2","2","0","0","0","2","5","4.2","-6"
"61","42","2019-02-23","21-018","BRK","@","CHO","W (+2)","0","9:48","2","2","1.000","0","0","","0","0","","0","3","3","1","1","0","2","3","4","2.8","+5"
"62","43","2019-02-25","21-020","BRK","","SAS","W (+16)","0","10:57","2","4",".500","1","2",".500","2","2","1.000","1","3","4","2","1","0","2","2","7","6.2","+1"
"63","44","2019-02-27","21-022","BRK","","WAS","L (-9)","0","12:51","1","3",".333","0","0","","5","6",".833","0","2","2","3","1","0","0","1","7","8.2","+2"
"64","45","2019-03-01","21-024","BRK","","CHO","L (-11)","0","17:59","3","4",".750","0","1",".000","0","0","","2","1","3","1","0","0","1","1","6","5.4","+9"
"65","46","2019-03-02","21-025","BRK","@","MIA","L (-29)","0","27:41","3","9",".333","1","5",".200","4","4","1.000","0","7","7","0","0","1","1","0","11","7.7","-7"
