"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","26-113","UTA","@","SAC","W (+6)","1","37:16","7","9",".778","0","0","","5","5","1.000","3","12","15","0","0","3","2","3","19","20.1","-9"
"2","2","2018-10-19","26-115","UTA","","GSW","L (-1)","1","34:41","4","6",".667","0","0","","8","11",".727","2","9","11","2","3","1","4","2","16","16.6","+5"
"3","3","2018-10-22","26-118","UTA","","MEM","L (-8)","1","33:29","4","6",".667","0","0","","3","5",".600","2","10","12","1","1","2","1","4","11","12.5","-2"
"4","4","2018-10-24","26-120","UTA","@","HOU","W (+11)","1","34:21","4","5",".800","0","0","","4","6",".667","5","8","13","0","2","3","4","5","12","13.3","+15"
"5","5","2018-10-27","26-123","UTA","@","NOP","W (+21)","1","31:29","11","13",".846","0","0","","3","5",".600","4","10","14","0","1","4","0","1","25","28.7","+23"
"6","6","2018-10-28","26-124","UTA","@","DAL","W (+9)","1","33:03","9","13",".692","0","0","","5","6",".833","6","10","16","2","2","3","3","3","23","25.6","-2"
"7","7","2018-10-31","26-127","UTA","@","MIN","L (-3)","1","33:30","9","12",".750","0","0","","4","9",".444","4","9","13","3","1","3","1","3","22","23.7","+13"
"8","8","2018-11-02","26-129","UTA","","MEM","L (-10)","1","36:32","3","5",".600","0","0","","3","6",".500","4","12","16","1","0","1","2","3","9","10.1","+3"
"9","9","2018-11-03","26-130","UTA","@","DEN","L (-15)","1","35:12","5","9",".556","0","0","","2","8",".250","5","7","12","1","0","1","2","4","12","8.7","-13"
"10","10","2018-11-05","26-132","UTA","","TOR","L (-13)","1","29:31","6","9",".667","0","0","","2","4",".500","3","9","12","2","1","1","2","2","14","14.4","-4"
"11","11","2018-11-07","26-134","UTA","","DAL","W (+15)","1","31:43","7","9",".778","0","0","","3","7",".429","2","8","10","2","1","4","0","6","17","18.5","+9"
"12","12","2018-11-09","26-136","UTA","","BOS","W (+8)","1","36:01","6","8",".750","0","0","","5","5","1.000","2","13","15","2","0","2","0","3","17","20.7","+26"
"13","13","2018-11-12","26-139","UTA","@","MEM","W (+8)","1","32:01","5","7",".714","0","0","","5","7",".714","3","13","16","2","0","3","3","4","15","16.2","+15"
"14","14","2018-11-14","26-141","UTA","@","DAL","L (-50)","1","25:40","4","6",".667","0","0","","2","6",".333","4","7","11","2","3","0","0","1","10","14.7","-20"
"15","15","2018-11-16","26-143","UTA","@","PHI","L (-6)","1","28:20","5","10",".500","0","0","","2","4",".500","6","4","10","1","0","1","3","5","12","8.0","-26"
"16","16","2018-11-17","26-144","UTA","@","BOS","W (+12)","1","30:47","4","5",".800","0","0","","4","6",".667","4","6","10","3","2","1","1","3","12","16.5","+16"
"17","17","2018-11-19","26-146","UTA","@","IND","L (-27)","1","25:12","5","8",".625","0","0","","2","4",".500","1","10","11","0","1","0","0","0","12","12.3","-18"
"18","18","2018-11-21","26-148","UTA","","SAC","L (-9)","1","34:46","4","7",".571","0","0","","5","8",".625","4","11","15","1","1","2","0","2","13","16.9","-3"
"19","19","2018-11-23","26-150","UTA","@","LAL","L (-7)","1","33:44","5","7",".714","0","0","","3","5",".600","2","5","7","0","1","1","2","1","13","11.5","-10"
"20","20","2018-11-25","26-152","UTA","@","SAC","W (+21)","1","28:45","7","11",".636","0","0","","4","6",".667","7","8","15","5","1","1","2","3","18","21.6","+12"
"21","21","2018-11-26","26-153","UTA","","IND","L (-33)","1","25:19","6","7",".857","0","0","","0","0","","2","4","6","1","0","2","1","2","12","12.4","-24"
"22","22","2018-11-28","26-155","UTA","@","BRK","W (+10)","1","33:27","10","14",".714","0","0","","3","9",".333","6","10","16","3","1","4","1","3","23","25.7","+17"
"23","23","2018-11-30","26-157","UTA","@","CHO","W (+8)","1","38:16","8","12",".667","0","0","","4","6",".667","2","15","17","2","0","4","2","5","20","20.1","+11"
"24","24","2018-12-02","26-159","UTA","@","MIA","L (-2)","1","37:15","5","9",".556","0","0","","2","5",".400","4","14","18","4","1","3","2","2","12","16.6","+19"
"25","25","2018-12-04","26-161","UTA","","SAS","W (+34)","1","28:56","5","7",".714","0","0","","8","10",".800","3","7","10","4","0","3","1","2","18","21.6","+30"
"26","26","2018-12-06","26-163","UTA","","HOU","W (+27)","1","2:47","1","1","1.000","0","0","","0","0","","1","0","1","1","0","0","1","2","2","1.3","-3"
"27","27","2018-12-09","26-166","UTA","@","SAS","L (-13)","1","33:54","5","9",".556","0","0","","2","4",".500","3","5","8","7","1","1","2","0","12","15.1","-8"
"28","28","2018-12-10","26-167","UTA","@","OKC","L (-9)","1","21:08","5","8",".625","0","0","","3","4",".750","8","6","14","2","0","0","0","5","13","15.8","-18"
"29","29","2018-12-12","26-169","UTA","","MIA","W (+27)","1","25:34","4","7",".571","0","0","","2","4",".500","0","11","11","2","2","2","0","3","10","12.8","+25"
"30","30","2018-12-15","26-172","UTA","@","ORL","L (-7)","1","32:54","2","6",".333","0","0","","2","2","1.000","5","8","13","2","2","2","1","2","6","11.5","-3"
"31","31","2018-12-17","26-174","UTA","@","HOU","L (-5)","1","31:33","6","10",".600","0","0","","6","6","1.000","5","8","13","4","1","3","1","4","18","22.6","+3"
"32","32","2018-12-19","26-176","UTA","","GSW","W (+5)","1","32:21","6","12",".500","0","0","","5","6",".833","4","11","15","1","0","4","2","2","17","17.4","+3"
"33","33","2018-12-21","26-178","UTA","@","POR","W (+30)","1","29:33","4","9",".444","0","0","","3","3","1.000","2","9","11","3","0","2","3","3","11","9.7","+13"
"34","34","2018-12-22","26-179","UTA","","OKC","L (-1)","1","34:00","8","15",".533","0","0","","4","6",".667","3","7","10","0","0","1","0","1","20","16.4","+3"
"35","35","2018-12-25","26-182","UTA","","POR","W (+21)","1","33:05","7","10",".700","0","0","","4","9",".444","4","10","14","0","1","7","3","3","18","19.3","+10"
"36","36","2018-12-27","26-184","UTA","","PHI","L (-17)","1","36:22","5","9",".556","0","0","","7","8",".875","5","10","15","5","2","0","3","2","17","20.5","-15"
"37","37","2018-12-29","26-186","UTA","","NYK","W (+32)","1","24:58","10","12",".833","0","0","","5","6",".833","5","11","16","0","0","1","1","2","25","25.9","+14"
"38","38","2019-01-01","26-189","UTA","@","TOR","L (-6)","1","32:15","6","7",".857","0","0","","4","5",".800","3","6","9","2","2","0","0","3","16","19.2","-11"
"39","39","2019-01-04","26-192","UTA","@","CLE","W (+26)","1","30:50","4","4","1.000","0","0","","4","4","1.000","1","6","7","2","1","5","1","1","12","17.8","+25"
"40","40","2019-01-05","26-193","UTA","@","DET","W (+5)","1","26:41","4","7",".571","0","0","","1","4",".250","3","8","11","3","0","1","1","4","9","9.2","+6"
"41","41","2019-01-07","26-195","UTA","@","MIL","L (-12)","1","38:35","4","8",".500","0","0","","6","10",".600","3","12","15","3","2","1","2","3","14","15.7","-14"
"42","42","2019-01-09","26-197","UTA","","ORL","W (+13)","1","36:05","4","8",".500","0","0","","4","4","1.000","2","12","14","2","1","1","1","4","12","13.5","+12"
"43","43","2019-01-11","26-199","UTA","","LAL","W (+18)","1","31:39","4","10",".400","0","0","","4","8",".500","7","11","18","2","2","2","2","4","12","14.4","+18"
"44","44","2019-01-12","26-200","UTA","","CHI","W (+8)","1","39:39","5","6",".833","0","0","","5","9",".556","5","11","16","8","1","2","5","5","15","19.0","+19"
"45","45","2019-01-14","26-202","UTA","","DET","W (+6)","1","36:03","6","9",".667","0","0","","6","8",".750","3","22","25","3","0","2","1","3","18","23.3","+20"
