"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"3","1","2018-10-21","29-343","OKC","","SAC","L (-11)","1","35:09","13","23",".565","1","6",".167","5","11",".455","2","10","12","8","0","0","5","2","32","22.9","-13"
"4","2","2018-10-25","29-347","OKC","","BOS","L (-6)","1","32:22","5","20",".250","0","5",".000","3","5",".600","1","14","15","8","0","0","5","5","13","3.7","-5"
"5","3","2018-10-28","29-350","OKC","","PHO","W (+7)","1","30:52","8","13",".615","0","0","","7","10",".700","1","8","9","7","4","0","6","3","23","20.7","+8"
"6","4","2018-10-30","29-352","OKC","","LAC","W (+18)","1","33:30","13","25",".520","1","3",".333","5","7",".714","2","2","4","8","3","1","3","4","32","25.6","+18"
"7","5","2018-11-01","29-354","OKC","@","CHO","W (+4)","1","37:08","12","24",".500","0","3",".000","5","7",".714","1","7","8","10","3","0","3","3","29","24.8","+3"
"8","6","2018-11-02","29-355","OKC","@","WAS","W (+23)","1","26:00","10","16",".625","0","1",".000","3","4",".750","0","3","3","12","4","0","1","1","23","27.3","+10"
"9","7","2018-11-05","29-358","OKC","","NOP","W (+6)","1","25:11","6","16",".375","0","2",".000","5","8",".625","0","7","7","9","1","0","6","3","17","9.2","+11"
"16","8","2018-11-19","30-007","OKC","@","SAC","L (-4)","1","36:34","12","25",".480","4","10",".400","1","2",".500","2","11","13","7","3","0","4","5","29","22.5","+4"
"17","9","2018-11-21","30-009","OKC","@","GSW","W (+28)","1","32:53","5","15",".333","1","5",".200","0","2",".000","0","11","11","13","2","1","4","4","11","11.2","+25"
"18","10","2018-11-23","30-011","OKC","","CHO","W (+5)","1","34:42","10","18",".556","1","4",".250","9","11",".818","0","12","12","8","2","0","4","3","30","26.6","+17"
"19","11","2018-11-24","30-012","OKC","","DEN","L (-7)","1","39:29","6","23",".261","1","12",".083","3","7",".429","3","7","10","12","1","0","4","5","16","8.3","-3"
"20","12","2018-11-28","30-016","OKC","","CLE","W (+17)","1","37:15","10","17",".588","2","5",".400","1","2",".500","1","17","18","15","2","0","3","3","23","28.8","+12"
"21","13","2018-11-30","30-018","OKC","","ATL","W (+15)","1","30:44","8","15",".533","2","4",".500","5","6",".833","1","8","9","10","1","0","5","4","23","19.8","+18"
"22","14","2018-12-03","30-021","OKC","@","DET","W (+27)","1","28:59","7","17",".412","2","7",".286","2","3",".667","1","5","6","6","2","0","5","2","18","11.1","+24"
"23","15","2018-12-05","30-023","OKC","@","BRK","W (+2)","1","39:41","9","23",".391","2","9",".222","1","2",".500","2","13","15","17","1","0","2","5","21","22.3","+10"
"24","16","2018-12-07","30-025","OKC","@","CHI","L (-2)","1","35:03","9","21",".429","2","6",".333","4","7",".571","2","15","17","13","4","0","10","5","24","18.7","+10"
"25","17","2018-12-10","30-028","OKC","","UTA","W (+9)","1","35:57","4","18",".222","0","5",".000","4","8",".500","3","8","11","10","1","0","4","3","12","6.7","+15"
"26","18","2018-12-12","30-030","OKC","@","NOP","L (-4)","1","38:14","8","16",".500","2","7",".286","2","5",".400","1","5","6","7","4","2","7","2","20","15.5","0"
"27","19","2018-12-14","30-032","OKC","@","DEN","L (-11)","1","36:15","5","15",".333","1","3",".333","2","2","1.000","1","13","14","8","4","1","4","3","13","14.2","-9"
"28","20","2018-12-15","30-033","OKC","","LAC","W (+6)","1","36:00","4","17",".235","3","4",".750","2","3",".667","2","7","9","12","6","0","4","3","13","15.0","0"
"29","21","2018-12-17","30-035","OKC","","CHI","W (+25)","1","31:32","5","13",".385","0","0","","3","4",".750","4","12","16","11","5","0","4","3","13","19.4","+25"
"30","22","2018-12-19","30-037","OKC","@","SAC","W (+19)","1","34:39","8","19",".421","1","5",".200","2","7",".286","2","9","11","17","6","0","5","4","19","22.3","+8"
"31","23","2018-12-22","30-040","OKC","@","UTA","W (+1)","1","34:56","3","17",".176","0","4",".000","2","2","1.000","0","12","12","9","3","0","6","6","8","1.8","-12"
"32","24","2018-12-23","30-041","OKC","","MIN","L (-2)","1","35:50","10","19",".526","1","1","1.000","2","4",".500","1","10","11","10","1","0","4","6","23","18.2","+7"
"33","25","2018-12-25","30-043","OKC","@","HOU","L (-4)","1","37:55","6","20",".300","2","6",".333","7","10",".700","3","6","9","9","4","1","6","3","21","15.9","+6"
"34","26","2018-12-28","30-046","OKC","@","PHO","W (+16)","1","39:02","17","29",".586","3","7",".429","3","6",".500","2","10","12","8","0","0","6","3","40","28.1","+6"
"35","27","2018-12-30","30-048","OKC","@","DAL","L (-2)","1","37:35","4","22",".182","0","8",".000","1","2",".500","0","9","9","8","6","0","5","2","9","3.3","-4"
"36","28","2018-12-31","30-049","OKC","","DAL","W (+20)","1","34:31","13","24",".542","0","1",".000","6","6","1.000","0","11","11","11","4","0","5","4","32","28.8","+22"
"37","29","2019-01-02","30-051","OKC","@","LAL","W (+7)","1","35:59","3","20",".150","1","7",".143","7","10",".700","1","15","16","10","2","2","4","4","14","10.0","+1"
"38","30","2019-01-04","30-053","OKC","@","POR","W (+2)","1","37:09","13","28",".464","0","2",".000","5","6",".833","0","9","9","7","1","0","3","3","31","20.6","+7"
"39","31","2019-01-06","30-055","OKC","","WAS","L (-18)","1","37:10","9","23",".391","2","5",".400","2","6",".333","2","13","15","13","0","1","8","2","22","14.2","-7"
"40","32","2019-01-08","30-057","OKC","","MIN","L (-2)","1","38:38","11","22",".500","1","6",".167","2","2","1.000","1","4","5","16","1","2","7","2","25","21.7","+7"
"41","33","2019-01-10","30-059","OKC","@","SAS","L (-7)","1","49:35","11","22",".500","0","4",".000","2","5",".400","2","11","13","24","2","0","3","4","24","30.7","-5"
"42","34","2019-01-12","30-061","OKC","","SAS","W (+10)","1","32:44","9","24",".375","1","2",".500","5","5","1.000","2","8","10","7","2","0","4","4","24","15.9","+7"
"43","35","2019-01-15","30-064","OKC","@","ATL","L (-16)","1","35:30","10","21",".476","0","3",".000","11","14",".786","2","4","6","11","5","0","2","2","31","31.6","+1"
"44","36","2019-01-17","30-066","OKC","","LAL","L (-10)","1","43:21","7","30",".233","5","12",".417","7","10",".700","2","7","9","13","1","1","3","5","26","15.9","+5"
"45","37","2019-01-19","30-068","OKC","@","PHI","W (+2)","1","36:52","8","21",".381","1","6",".167","4","7",".571","3","7","10","6","1","0","4","6","21","11.3","+9"
"46","38","2019-01-21","30-070","OKC","@","NYK","W (+18)","1","28:44","6","12",".500","1","2",".500","4","5",".800","3","7","10","9","0","0","3","3","17","16.9","+22"
"47","39","2019-01-22","30-071","OKC","","POR","W (+9)","1","36:43","9","20",".450","1","4",".250","10","12",".833","2","8","10","14","1","0","5","4","29","25.8","+5"
"48","40","2019-01-24","30-073","OKC","","NOP","W (+6)","1","36:41","9","19",".474","1","3",".333","4","8",".500","1","16","17","16","2","0","4","3","23","25.2","+14"
"49","41","2019-01-27","30-076","OKC","","MIL","W (+6)","1","36:05","5","20",".250","2","5",".400","1","2",".500","1","12","13","11","1","1","4","3","13","9.1","-11"
