"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","33-035","GSW","","OKC","W (+8)","0","14:34","3","5",".600","0","0","","0","0","","2","1","3","1","1","0","1","2","6","5.3","-3",".600",".600","14.3","5.8","9.6","10.3","3.2","0.0","16.7","16.0","114","99"
"2","2","2018-10-19","33-038","GSW","@","UTA","W (+1)","0","18:17","3","4",".750","0","0","","2","2","1.000","1","2","3","2","1","0","1","0","8","9.1","+15",".820",".750","7.3","11.7","9.7","12.8","2.5","0.0","17.0","13.9","149","121"
"5","3","2018-10-24","33-043","GSW","","WAS","W (+22)","0","15:09","3","6",".500","0","0","","2","2","1.000","4","3","7","0","0","0","1","4","8","6.1","+4",".581",".500","34.3","21.1","27.0","0.0","0.0","0.0","12.7","21.2","130","118"
"6","4","2018-10-26","33-045","GSW","@","NYK","W (+28)","0","8:54","0","1",".000","0","0","","0","0","","0","1","1","1","1","0","0","0","0","1.3","+3",".000",".000","0.0","12.3","6.8","10.6","5.4","0.0","0.0","5.1","66","95"
"14","5","2018-11-12","33-062","GSW","@","LAC","L (-5)","0","18:30","3","4",".750","0","0","","2","3",".667","2","0","2","0","0","0","2","2","8","4.6","-9",".752",".750","10.6","0.0","6.0","0.0","0.0","0.0","27.3","17.3","112","116"
"15","6","2018-11-13","33-063","GSW","","ATL","W (+7)","0","15:51","1","6",".167","0","0","","0","0","","0","1","1","2","0","0","0","1","2","-0.5","+4",".167",".167","0.0","6.7","3.4","16.8","0.0","0.0","0.0","16.0","59","114"
"16","7","2018-11-15","33-065","GSW","@","HOU","L (-21)","0","16:16","1","4",".250","0","0","","0","0","","0","2","2","3","1","0","0","2","2","2.5","-24",".250",".250","0.0","12.8","6.9","30.5","3.4","0.0","0.0","11.6","88","120"
"17","8","2018-11-17","33-067","GSW","@","DAL","L (-3)","0","19:43","5","9",".556","0","0","","2","2","1.000","1","3","4","4","0","1","0","1","12","12.4","+8",".607",".556","4.9","17.0","10.5","32.6","0.0","4.7","0.0","21.2","141","113"
"18","9","2018-11-18","33-068","GSW","@","SAS","L (-12)","0","17:07","1","2",".500","0","0","","0","0","","0","1","1","2","1","1","1","0","2","3.4","+9",".500",".500","0.0","6.0","3.0","17.4","3.0","4.1","33.3","7.9","84","106"
"19","10","2018-11-21","33-071","GSW","","OKC","L (-28)","0","17:23","1","4",".250","0","0","","0","0","","0","0","0","1","0","1","1","2","2","-0.8","-6",".250",".250","0.0","0.0","0.0","8.3","0.0","3.9","20.0","12.5","48","128"
"20","11","2018-11-23","33-073","GSW","","POR","W (+28)","0","16:36","4","7",".571","0","0","","3","4",".750","2","0","2","3","2","2","0","2","11","13.4","+2",".628",".571","17.5","0.0","7.1","23.8","5.8","8.4","0.0","23.7","151","91"
"21","12","2018-11-24","33-074","GSW","","SAC","W (+1)","0","16:07","2","5",".400","0","0","","0","0","","0","0","0","3","0","1","0","0","4","4.1","-11",".400",".400","0.0","0.0","0.0","25.5","0.0","4.3","0.0","13.0","109","120"
"22","13","2018-11-26","33-076","GSW","","ORL","W (+6)","0","20:04","0","2",".000","0","1",".000","3","4",".750","2","1","3","2","1","0","0","2","3","4.5","+10",".399",".000","12.6","5.7","9.0","11.7","2.4","0.0","0.0","8.3","135","114"
"23","14","2018-11-29","33-079","GSW","@","TOR","L (-3)","0","16:39","1","5",".200","0","0","","2","3",".667","0","2","2","7","1","1","0","0","4","7.7","+10",".316",".200","0.0","17.7","7.7","47.6","3.0","6.1","0.0","16.0","122","118"
"24","15","2018-12-01","33-081","GSW","@","DET","L (-9)","0","14:25","0","2",".000","0","0","","1","2",".500","1","1","2","2","0","0","1","0","1","0.6","-13",".174",".000","8.1","6.7","7.3","17.1","0.0","0.0","25.8","11.9","65","119"
"25","16","2018-12-03","33-083","GSW","@","ATL","W (+17)","0","18:24","0","1",".000","0","0","","2","2","1.000","1","0","1","5","1","1","2","0","2","5.2","+1",".532",".000","8.2","0.0","3.5","27.2","2.5","4.1","51.5","9.1","116","106"
"26","17","2018-12-05","33-085","GSW","@","CLE","W (+24)","0","16:15","3","4",".750","0","0","","0","0","","0","2","2","1","2","0","1","2","6","5.9","+14",".750",".750","0.0","12.1","6.8","8.2","6.3","0.0","20.0","14.3","118","103"
