"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","27-213","NOP","@","HOU","W (+19)","0","12:02","1","3",".333","1","1","1.000","0","0","","0","2","2","1","0","0","0","2","3","1.8","-13",".500",".500","0.0","16.6","8.8","8.3","0.0","0.0","0.0","10.0","123","113"
"2","2","2018-10-19","27-215","NOP","","SAC","W (+20)","0","20:21","1","2",".500","1","2",".500","0","0","","0","1","1","2","0","0","1","3","3","1.5","+7",".750",".750","0.0","4.8","2.6","8.8","0.0","0.0","33.3","5.6","117","121"
"3","3","2018-10-23","27-219","NOP","","LAC","W (+7)","0","23:05","1","4",".250","0","2",".000","0","0","","0","3","3","2","4","1","0","1","2","6.2","+3",".250",".250","0.0","13.9","6.6","11.0","8.0","3.1","0.0","7.0","76","93"
"4","4","2018-10-26","27-222","NOP","","BRK","W (+2)","0","24:32","1","3",".333","0","1",".000","0","0","","1","1","2","2","1","1","0","2","2","3.6","+3",".333",".333","3.7","4.2","3.9","9.3","1.9","3.4","0.0","4.9","112","118"
"5","5","2018-10-27","27-223","NOP","","UTA","L (-21)","0","20:08","2","8",".250","1","3",".333","1","2",".500","0","5","5","3","1","1","2","1","6","3.7","-1",".338",".313","0.0","34.1","14.4","20.3","2.2","4.3","18.4","21.0","70","115"
"6","6","2018-10-29","27-225","NOP","@","DEN","L (-5)","1","19:46","1","5",".200","0","2",".000","2","2","1.000","1","1","2","2","0","0","1","1","4","1.9","-8",".340",".200","6.2","5.3","5.7","12.0","0.0","0.0","14.5","14.8","85","119"
"7","7","2018-10-31","27-227","NOP","@","GSW","L (-10)","0","12:23","1","3",".333","0","2",".000","0","0","","0","0","0","2","0","0","0","1","2","1.3","-1",".333",".333","0.0","0.0","0.0","19.3","0.0","0.0","0.0","9.8","103","132"
"8","8","2018-11-01","27-228","NOP","@","POR","L (-13)","0","9:33","0","1",".000","0","1",".000","0","0","","0","2","2","0","0","0","1","0","0","-1.1","-2",".000",".000","0.0","26.5","11.2","0.0","0.0","0.0","50.0","8.2","0","129"
"21","9","2018-11-26","27-253","NOP","","BOS","L (-17)","0","20:07","1","2",".500","0","1",".000","0","0","","1","3","4","1","0","0","1","0","2","2.3","0",".500",".500","6.4","15.9","11.6","7.5","0.0","0.0","33.3","6.4","93","131"
"22","10","2018-11-28","27-255","NOP","","WAS","W (+21)","0","17:09","1","1","1.000","0","0","","0","2",".000","3","1","4","0","0","0","0","1","2","2.9","+10",".532","1.000","19.5","4.7","11.0","0.0","0.0","0.0","0.0","4.1","135","107"
"23","11","2018-11-30","27-257","NOP","@","MIA","L (-5)","0","19:02","1","2",".500","0","1",".000","0","0","","3","3","6","1","0","0","2","4","2","1.1","-14",".500",".500","17.2","15.8","16.4","7.8","0.0","0.0","50.0","9.1","85","112"
"24","12","2018-12-02","27-259","NOP","@","CHO","W (+10)","0","28:21","2","5",".400","1","3",".333","1","2",".500","1","3","4","1","1","1","1","4","6","4.3","+1",".510",".500","4.3","9.8","7.4","4.2","1.7","3.1","14.5","10.3","100","107"
"25","13","2018-12-03","27-260","NOP","","LAC","L (-3)","0","29:08","2","5",".400","2","4",".500","0","0","","2","0","2","1","0","0","0","2","6","4.6","0",".600",".600","7.8","0.0","4.5","3.6","0.0","0.0","0.0","7.6","143","139"
"26","14","2018-12-05","27-262","NOP","","DAL","W (+26)","1","22:46","1","4",".250","1","4",".250","0","0","","0","0","0","2","0","0","1","3","3","-0.2","+21",".375",".375","0.0","0.0","0.0","8.6","0.0","0.0","20.0","9.4","79","111"
