"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","25-194","BRK","@","DET","L (-3)","0","32:17","10","18",".556","0","3",".000","3","5",".600","0","4","4","6","1","0","4","1","23","15.6","+6"
"2","2","2018-10-19","25-196","BRK","","NYK","W (+2)","0","31:06","4","12",".333","2","6",".333","0","0","","1","2","3","6","0","0","4","4","10","3.1","+2"
"3","3","2018-10-20","25-197","BRK","@","IND","L (-20)","0","26:26","4","11",".364","2","5",".400","3","4",".750","0","1","1","4","1","0","1","4","13","8.0","-24"
"4","4","2018-10-24","25-201","BRK","@","CLE","W (+16)","0","20:37","3","6",".500","2","5",".400","0","0","","0","3","3","1","0","0","3","1","8","3.2","+1"
"5","5","2018-10-26","25-203","BRK","@","NOP","L (-2)","0","28:54","4","7",".571","3","5",".600","0","0","","0","3","3","5","1","2","2","2","11","11.7","+4"
"6","6","2018-10-28","25-205","BRK","","GSW","L (-6)","0","23:30","4","9",".444","4","7",".571","0","0","","1","0","1","0","0","0","1","2","12","6.2","-23"
"7","7","2018-10-29","25-206","BRK","@","NYK","L (-19)","0","25:24","6","10",".600","2","6",".333","3","3","1.000","0","1","1","3","0","2","1","3","17","14.0","-6"
"8","8","2018-10-31","25-208","BRK","","DET","W (+1)","0","31:35","8","15",".533","5","9",".556","4","4","1.000","2","2","4","4","0","0","2","5","25","18.5","+7"
"9","9","2018-11-02","25-210","BRK","","HOU","L (-8)","0","27:36","5","13",".385","1","6",".167","1","2",".500","0","0","0","3","0","0","3","4","12","2.0","-1"
"10","10","2018-11-04","25-212","BRK","","PHI","W (+25)","0","22:15","4","10",".400","2","2","1.000","2","3",".667","0","1","1","8","0","0","1","4","12","9.5","+13"
"11","11","2018-11-06","25-214","BRK","@","PHO","W (+22)","0","29:56","5","7",".714","2","4",".500","0","0","","0","5","5","3","2","1","0","4","12","13.8","+20"
