"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","23-249","MIL","@","CHO","W (+1)","0","0:07","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2"
"2","2","2018-10-19","23-251","MIL","","IND","W (+17)","0","3:44","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","0","2","1.7","-9"
"5","3","2018-10-26","23-258","MIL","@","MIN","W (+30)","0","10:07","1","2",".500","0","0","","0","0","","1","3","4","1","0","0","1","1","2","1.9","-3"
"6","4","2018-10-27","23-259","MIL","","ORL","W (+22)","0","7:33","0","5",".000","0","3",".000","0","0","","1","3","4","0","0","0","2","1","0","-4.3","-6"
"7","5","2018-10-29","23-261","MIL","","TOR","W (+15)","0","4:29","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","-10"
"9","6","2018-11-04","23-267","MIL","","SAC","W (+35)","0","7:48","2","3",".667","0","1",".000","4","4","1.000","1","0","1","1","0","0","1","2","8","6.3","+7"
"11","7","2018-11-08","23-271","MIL","@","GSW","W (+23)","0","6:44","1","2",".500","0","1",".000","1","2",".500","0","0","0","0","0","1","0","1","3","1.9","-4"
"15","8","2018-11-16","23-279","MIL","","CHI","W (+19)","0","10:14","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","1","0","-0.4","-5"
"16","9","2018-11-19","23-282","MIL","","DEN","W (+6)","0","5:57","1","4",".250","0","2",".000","0","0","","1","0","1","0","0","0","1","2","2","-1.5","-2"
"17","10","2018-11-21","23-284","MIL","","POR","W (+43)","0","19:27","4","8",".500","1","4",".250","0","0","","2","3","5","2","0","0","1","2","9","6.9","+20"
"18","11","2018-11-23","23-286","MIL","","PHO","L (-2)","0","8:29","1","3",".333","0","2",".000","0","0","","0","1","1","0","0","0","0","1","2","0.2","-8"
"19","12","2018-11-24","23-287","MIL","","SAS","W (+6)","0","16:00","4","6",".667","3","4",".750","0","0","","0","2","2","2","1","0","1","2","11","9.6","+8"
"20","13","2018-11-26","23-289","MIL","@","CHO","L (-3)","0","6:31","1","1","1.000","0","0","","0","1",".000","1","0","1","0","0","0","1","1","2","0.6","-12"
"22","14","2018-12-01","23-294","MIL","@","NYK","L (-2)","0","21:32","3","4",".750","1","1","1.000","1","1","1.000","0","3","3","1","1","0","0","2","8","8.2","-5"
"23","15","2018-12-05","23-298","MIL","","DET","W (+23)","0","19:00","4","6",".667","3","4",".750","0","0","","1","2","3","0","1","0","0","0","11","10.7","+4"
"24","16","2018-12-07","23-300","MIL","","GSW","L (-10)","0","15:48","1","3",".333","0","2",".000","0","0","","0","4","4","3","0","0","0","1","2","3.2","-6"
"25","17","2018-12-09","23-302","MIL","@","TOR","W (+5)","0","22:07","2","6",".333","1","3",".333","0","0","","2","5","7","1","0","1","0","3","5","4.7","+12"
"26","18","2018-12-10","23-303","MIL","","CLE","W (+16)","0","30:38","5","11",".455","2","4",".500","0","0","","0","8","8","2","0","0","0","3","12","8.9","+7"
"27","19","2018-12-12","23-305","MIL","@","IND","L (-16)","0","27:24","3","6",".500","2","4",".500","0","0","","1","3","4","0","0","0","0","1","8","6.2","+3"
"29","20","2018-12-17","23-310","MIL","@","DET","W (+3)","0","26:28","4","8",".500","1","2",".500","0","0","","1","2","3","3","3","0","0","3","9","10.2","+7"
"30","21","2018-12-19","23-312","MIL","","NOP","W (+8)","0","18:47","3","5",".600","1","2",".500","2","2","1.000","1","3","4","1","0","0","0","2","9","8.2","0"
"31","22","2018-12-21","23-314","MIL","@","BOS","W (+13)","0","24:58","1","5",".200","0","3",".000","0","0","","0","7","7","4","0","0","0","0","2","3.8","+13"
"32","23","2018-12-22","23-315","MIL","@","MIA","L (-7)","0","11:35","4","7",".571","1","3",".333","0","0","","0","4","4","0","0","1","3","0","9","4.6","-12"
"33","24","2018-12-25","23-318","MIL","@","NYK","W (+14)","0","14:24","1","5",".200","1","2",".500","0","0","","0","3","3","2","0","0","0","2","3","1.4","+1"
"34","25","2018-12-27","23-320","MIL","","NYK","W (+16)","0","13:27","0","2",".000","0","1",".000","0","0","","0","4","4","0","0","0","1","0","0","-1.2","+3"
"35","26","2018-12-29","23-322","MIL","","BRK","W (+14)","0","17:58","2","7",".286","1","4",".250","0","0","","0","2","2","1","0","0","1","4","5","-0.4","+12"
"36","27","2019-01-01","23-325","MIL","","DET","W (+23)","0","15:35","2","3",".667","0","1",".000","0","0","","0","2","2","1","3","0","0","1","4","6.6","+3"
"38","28","2019-01-05","23-329","MIL","","TOR","L (-7)","0","14:26","4","7",".571","3","6",".500","0","0","","0","2","2","0","0","0","0","2","11","7.5","+4"
"39","29","2019-01-07","23-331","MIL","","UTA","W (+12)","0","12:52","1","2",".500","0","1",".000","0","0","","0","3","3","3","0","0","0","3","2","2.8","+4"
"40","30","2019-01-09","23-333","MIL","@","HOU","W (+7)","0","21:16","5","12",".417","3","8",".375","0","0","","1","2","3","4","1","0","0","2","13","10.9","-1"
"41","31","2019-01-11","23-335","MIL","@","WAS","L (-7)","0","26:41","4","7",".571","1","3",".333","1","2",".500","3","4","7","1","0","0","2","1","10","7.9","-13"
"42","32","2019-01-13","23-337","MIL","@","ATL","W (+19)","0","16:24","2","4",".500","1","2",".500","0","0","","0","1","1","0","0","0","0","0","5","3.3","+6"
"43","33","2019-01-15","23-339","MIL","","MIA","W (+38)","0","21:59","5","10",".500","3","6",".500","0","0","","0","1","1","6","1","0","1","2","13","11.7","+18"
"44","34","2019-01-16","23-340","MIL","@","MEM","W (+10)","0","28:03","4","5",".800","2","3",".667","1","2",".500","1","6","7","4","1","1","5","2","11","9.9","-4"
"45","35","2019-01-19","23-343","MIL","@","ORL","W (+10)","0","18:33","1","2",".500","1","2",".500","0","0","","0","2","2","2","0","0","2","1","3","1.6","-4"
"46","36","2019-01-21","23-345","MIL","","DAL","W (+10)","0","19:09","4","4","1.000","3","3","1.000","0","0","","1","1","2","2","1","0","1","2","11","11.4","+4"
"47","37","2019-01-25","23-349","MIL","","CHO","W (+9)","0","22:52","2","5",".400","0","2",".000","5","5","1.000","1","2","3","2","0","0","1","2","9","7.2","-6"
"48","38","2019-01-27","23-351","MIL","@","OKC","L (-6)","0","20:22","2","7",".286","1","2",".500","0","0","","1","2","3","0","1","0","1","1","5","1.8","-10"
"50","39","2019-01-31","23-355","MIL","@","TOR","W (+13)","0","10:28","0","1",".000","0","1",".000","0","0","","0","3","3","0","0","0","1","0","0","-0.8","-14"
"51","40","2019-02-02","23-357","MIL","@","WAS","W (+16)","0","17:08","1","7",".143","1","5",".200","0","0","","0","0","0","1","1","1","0","2","3","0.1","-18"
"52","41","2019-02-04","23-359","MIL","@","BRK","W (+19)","0","16:12","1","3",".333","0","2",".000","0","0","","1","1","2","1","1","0","0","0","2","3.0","+8"
"53","42","2019-02-06","23-361","MIL","","WAS","W (+19)","0","18:19","2","3",".667","1","2",".500","2","4",".500","0","4","4","1","1","0","0","1","7","7.4","-3"
"54","43","2019-02-08","23-363","MIL","@","DAL","W (+15)","0","28:19","4","8",".500","2","4",".500","0","0","","1","4","5","3","0","0","1","3","10","7.8","-6"
"55","44","2019-02-09","23-364","MIL","","ORL","L (-20)","0","14:00","0","3",".000","0","2",".000","0","0","","0","3","3","2","0","0","2","0","0","-1.8","-9"
"56","45","2019-02-11","24-001","MIL","@","CHI","W (+13)","0","16:02","2","6",".333","0","2",".000","0","0","","1","1","2","0","0","0","0","2","4","0.8","-4"
"57","46","2019-02-13","24-003","MIL","@","IND","W (+9)","0","14:51","0","0","","0","0","","1","2",".500","0","2","2","0","1","0","1","1","1","0.8","-3"
"58","47","2019-02-21","24-011","MIL","","BOS","W (+1)","0","8:45","0","1",".000","0","1",".000","0","0","","0","0","0","0","1","0","0","0","0","0.3","+1"
"59","48","2019-02-23","24-013","MIL","","MIN","W (+12)","0","15:37","2","2","1.000","0","0","","0","0","","0","1","1","2","0","0","1","2","4","3.3","-2"
