"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-16","26-205","PHI","@","BOS","L (-18)","0","22:26","2","5",".400","0","1",".000","0","0","","0","1","1","3","0","0","0","3","4","2.5","-11"
"2","2","2018-10-18","26-207","PHI","","CHI","W (+19)","0","4:51","1","1","1.000","0","0","","2","2","1.000","0","0","0","3","0","0","0","0","4","5.8","-3"
"3","3","2018-10-20","26-209","PHI","","ORL","W (+1)","0","25:22","4","7",".571","0","0","","0","0","","0","4","4","4","1","0","2","2","8","6.9","+8"
"4","4","2018-10-23","26-212","PHI","@","DET","L (-1)","0","32:01","5","8",".625","0","1",".000","0","0","","0","4","4","8","1","0","4","0","10","10.2","-3"
"5","5","2018-10-24","26-213","PHI","@","MIL","L (-15)","0","4:52","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","0","2","1.7","-7"
"6","6","2018-10-27","26-216","PHI","","CHO","W (+2)","0","14:22","1","2",".500","0","0","","0","0","","0","0","0","3","0","1","0","2","2","3.0","-6"
"7","7","2018-10-29","26-218","PHI","","ATL","W (+21)","0","6:02","1","3",".333","0","0","","0","0","","1","3","4","1","0","0","2","1","2","0.2","-2"
"8","8","2018-10-30","26-219","PHI","@","TOR","L (-17)","0","7:48","0","0","","0","0","","0","0","","0","0","0","1","1","1","0","0","0","2.4","-3"
"11","9","2018-11-04","26-224","PHI","@","BRK","L (-25)","0","5:37","1","2",".500","0","0","","0","0","","0","2","2","1","0","0","0","0","2","2.3","-3"
"13","10","2018-11-09","26-229","PHI","","CHO","W (+1)","0","3:45","0","1",".000","0","0","","0","0","","0","2","2","1","0","0","0","1","0","0.2","-2"
"14","11","2018-11-10","26-230","PHI","@","MEM","L (-6)","0","34:24","7","8",".875","0","0","","2","2","1.000","0","3","3","7","1","1","3","1","16","17.3","+3"
"15","12","2018-11-12","26-232","PHI","@","MIA","W (+10)","0","14:19","0","4",".000","0","2",".000","2","2","1.000","0","1","1","0","2","0","0","1","2","1.1","-15"
"19","13","2018-11-19","26-239","PHI","","PHO","W (+5)","0","8:31","1","3",".333","0","0","","0","0","","0","1","1","1","2","0","0","2","2","2.5","+6"
"20","14","2018-11-21","26-241","PHI","","NOP","W (+1)","0","17:17","1","5",".200","1","2",".500","0","0","","1","0","1","1","1","0","1","1","3","0.9","-15"
"21","15","2018-11-23","26-243","PHI","","CLE","L (-9)","0","11:51","1","1","1.000","0","0","","0","0","","0","0","0","2","1","0","2","1","2","1.7","+7"
"22","16","2018-11-25","26-245","PHI","@","BRK","W (+2)","0","18:22","2","3",".667","0","1",".000","0","0","","1","1","2","2","0","1","0","3","4","4.6","-5"
"23","17","2018-11-28","26-248","PHI","","NYK","W (+26)","0","25:23","3","6",".500","0","0","","0","0","","0","2","2","6","2","1","1","4","6","7.9","+25"
"24","18","2018-11-30","26-250","PHI","","WAS","W (+25)","0","21:35","6","10",".600","1","2",".500","2","2","1.000","0","2","2","2","2","0","3","1","15","11.0","+13"
"25","19","2018-12-02","26-252","PHI","","MEM","W (+8)","0","31:15","3","4",".750","0","0","","0","0","","0","3","3","3","0","0","1","2","6","5.6","+16"
"26","20","2018-12-05","26-255","PHI","@","TOR","L (-11)","0","22:53","3","4",".750","0","0","","0","0","","0","2","2","2","5","0","5","3","6","5.2","-2"
"27","21","2018-12-07","26-257","PHI","@","DET","W (+6)","0","21:03","5","7",".714","0","0","","0","0","","0","1","1","5","0","0","3","0","10","7.9","-17"
"28","22","2018-12-10","26-260","PHI","","DET","W (+14)","0","28:06","5","10",".500","2","3",".667","2","2","1.000","2","2","4","6","2","0","2","4","14","13.6","+2"
"29","23","2018-12-12","26-262","PHI","","BRK","L (-3)","0","28:40","8","10",".800","1","1","1.000","0","0","","1","1","2","4","0","0","3","2","17","13.2","-9"
"30","24","2018-12-14","26-264","PHI","","IND","L (-12)","0","29:23","3","7",".429","0","0","","0","0","","2","1","3","5","2","1","2","1","6","7.8","-4"
"31","25","2018-12-16","26-266","PHI","@","CLE","W (+23)","0","24:20","4","5",".800","0","0","","0","0","","0","0","0","5","2","0","1","2","8","9.8","-2"
"32","26","2018-12-17","26-267","PHI","@","SAS","L (-27)","0","25:44","2","7",".286","0","1",".000","0","0","","1","2","3","4","1","1","2","2","4","2.9","-16"
"33","27","2018-12-19","26-269","PHI","","NYK","W (+22)","0","20:06","3","6",".500","1","2",".500","0","0","","0","3","3","2","2","0","0","1","7","7.9","+13"
"34","28","2018-12-22","26-272","PHI","","TOR","W (+25)","0","28:28","3","11",".273","0","2",".000","0","0","","0","3","3","7","0","0","0","2","6","4.5","+15"
"35","29","2018-12-25","26-275","PHI","@","BOS","L (-7)","0","23:53","1","2",".500","0","1",".000","0","0","","0","6","6","7","1","1","1","4","2","6.8","+6"
"36","30","2018-12-27","26-277","PHI","@","UTA","W (+17)","0","22:48","5","7",".714","0","1",".000","0","0","","0","2","2","7","0","0","1","3","10","10.4","+7"
"37","31","2018-12-30","26-280","PHI","@","POR","L (-34)","0","26:31","6","7",".857","1","1","1.000","1","2",".500","0","3","3","2","2","0","1","1","14","14.0","-38"
