"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","25-042","PHO","","DAL","W (+21)","0","23:45","5","12",".417","3","4",".750","4","4","1.000","1","0","1","1","2","0","3","3","17","9.8","-1",".618",".542","5.9","0.0","2.5","6.0","4.4","0.0","17.9","34.2","102","106"
"2","2","2018-10-20","25-045","PHO","@","DEN","L (-28)","0","22:11","7","12",".583","2","5",".400","0","0","","2","1","3","1","0","1","1","3","16","11.3","-16",".667",".667","7.9","5.5","6.9","15.6","0.0","3.8","7.7","25.3","118","119"
"3","3","2018-10-22","25-047","PHO","@","GSW","L (-20)","0","24:25","12","17",".706","3","5",".600","0","0","","1","3","4","3","2","1","0","1","27","25.9","-9",".794",".794","4.4","14.7","9.3","38.3","3.8","3.9","0.0","29.1","158","112"
"4","4","2018-10-24","25-049","PHO","","LAL","L (-18)","0","28:32","3","8",".375","1","2",".500","3","4",".750","1","2","3","1","0","0","3","1","10","3.8","-6",".512",".438","4.1","7.3","5.8","4.3","0.0","0.0","23.5","19.1","86","131"
"5","5","2018-10-27","25-052","PHO","@","MEM","L (-21)","0","18:25","1","4",".250","0","2",".000","1","1","1.000","0","3","3","1","0","1","0","1","3","2.5","-15",".338",".250","0.0","23.7","10.6","7.8","0.0","4.9","0.0","11.0","79","117"
"6","6","2018-10-28","25-053","PHO","@","OKC","L (-7)","0","21:38","8","17",".471","2","5",".400","0","0","","3","5","8","0","0","1","0","2","18","12.8","-2",".529",".529","15.1","25.8","20.4","0.0","0.0","3.6","0.0","31.5","112","111"
"7","7","2018-10-31","25-056","PHO","","SAS","L (-30)","1","35:36","8","16",".500","1","2",".500","4","4","1.000","0","3","3","3","0","1","1","2","21","14.9","-15",".591",".531","0.0","11.9","4.9","16.7","0.0","2.1","5.3","22.4","115","122"
"8","8","2018-11-02","25-058","PHO","","TOR","L (-9)","1","22:39","3","9",".333","0","1",".000","4","6",".667","0","4","4","2","0","0","4","4","10","1.1","+4",".430",".333","0.0","19.7","9.6","12.6","0.0","0.0","25.6","29.1","73","111"
"10","9","2018-11-06","25-062","PHO","","BRK","L (-22)","0","13:20","0","5",".000","0","0","","0","0","","0","3","3","0","1","0","0","2","0","-2.4","-7",".000",".000","0.0","20.4","10.7","0.0","3.7","0.0","0.0","16.4","0","99"
"11","10","2018-11-08","25-064","PHO","","BOS","L (-7)","1","41:42","9","17",".529","3","4",".750","8","8","1.000","1","6","7","1","1","1","0","2","29","24.8","+1",".707",".618","3.0","13.9","9.1","4.3","1.2","2.1","0.0","22.4","141","109"
