"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-16","20-152","OKC","@","GSW","L (-8)","1","26:31","0","2",".000","0","2",".000","0","0","","2","2","4","1","0","0","1","3","0","-0.9","0"
"2","2","2018-10-19","20-155","OKC","@","LAC","L (-16)","1","17:15","1","6",".167","1","6",".167","1","2",".500","0","0","0","0","0","0","0","3","4","-1.4","-11"
"3","3","2018-10-21","20-157","OKC","","SAC","L (-11)","1","19:03","1","7",".143","0","3",".000","0","0","","1","1","2","0","1","0","1","2","2","-2.3","-11"
"4","4","2018-10-25","20-161","OKC","","BOS","L (-6)","1","13:51","1","1","1.000","0","0","","0","0","","2","0","2","0","0","0","1","1","2","1.7","+6"
"5","5","2018-10-28","20-164","OKC","","PHO","W (+7)","1","27:16","3","6",".500","0","2",".000","0","0","","0","2","2","0","2","0","3","1","6","2.2","-8"
"6","6","2018-10-30","20-166","OKC","","LAC","W (+18)","1","25:53","1","1","1.000","0","0","","0","0","","0","0","0","1","1","1","0","4","2","2.5","+33"
"7","7","2018-11-01","20-168","OKC","@","CHO","W (+4)","1","17:38","0","1",".000","0","1",".000","0","0","","0","1","1","1","0","0","1","5","0","-2.7","-7"
"8","8","2018-11-02","20-169","OKC","@","WAS","W (+23)","1","17:26","3","5",".600","3","5",".600","0","0","","0","1","1","2","0","0","2","4","9","4.8","-3"
"9","9","2018-11-05","20-172","OKC","","NOP","W (+6)","1","14:01","2","3",".667","1","2",".500","0","0","","0","0","0","0","2","0","0","2","5","4.9","+2"
"10","10","2018-11-07","20-174","OKC","@","CLE","W (+9)","1","21:47","1","3",".333","0","1",".000","2","2","1.000","0","1","1","2","0","0","1","3","4","1.8","-2"
"11","11","2018-11-08","20-175","OKC","","HOU","W (+18)","1","29:52","5","10",".500","4","9",".444","0","0","","1","3","4","0","1","1","2","4","14","8.7","+24"
"12","12","2018-11-10","20-177","OKC","@","DAL","L (-15)","1","24:53","1","7",".143","0","5",".000","0","0","","3","1","4","0","1","0","0","1","2","0.5","-8"
"13","13","2018-11-12","20-179","OKC","","PHO","W (+17)","1","26:11","2","7",".286","1","3",".333","0","0","","1","2","3","0","0","1","0","2","5","2.1","+30"
"14","14","2018-11-14","20-181","OKC","","NYK","W (+25)","1","31:42","3","7",".429","1","4",".250","0","0","","1","5","6","3","0","0","1","3","7","5.4","+16"
"17","15","2018-11-21","20-188","OKC","@","GSW","W (+28)","1","6:19","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","1","0","-1.4","+4"
"22","16","2018-12-03","20-200","OKC","@","DET","W (+27)","1","26:59","0","1",".000","0","1",".000","2","2","1.000","0","3","3","4","1","1","0","5","2","4.7","+16"
"23","17","2018-12-05","20-202","OKC","@","BRK","W (+2)","1","25:43","3","7",".429","2","4",".500","0","0","","0","1","1","0","0","0","0","3","8","3.4","0"
"24","18","2018-12-07","20-204","OKC","@","CHI","L (-2)","1","25:58","3","5",".600","1","1","1.000","0","0","","0","2","2","0","0","0","0","1","7","4.9","+12"
"25","19","2018-12-10","20-207","OKC","","UTA","W (+9)","1","15:39","1","1","1.000","1","1","1.000","1","2",".500","0","2","2","3","1","0","0","2","4","6.2","+5"
"26","20","2018-12-12","20-209","OKC","@","NOP","L (-4)","1","21:08","2","4",".500","2","4",".500","0","0","","0","1","1","0","0","0","1","3","6","2.1","-11"
"27","21","2018-12-14","20-211","OKC","@","DEN","L (-11)","1","23:33","0","1",".000","0","1",".000","0","2",".000","0","0","0","0","1","0","0","3","0","-1.7","+1"
