"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"5","1","2018-10-26","21-243","MIL","@","MIN","W (+30)","0","12:00","3","4",".750","1","2",".500","1","2",".500","1","3","4","0","0","1","0","4","8","6.7","0"
"6","2","2018-10-27","21-244","MIL","","ORL","W (+22)","0","6:03","0","1",".000","0","1",".000","0","0","","0","3","3","0","0","1","0","1","0","0.5","-7"
"7","3","2018-10-29","21-246","MIL","","TOR","W (+15)","0","23:13","4","7",".571","2","4",".500","1","2",".500","0","7","7","2","0","1","2","1","11","9.1","+6"
"9","4","2018-11-04","21-252","MIL","","SAC","W (+35)","0","9:47","1","5",".200","1","4",".250","0","0","","0","2","2","0","0","0","0","0","3","0.5","+10"
"11","5","2018-11-08","21-256","MIL","@","GSW","W (+23)","0","6:44","4","6",".667","0","1",".000","0","0","","1","0","1","0","1","0","0","0","8","7.1","-4"
"14","6","2018-11-14","21-262","MIL","","MEM","L (-3)","0","9:29","1","2",".500","1","2",".500","0","0","","0","2","2","1","0","2","0","2","3","3.9","+17"
"15","7","2018-11-16","21-264","MIL","","CHI","W (+19)","0","17:51","3","10",".300","3","7",".429","0","0","","1","2","3","1","0","1","0","3","9","4.7","+3"
"16","8","2018-11-19","21-267","MIL","","DEN","W (+6)","0","3:41","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-11"
"17","9","2018-11-21","21-269","MIL","","POR","W (+43)","0","20:55","4","10",".400","3","7",".429","0","0","","2","6","8","0","0","1","2","2","11","6.7","+12"
"18","10","2018-11-23","21-271","MIL","","PHO","L (-2)","0","8:10","1","4",".250","0","3",".000","0","2",".000","1","0","1","2","0","0","0","0","2","0.9","-5"
"19","11","2018-11-24","21-272","MIL","","SAS","W (+6)","0","16:49","2","6",".333","1","4",".250","0","0","","1","3","4","1","1","0","0","2","5","4.1","-1"
"20","12","2018-11-26","21-274","MIL","@","CHO","L (-3)","0","5:53","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","1","0","2","0","-0.8","-13"
"21","13","2018-11-28","21-276","MIL","","CHI","W (+3)","0","11:23","0","1",".000","0","1",".000","0","0","","0","3","3","1","0","1","0","2","0","0.8","+12"
"22","14","2018-12-01","21-279","MIL","@","NYK","L (-2)","0","12:53","2","3",".667","2","3",".667","3","4",".750","0","2","2","0","1","0","0","2","9","8.1","+3"
"23","15","2018-12-05","21-283","MIL","","DET","W (+23)","0","21:13","3","8",".375","2","6",".333","3","6",".500","0","2","2","1","0","0","0","3","11","5.5","+4"
"24","16","2018-12-07","21-285","MIL","","GSW","L (-10)","0","12:23","1","5",".200","0","2",".000","0","0","","1","1","2","0","0","0","0","1","2","-0.5","-7"
"25","17","2018-12-09","21-287","MIL","@","TOR","W (+5)","0","8:21","1","2",".500","1","2",".500","2","2","1.000","0","2","2","0","0","3","1","1","5","5.3","+11"
"26","18","2018-12-10","21-288","MIL","","CLE","W (+16)","0","15:31","2","5",".400","0","1",".000","2","2","1.000","0","3","3","1","1","0","1","0","6","4.9","-4"
"27","19","2018-12-12","21-290","MIL","@","IND","L (-16)","0","10:49","2","3",".667","0","1",".000","0","0","","2","3","5","1","0","0","0","1","4","5.3","+9"
"28","20","2018-12-14","21-292","MIL","@","CLE","W (+12)","0","10:29","1","1","1.000","1","1","1.000","0","0","","0","4","4","0","0","0","0","1","3","3.5","-13"
"29","21","2018-12-17","21-295","MIL","@","DET","W (+3)","0","6:02","1","1","1.000","0","0","","0","0","","0","2","2","1","0","0","0","0","2","3.0","-1"
"30","22","2018-12-19","21-297","MIL","","NOP","W (+8)","0","14:30","2","2","1.000","1","1","1.000","2","4",".500","1","2","3","0","1","0","1","4","7","5.3","+12"
"31","23","2018-12-21","21-299","MIL","@","BOS","W (+13)","0","15:03","4","5",".800","4","5",".800","0","0","","0","3","3","1","1","0","0","3","12","11.5","+5"
"32","24","2018-12-22","21-300","MIL","@","MIA","L (-7)","0","8:17","0","1",".000","0","1",".000","1","2",".500","0","1","1","0","0","1","1","4","1","-1.7","-2"
"33","25","2018-12-25","21-303","MIL","@","NYK","W (+14)","0","15:05","5","8",".625","0","2",".000","2","5",".400","0","3","3","0","0","2","0","1","12","9.1","+11"
"34","26","2018-12-27","21-305","MIL","","NYK","W (+16)","0","12:35","0","4",".000","0","4",".000","0","0","","1","3","4","0","0","2","0","0","0","0.2","+6"
"35","27","2018-12-29","21-307","MIL","","BRK","W (+14)","0","13:09","0","3",".000","0","2",".000","0","0","","0","1","1","0","0","0","0","2","0","-2.6","+5"
"36","28","2019-01-01","21-310","MIL","","DET","W (+23)","0","17:44","1","2",".500","0","1",".000","1","3",".333","1","4","5","1","1","0","1","4","3","2.2","+7"
"37","29","2019-01-04","21-313","MIL","","ATL","W (+32)","0","14:22","3","10",".300","1","6",".167","1","2",".500","1","2","3","0","0","1","0","4","8","2.2","-8"
"39","30","2019-01-07","21-316","MIL","","UTA","W (+12)","0","18:07","6","8",".750","2","3",".667","1","1","1.000","2","3","5","1","2","0","0","2","15","16.0","+5"
"40","31","2019-01-09","21-318","MIL","@","HOU","W (+7)","0","2:50","0","1",".000","0","0","","0","0","","1","0","1","0","0","0","0","0","0","0.0","-2"
"41","32","2019-01-11","21-320","MIL","@","WAS","L (-7)","0","5:21","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","0","2","1.7","-13"
