"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","26-341","MIL","@","CHO","W (+1)","0","11:20","0","2",".000","0","1",".000","0","0","","1","1","2","1","0","0","0","0","0","0.3","+1"
"2","2","2018-10-19","26-343","MIL","","IND","W (+17)","0","17:50","4","7",".571","2","5",".400","0","1",".000","0","2","2","1","0","0","0","2","10","6.8","+1"
"3","3","2018-10-22","26-346","MIL","","NYK","W (+11)","0","15:06","1","4",".250","1","4",".250","0","0","","0","1","1","0","0","0","0","1","3","0.5","+11"
"4","4","2018-10-24","26-348","MIL","","PHI","W (+15)","0","17:02","3","5",".600","2","4",".500","0","0","","0","1","1","0","0","0","0","0","8","6.0","+21"
"5","5","2018-10-26","26-350","MIL","@","MIN","W (+30)","0","15:28","3","7",".429","1","4",".250","0","0","","0","1","1","1","0","1","1","0","7","4.0","+4"
"6","6","2018-10-27","26-351","MIL","","ORL","W (+22)","0","23:19","3","5",".600","0","2",".000","1","2",".500","1","1","2","2","1","0","0","4","7","6.1","+10"
"7","7","2018-10-29","26-353","MIL","","TOR","W (+15)","0","16:24","4","4","1.000","3","3","1.000","0","0","","0","2","2","1","1","1","0","1","11","12.4","+20"
"8","8","2018-11-01","26-356","MIL","@","BOS","L (-4)","0","14:33","3","4",".750","1","2",".500","2","2","1.000","0","2","2","0","0","0","1","3","9","5.8","+4"
"9","9","2018-11-04","26-359","MIL","","SAC","W (+35)","0","18:09","4","5",".800","3","3","1.000","1","1","1.000","0","2","2","0","0","0","1","1","12","9.3","+17"
"10","10","2018-11-06","26-361","MIL","@","POR","L (-15)","0","16:44","2","4",".500","2","2","1.000","2","2","1.000","1","2","3","1","1","0","0","0","8","9.0","-7"
"11","11","2018-11-08","26-363","MIL","@","GSW","W (+23)","0","20:20","2","8",".250","1","3",".333","1","1","1.000","0","3","3","3","0","0","0","1","6","3.8","-12"
"12","12","2018-11-10","27-000","MIL","@","LAC","L (-2)","0","11:47","0","3",".000","0","1",".000","0","0","","0","2","2","2","0","0","0","2","0","-0.9","+2"
"13","13","2018-11-11","27-001","MIL","@","DEN","W (+7)","0","13:19","2","2","1.000","1","1","1.000","0","0","","0","0","0","0","2","0","0","0","5","6.4","-4"
"14","14","2018-11-14","27-004","MIL","","MEM","L (-3)","0","17:33","0","2",".000","0","2",".000","0","0","","0","1","1","1","0","2","0","2","0","0.2","+14"
"15","15","2018-11-16","27-006","MIL","","CHI","W (+19)","0","17:01","5","7",".714","1","3",".333","0","0","","0","2","2","0","2","0","2","1","11","8.3","+11"
"16","16","2018-11-19","27-009","MIL","","DEN","W (+6)","0","18:27","1","4",".250","1","3",".333","0","0","","1","1","2","0","0","0","1","1","3","0.2","0"
"17","17","2018-11-21","27-011","MIL","","POR","W (+43)","0","15:27","3","8",".375","2","6",".333","1","1","1.000","0","0","0","0","0","0","0","1","9","4.2","+5"
"18","18","2018-11-23","27-013","MIL","","PHO","L (-2)","0","19:30","0","4",".000","0","4",".000","2","2","1.000","1","3","4","3","0","0","0","1","2","2.5","+7"
"19","19","2018-11-24","27-014","MIL","","SAS","W (+6)","0","8:36","1","2",".500","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","3","2.0","-17"
