"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","24-354","BRK","@","DET","L (-3)","0","17:25","0","2",".000","0","2",".000","0","0","","0","2","2","1","1","0","1","4","0","-1.7","+6"
"2","2","2018-10-19","24-356","BRK","","NYK","W (+2)","0","9:43","0","1",".000","0","0","","0","0","","1","1","2","0","0","0","1","1","0","-1.1","+1"
"40","3","2019-01-04","25-068","BRK","@","MEM","W (+9)","0","11:42","1","4",".250","0","1",".000","0","0","","1","1","2","1","0","0","1","0","2","0.3","0"
"41","4","2019-01-06","25-070","BRK","@","CHI","W (+17)","0","15:24","0","4",".000","0","2",".000","0","0","","0","0","0","2","0","1","0","0","0","-0.7","+8"
"42","5","2019-01-07","25-071","BRK","@","BOS","L (-21)","0","26:17","3","10",".300","1","8",".125","2","2","1.000","1","1","2","0","0","0","2","1","9","1.8","-13"
"43","6","2019-01-09","25-073","BRK","","ATL","W (+16)","0","17:51","1","7",".143","1","3",".333","0","0","","3","2","5","2","1","2","0","1","3","4.6","+17"
"44","7","2019-01-11","25-075","BRK","@","TOR","L (-17)","1","28:43","2","7",".286","1","6",".167","0","0","","0","2","2","0","1","0","0","4","5","0.9","-5"
"45","8","2019-01-14","25-078","BRK","","BOS","W (+7)","1","26:54","0","5",".000","0","4",".000","0","0","","0","4","4","1","0","0","0","4","0","-3.2","+7"
"46","9","2019-01-16","25-080","BRK","@","HOU","W (+3)","1","31:33","7","9",".778","3","4",".750","4","5",".800","2","3","5","0","0","0","2","3","21","16.2","+15"
"47","10","2019-01-18","25-082","BRK","@","ORL","W (+2)","1","28:43","2","8",".250","1","5",".200","1","1","1.000","1","2","3","1","0","0","0","3","6","2.0","-1"
"48","11","2019-01-21","25-085","BRK","","SAC","W (+29)","1","29:39","2","3",".667","1","2",".500","3","4",".750","2","3","5","3","1","1","2","2","8","9.6","+28"
"49","12","2019-01-23","25-087","BRK","","ORL","W (+4)","1","24:21","2","5",".400","1","3",".333","0","0","","1","4","5","0","0","0","3","2","5","0.4","-9"
"50","13","2019-01-25","25-089","BRK","","NYK","W (+10)","1","20:37","2","5",".400","1","4",".250","0","0","","0","4","4","0","0","0","1","2","5","1.7","-1"
"52","14","2019-01-29","25-093","BRK","","CHI","W (+5)","1","28:59","1","6",".167","0","2",".000","1","2",".500","0","3","3","3","0","0","0","4","3","0.2","+6"
"53","15","2019-01-31","25-095","BRK","@","SAS","L (-3)","1","24:52","1","4",".250","0","1",".000","1","2",".500","0","3","3","2","1","0","0","4","3","1.9","-6"
"54","16","2019-02-02","25-097","BRK","@","ORL","L (-13)","1","22:13","1","4",".250","1","3",".333","0","0","","1","2","3","1","1","0","1","3","3","1.4","-8"
"55","17","2019-02-04","25-099","BRK","","MIL","L (-19)","1","22:54","2","7",".286","1","5",".200","2","2","1.000","1","5","6","1","0","1","0","3","7","5.3","-10"
"56","18","2019-02-06","25-101","BRK","","DEN","W (+5)","1","22:49","6","9",".667","4","6",".667","0","0","","0","3","3","1","2","0","0","5","16","13.7","-18"
"57","19","2019-02-08","25-103","BRK","","CHI","L (-19)","1","23:58","2","5",".400","2","5",".400","0","0","","0","0","0","1","0","0","0","1","6","3.6","+6"
"58","20","2019-02-11","25-106","BRK","@","TOR","L (-2)","1","20:08","2","6",".333","2","6",".333","0","0","","0","1","1","1","0","0","0","4","6","2.0","-12"
"60","21","2019-02-21","25-116","BRK","","POR","L (-14)","1","16:47","0","4",".000","0","4",".000","0","0","","1","0","1","1","0","0","0","0","0","-1.4","-3"
"61","22","2019-02-23","25-118","BRK","@","CHO","W (+2)","1","18:44","3","6",".500","1","3",".333","0","0","","0","1","1","1","0","0","0","1","7","4.6","+8"
"62","23","2019-02-25","25-120","BRK","","SAS","W (+16)","1","19:27","2","6",".333","2","5",".400","0","0","","1","3","4","1","0","0","0","2","6","4.1","+4"
"63","24","2019-02-27","25-122","BRK","","WAS","L (-9)","1","16:11","3","7",".429","0","4",".000","0","0","","0","7","7","0","0","0","0","1","6","4.0","-6"
"64","25","2019-03-01","25-124","BRK","","CHO","L (-11)","1","17:53","2","5",".400","1","3",".333","0","0","","0","2","2","0","0","1","1","1","5","2.2","-7"
"65","26","2019-03-02","25-125","BRK","@","MIA","L (-29)","1","15:04","3","10",".300","2","6",".333","0","0","","2","2","4","0","0","1","0","1","8","4.5","-11"
