"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","33-109","PHO","","DAL","W (+21)","1","37:01","7","12",".583","5","9",".556","2","2","1.000","0","8","8","7","1","0","0","2","21","22.9","+25"
"2","2","2018-10-20","33-112","PHO","@","DEN","L (-28)","1","29:21","2","7",".286","1","6",".167","0","0","","1","2","3","1","0","1","3","2","5","-0.2","-47"
"3","3","2018-10-22","33-114","PHO","@","GSW","L (-20)","1","35:01","2","12",".167","1","6",".167","1","1","1.000","0","5","5","2","0","0","1","0","6","0.3","-9"
"4","4","2018-10-24","33-116","PHO","","LAL","L (-18)","1","33:47","4","9",".444","3","6",".500","3","4",".750","1","1","2","4","0","0","2","2","14","9.9","-9"
"5","5","2018-10-27","33-119","PHO","@","MEM","L (-21)","1","33:54","2","10",".200","1","8",".125","1","1","1.000","0","4","4","5","0","0","3","2","6","0.7","-19"
"6","6","2018-10-28","33-120","PHO","@","OKC","L (-7)","1","28:13","1","4",".250","0","0","","3","3","1.000","0","5","5","3","2","0","3","2","5","4.4","-22"
"7","7","2018-10-31","33-123","PHO","","SAS","L (-30)","1","30:21","4","11",".364","2","4",".500","4","4","1.000","2","5","7","3","2","0","0","0","14","14.9","-16"
"8","8","2018-11-02","33-125","PHO","","TOR","L (-9)","1","34:26","4","12",".333","2","7",".286","0","0","","2","4","6","4","1","0","1","1","10","8.2","-8"
"9","9","2018-11-04","33-127","PHO","","MEM","W (+2)","1","39:03","5","10",".500","2","6",".333","4","4","1.000","0","9","9","5","2","0","4","2","16","14.4","+3"
"10","10","2018-11-06","33-129","PHO","","BRK","L (-22)","1","31:12","3","4",".750","2","2","1.000","0","1",".000","0","7","7","1","0","1","2","3","8","6.3","-8"
