"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","22-346","DEN","@","LAC","W (+9)","0","18:47","3","6",".500","0","1",".000","4","6",".667","0","7","7","0","1","0","1","2","10","7.5","-10"
"2","2","2018-10-20","22-349","DEN","","PHO","W (+28)","0","16:37","0","4",".000","0","0","","2","4",".500","0","3","3","1","0","0","6","3","2","-7.2","-5"
"3","3","2018-10-21","22-350","DEN","","GSW","W (+2)","0","21:34","2","8",".250","0","5",".000","2","4",".500","1","3","4","3","3","0","1","0","6","6.1","+5"
"4","4","2018-10-23","22-352","DEN","","SAC","W (+14)","0","23:07","5","12",".417","0","3",".000","2","2","1.000","1","4","5","3","0","1","4","1","12","5.9","+6"
"5","5","2018-10-25","22-354","DEN","@","LAL","L (-7)","0","21:01","5","12",".417","1","3",".333","0","1",".000","1","3","4","3","1","0","2","3","11","5.7","0"
"6","6","2018-10-29","22-358","DEN","","NOP","W (+5)","0","21:08","6","14",".429","1","6",".167","4","4","1.000","0","1","1","1","1","0","0","3","17","10.4","+4"
"7","7","2018-10-31","22-360","DEN","@","CHI","W (+1)","0","20:03","4","9",".444","1","3",".333","0","1",".000","3","7","10","3","1","1","2","2","9","9.1","-6"
"8","8","2018-11-01","22-361","DEN","@","CLE","W (+19)","0","24:37","5","13",".385","0","3",".000","2","2","1.000","2","6","8","1","1","1","2","1","12","8.1","+10"
"9","9","2018-11-03","22-363","DEN","","UTA","W (+15)","0","20:23","3","8",".375","0","3",".000","2","2","1.000","0","6","6","3","0","0","1","4","8","4.9","+16"
"10","10","2018-11-05","23-000","DEN","","BOS","W (+8)","0","23:05","4","10",".400","3","7",".429","2","2","1.000","0","3","3","2","0","2","1","1","13","9.9","+11"
"11","11","2018-11-07","23-002","DEN","@","MEM","L (-2)","0","28:06","6","9",".667","2","5",".400","2","3",".667","0","9","9","1","1","0","0","3","16","14.9","+5"
"12","12","2018-11-09","23-004","DEN","","BRK","L (-2)","0","21:08","3","7",".429","0","0","","4","6",".667","0","3","3","2","0","1","0","0","10","8.5","-1"
"13","13","2018-11-11","23-006","DEN","","MIL","L (-7)","0","20:27","7","11",".636","2","5",".400","0","0","","2","3","5","0","0","0","0","1","16","13.0","+7"
"14","14","2018-11-13","23-008","DEN","","HOU","L (-10)","0","12:43","3","4",".750","1","1","1.000","1","2",".500","0","1","1","0","1","0","1","1","8","5.9","-12"
"15","15","2018-11-15","23-010","DEN","","ATL","W (+45)","0","27:16","5","7",".714","1","1","1.000","3","4",".750","1","7","8","4","0","0","5","1","14","10.9","+13"
"16","16","2018-11-17","23-012","DEN","@","NOP","L (-10)","0","20:17","3","9",".333","1","4",".250","0","2",".000","1","3","4","1","0","0","2","4","7","-0.2","-7"
"17","17","2018-11-19","23-014","DEN","@","MIL","L (-6)","0","15:40","3","8",".375","0","4",".000","0","1",".000","0","2","2","1","0","0","1","1","6","1.1","+5"
"18","18","2018-11-21","23-016","DEN","@","MIN","W (+2)","0","14:06","2","7",".286","0","1",".000","0","0","","0","1","1","0","0","0","2","1","4","-2.2","-10"
"19","19","2018-11-23","23-018","DEN","","ORL","W (+25)","0","18:07","9","15",".600","1","5",".200","3","3","1.000","1","1","2","1","0","0","1","2","22","15.0","+16"
"20","20","2018-11-24","23-019","DEN","@","OKC","W (+7)","0","19:35","6","6","1.000","2","2","1.000","2","2","1.000","1","3","4","1","0","0","1","1","16","15.1","+5"
"21","21","2018-11-27","23-022","DEN","","LAL","W (+32)","0","24:53","2","10",".200","1","4",".250","0","0","","1","8","9","1","0","0","2","3","5","-0.6","+21"
"22","22","2018-11-30","23-025","DEN","@","POR","W (+1)","0","12:46","2","7",".286","2","4",".500","2","4",".500","0","2","2","1","1","0","1","2","8","3.6","0"
"23","23","2018-12-03","23-028","DEN","@","TOR","W (+3)","0","12:25","1","3",".333","1","1","1.000","0","2",".000","0","2","2","2","1","0","1","1","3","2.1","-10"
"24","24","2018-12-05","23-030","DEN","@","ORL","W (+6)","0","18:50","4","8",".500","1","3",".333","3","4",".750","0","2","2","0","0","1","1","2","12","7.1","+4"
"25","25","2018-12-07","23-032","DEN","@","CHO","L (-6)","0","18:43","2","11",".182","1","5",".200","0","0","","1","4","5","2","1","3","1","0","5","3.5","-7"
"26","26","2018-12-08","23-033","DEN","@","ATL","L (-8)","1","38:28","2","13",".154","1","7",".143","4","4","1.000","1","9","10","2","1","1","1","3","9","5.0","-7"
"27","27","2018-12-10","23-035","DEN","","MEM","W (+6)","0","22:22","4","12",".333","0","5",".000","1","1","1.000","2","5","7","0","2","0","2","0","9","5.1","+8"
"28","28","2018-12-14","23-039","DEN","","OKC","W (+11)","0","30:16","4","10",".400","0","4",".000","1","2",".500","2","4","6","3","0","2","3","3","9","5.1","+3"
"29","29","2018-12-16","23-041","DEN","","TOR","W (+9)","0","13:26","1","6",".167","0","3",".000","2","2","1.000","1","3","4","2","1","1","0","0","4","4.9","+8"
"30","30","2018-12-18","23-043","DEN","","DAL","W (+8)","0","21:05","5","7",".714","3","4",".750","3","4",".750","0","3","3","0","0","0","0","2","16","12.8","+7"
"31","31","2018-12-22","23-047","DEN","@","LAC","L (-21)","0","17:42","5","8",".625","1","3",".333","2","3",".667","1","2","3","0","0","1","0","2","13","10.2","-14"
"32","32","2018-12-26","23-051","DEN","@","SAS","L (-8)","0","14:34","1","5",".200","0","3",".000","2","2","1.000","0","2","2","1","1","0","1","1","4","1.8","+4"
"33","33","2018-12-28","23-053","DEN","","SAS","W (+3)","0","17:24","1","10",".100","0","3",".000","1","2",".500","4","3","7","2","1","2","3","3","3","-0.7","+11"
"34","34","2018-12-29","23-054","DEN","@","PHO","W (+4)","0","7:58","1","3",".333","0","2",".000","0","0","","1","1","2","1","1","0","1","3","2","0.8","-7"
"35","35","2019-01-01","23-057","DEN","","NYK","W (+7)","0","9:56","4","7",".571","1","3",".333","0","0","","1","2","3","0","0","1","0","1","9","7.3","-8"
"36","36","2019-01-03","23-059","DEN","@","SAC","W (+4)","0","8:21","0","2",".000","0","2",".000","2","2","1.000","0","2","2","0","0","0","0","0","2","1.2","-9"
"37","37","2019-01-05","23-061","DEN","","CHO","W (+13)","0","14:04","2","5",".400","1","3",".333","4","4","1.000","1","4","5","2","1","0","0","1","9","10.2","+5"
"38","38","2019-01-07","23-063","DEN","@","HOU","L (-12)","0","17:36","2","5",".400","0","2",".000","0","0","","0","2","2","2","0","0","0","2","4","2.5","+8"
"39","39","2019-01-08","23-064","DEN","@","MIA","W (+4)","0","15:09","6","8",".750","3","5",".600","0","0","","0","3","3","0","0","0","1","0","15","11.7","-8"
"40","40","2019-01-10","23-066","DEN","","LAC","W (+21)","0","22:20","3","11",".273","1","4",".250","0","0","","0","2","2","1","0","1","0","3","7","1.3","+12"
"43","41","2019-01-15","23-071","DEN","","GSW","L (-31)","0","9:09","2","4",".500","0","1",".000","0","0","","2","3","5","2","0","0","0","0","4","5.7","+1"
"44","42","2019-01-17","23-073","DEN","","CHI","W (+30)","0","21:02","5","10",".500","2","3",".667","0","2",".000","1","3","4","2","1","0","0","0","12","10.2","+3"
"45","43","2019-01-19","23-075","DEN","","CLE","W (+22)","0","19:26","7","11",".636","0","3",".000","2","2","1.000","1","5","6","4","1","0","1","3","16","14.9","-2"
"46","44","2019-01-23","23-079","DEN","@","UTA","L (-6)","0","19:59","6","13",".462","0","4",".000","0","0","","0","3","3","2","1","0","0","3","12","7.4","+11"
"47","45","2019-01-25","23-081","DEN","","PHO","W (+37)","0","22:16","5","13",".385","2","3",".667","0","0","","3","3","6","0","1","0","1","1","12","7.5","+10"
"48","46","2019-01-26","23-082","DEN","","PHI","W (+16)","0","15:51","2","5",".400","1","2",".500","2","2","1.000","0","3","3","2","0","1","0","2","7","6.5","-4"
"49","47","2019-01-28","23-084","DEN","@","MEM","W (+3)","0","13:24","0","4",".000","0","2",".000","0","0","","0","1","1","0","0","0","2","0","0","-4.5","-2"
"50","48","2019-01-30","23-086","DEN","@","NOP","W (+6)","0","10:53","2","6",".333","0","3",".000","0","2",".000","0","2","2","2","0","0","0","1","4","1.4","-11"
"51","49","2019-02-01","23-088","DEN","","HOU","W (+14)","0","17:21","1","6",".167","0","2",".000","1","2",".500","1","0","1","1","0","0","0","1","3","-0.2","-4"
"52","50","2019-02-02","23-089","DEN","@","MIN","W (+1)","0","19:49","8","13",".615","3","6",".500","0","0","","1","5","6","0","0","0","0","2","19","14.5","+4"
"53","51","2019-02-04","23-091","DEN","@","DET","L (-26)","0","29:01","8","13",".615","2","6",".333","2","3",".667","0","4","4","3","1","1","1","0","20","17.7","-15"
"54","52","2019-02-06","23-093","DEN","@","BRK","L (-5)","0","22:17","5","10",".500","2","5",".400","3","4",".750","2","3","5","1","1","0","3","4","15","9.0","-21"
"55","53","2019-02-08","23-095","DEN","@","PHI","L (-7)","0","23:47","5","10",".500","1","5",".200","2","2","1.000","0","4","4","5","1","2","2","0","13","13.1","-7"
