"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","1","2018-10-20","22-194","DEN","","PHO","W (+28)","0","1:34","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+2","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","101"
"4","2","2018-10-23","22-197","DEN","","SAC","W (+14)","0","2:45","1","1","1.000","0","0","","0","0","","1","0","1","0","0","0","0","0","2","2.4","-11","1.000","1.000","38.8","0.0","19.8","0.0","0.0","0.0","0.0","14.8","208","121"
"8","3","2018-11-01","22-206","DEN","@","CLE","W (+19)","0","3:56","0","0","","0","0","","1","2",".500","0","0","0","0","0","0","0","1","1","0.2","-6",".568","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.1","122","116"
"9","4","2018-11-03","22-208","DEN","","UTA","W (+15)","0","1:57","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","102"
"15","5","2018-11-15","22-220","DEN","","ATL","W (+45)","0","6:38","2","3",".667","2","3",".667","0","0","","0","1","1","0","0","0","0","0","6","5.0","+12","1.000","1.000","0.0","12.1","7.3","0.0","0.0","0.0","0.0","18.1","181","95"
"19","6","2018-11-23","22-228","DEN","","ORL","W (+25)","0","4:56","1","2",".500","0","0","","0","0","","1","1","2","0","0","0","0","0","2","2.0","-3",".500",".500","21.6","22.6","22.1","0.0","0.0","0.0","0.0","17.5","122","97"
"21","7","2018-11-27","22-232","DEN","","LAL","W (+32)","0","4:42","2","2","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","1","1","5","3.0","+6","1.250","1.250","0.0","0.0","0.0","0.0","0.0","0.0","33.3","26.7","105","95"
"27","8","2018-12-10","22-245","DEN","","MEM","W (+6)","0","2:10","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-4","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","123"
"28","9","2018-12-14","22-249","DEN","","OKC","W (+11)","0","0:33","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","115"
"31","10","2018-12-22","22-257","DEN","@","LAC","L (-21)","0","9:17","0","0","","0","0","","0","0","","2","1","3","1","1","0","0","0","0","3.4","+3","","","18.5","14.0","16.7","12.6","5.1","0.0","","0.0","220","125"
"32","11","2018-12-26","22-261","DEN","@","SAS","L (-8)","0","2:29","0","0","","0","0","","0","0","","0","2","2","1","0","0","0","1","0","0.9","+4","","","0.0","89.9","39.9","55.2","0.0","0.0","","0.0","251","103"
"37","12","2019-01-05","22-271","DEN","","CHO","W (+13)","0","0:54","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","124"
"40","13","2019-01-10","22-276","DEN","","LAC","W (+21)","0","3:04","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","1","0","0","1","3","3.3","+1","1.500","1.500","0.0","0.0","0.0","0.0","16.0","0.0","0.0","13.8","300","76"
"42","14","2019-01-13","22-279","DEN","","POR","W (+3)","0","6:03","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.1","0","","","0.0","20.3","10.7","0.0","0.0","0.0","","0.0","0","121"
"43","15","2019-01-15","22-281","DEN","","GSW","L (-31)","0","9:09","0","1",".000","0","1",".000","0","0","","0","1","1","1","0","0","1","0","0","-0.7","+1",".000",".000","0.0","13.5","6.1","12.5","0.0","0.0","50.0","9.8","29","150"
"44","16","2019-01-17","22-283","DEN","","CHI","W (+30)","0","4:24","0","4",".000","0","3",".000","0","0","","0","0","0","0","0","0","0","0","0","-2.8","-6",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.0","0","121"
"45","17","2019-01-19","22-285","DEN","","CLE","W (+22)","0","5:45","1","1","1.000","0","0","","0","0","","1","1","2","0","0","0","1","2","2","0.9","-4","1.000","1.000","23.9","23.2","23.5","0.0","0.0","0.0","50.0","15.9","101","117"
"47","18","2019-01-25","22-291","DEN","","PHO","W (+37)","0","4:38","0","1",".000","0","1",".000","0","1",".000","0","0","0","1","0","0","1","1","0","-1.8","+8",".000",".000","0.0","0.0","0.0","22.0","0.0","0.0","41.0","21.3","27","101"
"48","19","2019-01-26","22-292","DEN","","PHI","W (+16)","0","2:57","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","0","","","0.0","31.9","17.7","0.0","0.0","0.0","","0.0","0","106"
"51","20","2019-02-01","22-298","DEN","","HOU","W (+14)","0","0:47","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-4","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","145"
"53","21","2019-02-04","22-301","DEN","@","DET","L (-26)","0","8:37","0","1",".000","0","0","","0","0","","1","1","2","1","0","0","0","1","0","0.6","-7",".000",".000","11.9","14.7","13.1","13.6","0.0","0.0","0.0","4.9","90","134"
"58","22","2019-02-22","22-319","DEN","@","DAL","W (+10)","0","0:58","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-3","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","110"
