"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","41-264","ATL","@","NYK","L (-19)","1","23:58","4","9",".444","2","6",".333","2","2","1.000","0","2","2","0","0","0","2","5","12","3.9","+7"
"2","2","2018-10-19","41-266","ATL","@","MEM","L (-14)","1","20:15","2","7",".286","2","5",".400","4","4","1.000","0","2","2","1","0","1","0","2","10","7.1","-18"
"3","3","2018-10-21","41-268","ATL","@","CLE","W (+22)","1","12:18","1","3",".333","1","2",".500","0","0","","0","0","0","2","1","0","1","0","3","2.7","-8"
"4","4","2018-10-24","41-271","ATL","","DAL","W (+7)","1","25:42","2","5",".400","2","4",".500","0","0","","0","5","5","0","1","0","0","0","6","5.8","+16"
"5","5","2018-10-27","41-274","ATL","","CHI","L (-12)","1","23:10","4","9",".444","4","7",".571","0","0","","0","2","2","1","1","1","1","5","12","7.3","-8"
"6","6","2018-10-29","41-276","ATL","@","PHI","L (-21)","1","20:17","2","7",".286","0","3",".000","0","0","","1","3","4","2","2","0","1","1","4","3.5","-9"
"7","7","2018-10-30","41-277","ATL","@","CLE","L (-22)","1","23:43","4","8",".500","2","5",".400","0","1",".000","1","2","3","2","0","0","1","1","10","6.9","-4"
"8","8","2018-11-01","41-279","ATL","","SAC","L (-31)","1","16:18","1","3",".333","1","3",".333","0","0","","0","2","2","0","0","1","1","1","3","1.2","-13"
"9","9","2018-11-03","41-281","ATL","","MIA","W (+5)","0","18:41","5","7",".714","1","2",".500","1","2",".500","1","1","2","2","1","0","0","1","12","11.7","+8"
"10","10","2018-11-06","41-284","ATL","@","CHO","L (-11)","0","22:46","2","4",".500","1","2",".500","2","2","1.000","0","1","1","1","2","2","1","1","7","8.0","-1"
"11","11","2018-11-07","41-285","ATL","","NYK","L (-5)","0","10:31","1","3",".333","1","3",".333","0","0","","0","1","1","0","1","0","1","2","3","0.8","-2"
"12","12","2018-11-09","41-287","ATL","","DET","L (-15)","0","6:06","1","2",".500","0","1",".000","0","0","","0","1","1","1","0","0","0","0","2","2.0","-6"
"13","13","2018-11-11","41-289","ATL","@","LAL","L (-1)","0","21:08","2","6",".333","0","3",".000","0","0","","0","1","1","0","0","1","0","0","4","1.6","+3"
"14","14","2018-11-13","41-291","ATL","@","GSW","L (-7)","0","17:23","4","7",".571","3","5",".600","0","0","","1","5","6","3","0","0","1","0","11","11.0","0"
"15","15","2018-11-15","41-293","ATL","@","DEN","L (-45)","0","16:29","4","6",".667","3","5",".600","0","0","","1","0","1","0","0","0","0","2","11","8.3","-15"
"16","16","2018-11-17","41-295","ATL","@","IND","L (-8)","0","16:10","2","8",".250","2","5",".400","1","2",".500","0","4","4","0","1","0","0","2","7","3.2","-12"
"17","17","2018-11-19","41-297","ATL","","LAC","L (-8)","0","13:46","1","5",".200","0","4",".000","0","0","","0","3","3","1","1","0","0","5","2","-0.5","+2"
"18","18","2018-11-21","41-299","ATL","","TOR","L (-16)","0","21:25","5","15",".333","2","7",".286","2","2","1.000","1","4","5","1","0","0","0","3","14","6.9","0"
"19","19","2018-11-23","41-301","ATL","","BOS","L (-18)","0","10:11","0","3",".000","0","1",".000","0","0","","0","2","2","0","1","0","1","3","0","-2.7","+14"
"22","20","2018-11-28","41-306","ATL","@","CHO","L (-14)","0","9:20","0","3",".000","0","2",".000","2","2","1.000","0","1","1","0","0","1","0","0","2","0.9","-9"
"24","21","2018-12-03","41-311","ATL","","GSW","L (-17)","0","17:22","2","8",".250","0","3",".000","0","0","","0","1","1","2","0","0","0","0","4","0.9","-15"
"25","22","2018-12-05","41-313","ATL","","WAS","L (-14)","0","21:30","4","7",".571","3","6",".500","2","2","1.000","1","3","4","2","1","1","0","1","13","14.0","-7"
"26","23","2018-12-08","41-316","ATL","","DEN","W (+8)","0","16:25","5","10",".500","3","7",".429","0","0","","1","2","3","1","0","0","1","2","13","8.2","+2"
"27","24","2018-12-12","41-320","ATL","@","DAL","L (-7)","0","14:24","1","5",".200","1","4",".250","0","0","","0","3","3","2","1","0","0","1","3","2.8","-9"
"28","25","2018-12-14","41-322","ATL","@","BOS","L (-21)","0","16:10","5","8",".625","2","3",".667","0","2",".000","0","0","0","0","0","1","0","0","12","8.3","-26"
"29","26","2018-12-16","41-324","ATL","@","BRK","L (-17)","0","19:15","3","5",".600","1","3",".333","0","0","","0","0","0","3","0","1","0","3","7","6.3","-8"
"30","27","2018-12-18","41-326","ATL","","WAS","W (+8)","0","20:58","2","5",".400","2","4",".500","0","0","","2","4","6","0","2","0","3","4","6","3.3","-6"
"31","28","2018-12-21","41-329","ATL","@","NYK","W (+7)","0","13:31","0","3",".000","0","3",".000","0","0","","0","6","6","1","0","0","1","1","0","-1.0","-7"
