"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"2","1","2018-10-19","23-303","ORL","","CHO","L (-32)","0","14:52","4","11",".364","0","2",".000","3","5",".600","2","2","4","0","1","0","0","0","11","7.1","-3"
"3","2","2018-10-20","23-304","ORL","@","PHI","L (-1)","0","18:03","0","4",".000","0","2",".000","0","0","","2","2","4","0","0","0","0","2","0","-1.6","-20"
"6","3","2018-10-27","23-311","ORL","@","MIL","L (-22)","0","12:08","2","5",".400","0","0","","4","4","1.000","1","2","3","0","0","0","1","2","8","4.8","0"
"8","4","2018-11-02","23-317","ORL","","LAC","L (-25)","0","31:13","2","5",".400","0","0","","1","3",".333","0","4","4","1","0","0","2","4","5","-0.2","-25"
"9","5","2018-11-04","23-319","ORL","@","SAS","W (+7)","1","13:51","0","4",".000","0","0","","2","2","1.000","0","1","1","0","0","1","1","2","2","-1.6","+8"
"10","6","2018-11-05","23-320","ORL","","CLE","W (+2)","1","12:55","1","4",".250","0","1",".000","2","2","1.000","0","1","1","0","0","0","0","1","4","1.5","-7"
"11","7","2018-11-07","23-322","ORL","","DET","L (-7)","1","17:47","2","3",".667","0","0","","0","0","","0","0","0","0","1","0","0","2","4","2.9","+19"
"12","8","2018-11-09","23-324","ORL","","WAS","W (+9)","1","14:36","1","3",".333","0","1",".000","2","2","1.000","1","0","1","1","0","0","1","2","4","1.9","+3"
"13","9","2018-11-11","23-326","ORL","@","NYK","W (+26)","1","31:38","3","8",".375","1","2",".500","0","0","","1","7","8","2","0","1","2","3","7","4.3","+18"
"14","10","2018-11-12","23-327","ORL","@","WAS","L (-8)","1","15:12","3","4",".750","2","2","1.000","0","1",".000","0","1","1","4","0","0","0","2","8","8.3","+4"
"15","11","2018-11-14","23-329","ORL","","PHI","W (+5)","1","18:44","4","5",".800","1","1","1.000","2","2","1.000","0","1","1","0","2","0","0","0","11","11.4","-5"
"16","12","2018-11-17","23-332","ORL","","LAL","W (+13)","1","20:03","0","2",".000","0","2",".000","0","0","","0","0","0","1","0","2","1","3","0","-1.5","+4"
"17","13","2018-11-18","23-333","ORL","","NYK","W (+14)","1","15:20","0","0","","0","0","","2","2","1.000","1","1","2","2","0","0","0","0","2","4.4","+21"
"18","14","2018-11-20","23-335","ORL","","TOR","L (-2)","1","22:39","2","3",".667","0","1",".000","3","4",".750","0","2","2","3","1","0","1","1","7","7.6","+2"
"19","15","2018-11-23","23-338","ORL","@","DEN","L (-25)","1","23:31","1","4",".250","1","3",".333","0","0","","0","3","3","2","0","0","0","3","3","1.7","-13"
"20","16","2018-11-25","23-340","ORL","@","LAL","W (+4)","1","5:27","0","3",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","1","0","-1.8","-10"
"21","17","2018-11-26","23-341","ORL","@","GSW","L (-6)","0","3:28","1","1","1.000","0","0","","0","0","","0","0","0","0","1","0","0","0","2","2.7","-5"
"22","18","2018-11-28","23-343","ORL","@","POR","L (-3)","0","11:31","1","2",".500","0","0","","0","0","","0","1","1","0","0","0","0","1","2","0.9","-11"
"26","19","2018-12-07","23-352","ORL","","IND","L (-22)","0","4:08","1","2",".500","0","0","","0","0","","0","0","0","2","0","0","0","0","2","2.4","+3"
"27","20","2018-12-10","23-355","ORL","@","DAL","L (-25)","0","28:39","2","7",".286","2","4",".500","0","0","","0","4","4","1","0","0","2","2","6","1.0","-11"
"30","21","2018-12-19","23-364","ORL","","SAS","L (-39)","0","16:28","2","6",".333","1","2",".500","0","0","","1","0","1","0","1","0","2","1","5","0.9","-10"
"31","22","2018-12-21","24-001","ORL","@","CHI","L (-10)","0","21:43","1","4",".250","1","2",".500","0","0","","0","0","0","0","1","0","1","4","3","-1.0","-20"
"32","23","2018-12-23","24-003","ORL","","MIA","L (-24)","0","3:46","0","1",".000","0","0","","2","2","1.000","0","0","0","0","0","0","0","0","2","1.3","-4"
"34","24","2018-12-28","24-008","ORL","","TOR","W (+29)","0","18:24","4","7",".571","0","1",".000","2","2","1.000","1","2","3","0","0","1","1","2","10","6.9","+16"
"35","25","2018-12-30","24-010","ORL","","DET","W (+2)","0","15:51","0","3",".000","0","1",".000","2","2","1.000","0","1","1","1","0","0","0","3","2","-0.3","-1"
"36","26","2018-12-31","24-011","ORL","@","CHO","L (-25)","0","22:47","3","5",".600","0","1",".000","3","4",".750","1","2","3","0","1","0","2","3","9","5.4","-37"
"37","27","2019-01-02","24-013","ORL","@","CHI","W (+28)","0","21:20","1","2",".500","0","1",".000","4","4","1.000","0","2","2","1","0","0","1","2","6","4.5","+16"
"38","28","2019-01-04","24-015","ORL","@","MIN","L (-17)","0","14:56","2","4",".500","0","0","","2","2","1.000","0","3","3","1","1","0","0","2","6","5.8","+10"
"39","29","2019-01-06","24-017","ORL","@","LAC","L (-10)","0","19:27","3","6",".500","1","3",".333","1","2",".500","0","3","3","1","0","0","0","3","8","5.0","-8"
"40","30","2019-01-07","24-018","ORL","@","SAC","L (-16)","0","26:29","4","10",".400","0","1",".000","3","4",".750","0","5","5","1","0","0","2","1","11","5.0","-1"
