"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"10","1","2018-11-03","31-177","PHI","","DET","W (+10)","0","9:30","0","0","","0","0","","0","0","","0","4","4","1","1","0","0","4","0","1.3","0"
"12","2","2018-11-07","31-181","PHI","@","IND","W (+6)","0","15:22","1","3",".333","0","2",".000","0","0","","2","3","5","0","0","0","1","1","2","1.2","-8"
"13","3","2018-11-09","31-183","PHI","","CHO","W (+1)","0","15:44","3","4",".750","2","3",".667","0","2",".000","1","4","5","1","0","1","1","1","8","7.5","+5"
"15","4","2018-11-12","31-186","PHI","@","MIA","W (+10)","1","23:26","2","3",".667","1","1","1.000","0","0","","1","0","1","3","1","0","2","2","5","4.7","+6"
"16","5","2018-11-14","31-188","PHI","@","ORL","L (-5)","1","23:14","6","10",".600","2","4",".500","0","0","","3","1","4","0","1","0","1","2","14","11.0","+2"
"17","6","2018-11-16","31-190","PHI","","UTA","W (+6)","1","21:37","1","3",".333","0","1",".000","0","0","","1","4","5","0","0","0","2","3","2","-1.0","+18"
"18","7","2018-11-17","31-191","PHI","@","CHO","W (+3)","0","14:03","0","2",".000","0","2",".000","2","2","1.000","1","4","5","0","0","0","0","1","2","2.1","-3"
"19","8","2018-11-19","31-193","PHI","","PHO","W (+5)","1","31:17","1","4",".250","0","1",".000","0","0","","2","2","4","3","0","0","1","3","2","1.5","-3"
"20","9","2018-11-21","31-195","PHI","","NOP","W (+1)","1","30:54","6","7",".857","1","2",".500","0","0","","1","5","6","2","0","0","0","1","13","13.7","+6"
"21","10","2018-11-23","31-197","PHI","","CLE","L (-9)","1","31:28","2","5",".400","0","2",".000","0","0","","0","3","3","3","0","0","2","4","4","0.7","-10"
"22","11","2018-11-25","31-199","PHI","@","BRK","W (+2)","1","35:12","4","7",".571","2","4",".500","0","0","","0","3","3","5","0","0","0","4","10","9.5","+4"
"23","12","2018-11-28","31-202","PHI","","NYK","W (+26)","1","25:31","3","6",".500","2","3",".667","0","0","","1","5","6","4","0","0","3","1","8","6.6","+10"
"24","13","2018-11-30","31-204","PHI","","WAS","W (+25)","1","21:36","3","10",".300","1","4",".250","0","2",".000","2","2","4","0","1","1","2","2","7","1.3","+7"
"26","14","2018-12-05","31-209","PHI","@","TOR","L (-11)","1","26:14","1","6",".167","1","3",".333","0","0","","4","2","6","2","0","0","0","3","3","2.8","-13"
"27","15","2018-12-07","31-211","PHI","@","DET","W (+6)","1","37:03","4","5",".800","2","3",".667","0","0","","1","7","8","2","2","3","0","5","10","14.4","+23"
"28","16","2018-12-10","31-214","PHI","","DET","W (+14)","1","27:41","3","7",".429","1","3",".333","0","0","","2","4","6","2","1","1","3","2","7","5.2","+15"
"29","17","2018-12-12","31-216","PHI","","BRK","L (-3)","1","32:35","3","7",".429","3","6",".500","0","0","","0","3","3","4","0","0","1","5","9","6.0","-3"
"30","18","2018-12-14","31-218","PHI","","IND","L (-12)","1","30:12","0","4",".000","0","3",".000","0","0","","2","3","5","1","0","1","1","4","0","-1.7","0"
"31","19","2018-12-16","31-220","PHI","@","CLE","W (+23)","1","29:23","4","10",".400","2","6",".333","1","1","1.000","3","4","7","3","0","2","3","1","11","9.0","+20"
"32","20","2018-12-17","31-221","PHI","@","SAS","L (-27)","1","24:17","3","7",".429","2","5",".400","2","2","1.000","1","4","5","4","0","1","1","4","10","9.1","-4"
"33","21","2018-12-19","31-223","PHI","","NYK","W (+22)","1","29:37","2","5",".400","2","3",".667","0","0","","1","7","8","1","0","0","0","5","6","4.8","+22"
"35","22","2018-12-25","31-229","PHI","@","BOS","L (-7)","1","39:35","5","11",".455","3","6",".500","2","2","1.000","2","4","6","3","0","0","2","2","15","11.2","-1"
"36","23","2018-12-27","31-231","PHI","@","UTA","W (+17)","1","19:19","1","6",".167","0","4",".000","0","0","","0","2","2","2","0","0","1","2","2","-1.6","+17"
"37","24","2018-12-30","31-234","PHI","@","POR","L (-34)","1","21:06","2","4",".500","0","2",".000","1","1","1.000","0","5","5","0","2","1","0","1","5","6.8","-17"
