"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-18","20-333","POR","","LAL","W (+9)","0","26:19","3","4",".750","0","1",".000","0","0","","1","5","6","2","0","6","1","5","6","9.2","+24",".750",".750","3.5","19.0","10.9","9.5","0.0","17.4","20.0","7.1","133","98"
"2","2","2018-10-20","20-335","POR","","SAS","W (+13)","0","15:23","4","5",".800","2","3",".667","1","2",".500","1","4","5","0","1","0","2","4","11","8.0","+11",".935","1.000","9.5","23.5","18.1","0.0","3.3","0.0","25.4","23.6","126","106"
"3","3","2018-10-22","20-337","POR","","WAS","L (-1)","0","19:16","2","6",".333","0","1",".000","3","4",".750","2","3","5","0","0","2","2","2","7","4.1","-1",".451",".333","9.3","12.7","11.1","0.0","0.0","7.5","20.5","19.1","86","103"
"4","4","2018-10-25","20-340","POR","@","ORL","W (+14)","0","17:40","7","7","1.000","2","2","1.000","1","1","1.000","2","4","6","2","2","1","1","4","17","19.0","+1","1.142","1.143","13.3","25.3","19.4","18.8","5.7","4.9","11.8","21.1","195","104"
"5","5","2018-10-27","20-342","POR","@","MIA","L (-9)","0","23:48","2","4",".500","1","2",".500","8","8","1.000","1","3","4","0","0","2","0","4","13","12.4","-7",".864",".625","4.2","12.1","8.2","0.0","0.0","7.1","0.0","13.9","187","121"
"6","6","2018-10-29","20-344","POR","@","IND","W (+10)","0","26:56","7","10",".700","1","2",".500","2","2","1.000","0","3","3","3","0","1","1","2","17","14.7","+22",".781",".750","0.0","11.1","6.3","20.9","0.0","2.5","8.4","20.4","149","98"
"7","7","2018-10-30","20-345","POR","@","HOU","W (+19)","0","23:53","3","7",".429","0","1",".000","1","1","1.000","1","3","4","3","1","2","3","5","7","4.4","-6",".470",".429","5.6","9.4","8.0","18.9","2.1","7.6","28.7","19.6","84","85"
"8","8","2018-11-01","20-347","POR","","NOP","W (+13)","0","17:17","3","8",".375","2","4",".500","1","2",".500","1","0","1","1","0","1","0","4","9","4.7","+4",".507",".500","7.3","0.0","3.1","7.8","0.0","4.3","0.0","21.5","116","119"
"9","9","2018-11-03","20-349","POR","","LAL","L (-4)","0","17:51","5","10",".500","0","3",".000","0","2",".000","0","1","1","1","0","1","2","2","10","3.1","-21",".460",".500","0.0","6.3","2.7","8.8","0.0","4.1","15.5","27.1","80","109"
"10","10","2018-11-04","20-350","POR","","MIN","W (+30)","0","18:27","2","5",".400","1","2",".500","6","6","1.000","0","2","2","0","0","0","2","3","11","5.7","+18",".720",".500","0.0","8.4","5.0","0.0","0.0","0.0","20.7","21.6","127","91"
