"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","34-249","DET","","BRK","W (+3)","0","14:43","2","6",".333","0","0","","2","2","1.000","2","5","7","4","2","1","2","5","6","7.0","+9"
"2","2","2018-10-20","34-252","DET","@","CHI","W (+2)","0","23:08","1","7",".143","0","0","","3","6",".500","5","3","8","1","2","0","0","3","5","5.2","+2"
"3","3","2018-10-23","34-255","DET","","PHI","W (+1)","0","17:15","1","2",".500","0","0","","0","0","","2","4","6","0","1","0","1","5","2","1.6","-8"
"4","4","2018-10-25","34-257","DET","","CLE","W (+7)","0","10:26","0","2",".000","0","0","","2","2","1.000","1","1","2","3","0","1","0","1","2","4.0","-2"
"5","5","2018-10-27","34-259","DET","","BOS","L (-20)","0","12:09","0","0","","0","0","","2","2","1.000","1","4","5","0","0","0","1","1","2","2.5","-6"
"6","6","2018-10-30","34-262","DET","@","BOS","L (-3)","0","16:45","1","3",".333","0","0","","3","3","1.000","3","1","4","3","1","0","0","2","5","8.0","-4"
"7","7","2018-10-31","34-263","DET","@","BRK","L (-1)","0","12:45","3","3","1.000","0","0","","3","5",".600","0","0","0","3","0","1","0","3","9","8.9","+14"
"8","8","2018-11-03","34-266","DET","@","PHI","L (-10)","0","15:44","3","4",".750","0","0","","3","4",".750","1","2","3","3","1","0","1","5","9","8.4","-1"
"9","9","2018-11-05","34-268","DET","","MIA","L (-5)","0","8:56","0","2",".000","0","0","","0","0","","0","0","0","0","0","0","2","2","0","-4.2","-11"
"10","10","2018-11-07","34-270","DET","@","ORL","W (+7)","0","12:52","0","3",".000","0","0","","2","2","1.000","2","3","5","0","1","0","1","1","2","1.8","+15"
"11","11","2018-11-09","34-272","DET","@","ATL","W (+15)","0","11:46","1","3",".333","0","0","","2","2","1.000","3","3","6","0","2","0","2","2","4","4.5","0"
"12","12","2018-11-11","34-274","DET","","CHO","L (-10)","0","9:29","1","2",".500","0","0","","0","0","","2","3","5","0","0","0","1","1","2","1.9","-6"
"13","13","2018-11-14","34-277","DET","@","TOR","W (+2)","0","5:26","1","3",".333","0","0","","1","1","1.000","1","0","1","0","0","0","1","0","3","1.0","-3"
"14","14","2018-11-19","34-282","DET","","CLE","W (+11)","0","9:20","0","3",".000","0","0","","2","2","1.000","1","2","3","0","1","0","0","3","2","1.0","0"
"15","15","2018-11-21","34-284","DET","@","HOU","L (-2)","0","7:16","2","4",".500","0","0","","2","2","1.000","2","0","2","0","0","0","1","0","6","4.4","-7"
"16","16","2018-11-23","34-286","DET","","HOU","W (+5)","0","4:18","0","2",".000","0","0","","0","0","","0","1","1","0","0","0","0","0","0","-1.1","-5"
"17","17","2018-11-25","34-288","DET","","PHO","W (+11)","0","12:56","1","3",".333","0","0","","5","6",".833","3","7","10","2","0","0","0","4","7","8.9","+12"
"18","18","2018-11-27","34-290","DET","","NYK","W (+7)","0","17:18","3","3","1.000","0","0","","3","3","1.000","2","4","6","1","0","0","1","3","9","9.2","+20"
"19","19","2018-11-30","34-293","DET","","CHI","W (+19)","0","18:04","1","2",".500","0","0","","2","2","1.000","2","7","9","2","2","0","1","1","4","8.5","-5"
"20","20","2018-12-01","34-294","DET","","GSW","W (+9)","0","12:01","1","2",".500","0","0","","0","0","","0","4","4","1","0","0","0","1","2","2.5","+9"
"21","21","2018-12-03","34-296","DET","","OKC","L (-27)","0","14:09","0","2",".000","0","0","","0","0","","3","3","6","2","2","1","1","4","0","3.1","-7"
