"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","25-123","ATL","@","NYK","L (-19)","1","21:26","3","6",".500","0","2",".000","1","2",".500","2","2","4","2","0","1","3","4","7","3.1","-14",".509",".500","10.4","9.3","9.8","13.1","0.0","3.4","30.4","18.1","86","113"
"2","2","2018-10-19","25-125","ATL","@","MEM","L (-14)","1","26:16","4","8",".500","1","1","1.000","0","0","","1","3","4","2","0","0","2","2","9","5.2","+2",".563",".563","4.1","15.2","9.0","10.8","0.0","0.0","20.0","15.5","99","129"
"3","3","2018-10-21","25-127","ATL","@","CLE","W (+22)","1","32:21","7","12",".583","0","1",".000","2","2","1.000","2","9","11","4","0","4","1","3","16","17.9","+19",".621",".583","6.9","26.7","17.6","15.8","0.0","8.2","7.2","17.4","134","100"
"4","4","2018-10-24","25-130","ATL","","DAL","W (+7)","1","27:52","3","10",".300","1","3",".333","0","0","","3","4","7","3","0","3","1","4","7","6.1","+1",".350",".350","9.7","13.0","11.4","16.2","0.0","10.1","9.1","15.8","89","94"
"5","5","2018-10-27","25-133","ATL","","CHI","L (-12)","1","16:45","2","6",".333","0","1",".000","0","0","","0","4","4","0","0","0","1","1","4","0.4","-21",".333",".333","0.0","25.5","11.5","0.0","0.0","0.0","14.3","17.3","56","100"
"6","6","2018-10-29","25-135","ATL","@","PHI","L (-21)","1","14:30","3","5",".600","1","3",".333","1","2",".500","2","0","2","0","1","0","1","4","8","5.1","-12",".680",".700","11.4","0.0","6.0","0.0","3.1","0.0","14.5","19.6","116","111"
"7","7","2018-10-30","25-136","ATL","@","CLE","L (-22)","1","26:38","9","9","1.000","1","1","1.000","3","6",".500","1","8","9","1","2","2","1","1","22","23.9","-11",".945","1.056","4.4","31.3","18.6","6.5","3.4","5.5","7.9","20.4","168","117"
"8","8","2018-11-01","25-138","ATL","","SAC","L (-31)","1","22:14","2","5",".400","0","1",".000","7","10",".700","3","3","6","1","0","0","3","3","11","6.6","-17",".585",".400","14.1","15.1","14.6","5.7","0.0","0.0","24.2","21.6","104","133"
"9","9","2018-11-03","25-140","ATL","","MIA","W (+5)","1","23:57","3","5",".600","2","3",".667","3","4",".750","1","3","4","0","1","3","1","2","11","11.2","+8",".814",".800","5.6","14.3","10.3","0.0","2.0","13.4","12.9","13.6","138","113"
"10","10","2018-11-06","25-143","ATL","@","CHO","L (-11)","1","19:05","6","11",".545","0","3",".000","0","0","","0","3","3","1","1","0","4","1","12","4.9","-4",".545",".545","0.0","19.9","9.4","9.7","2.3","0.0","26.7","32.8","76","107"
"11","11","2018-11-07","25-144","ATL","","NYK","L (-5)","1","16:03","3","8",".375","1","2",".500","2","4",".500","2","3","5","0","0","1","2","5","9","2.8","-6",".461",".438","11.5","21.9","16.1","0.0","0.0","6.4","17.0","28.9","84","109"
"12","12","2018-11-09","25-146","ATL","","DET","L (-15)","1","7:57","1","5",".200","0","2",".000","0","0","","2","0","2","1","0","0","2","1","2","-1.4","-16",".200",".200","28.1","0.0","12.4","20.2","0.0","0.0","28.6","37.5","55","127"
"13","13","2018-11-11","25-148","ATL","@","LAL","L (-1)","1","26:50","8","16",".500","1","4",".250","0","0","","3","8","11","1","1","0","4","5","17","9.2","+22",".531",".531","13.1","28.1","21.4","6.7","1.7","0.0","20.0","30.4","89","97"
"14","14","2018-11-13","25-150","ATL","@","GSW","L (-7)","1","32:00","6","8",".750","0","0","","2","5",".400","2","5","7","1","0","0","1","5","14","10.2","-8",".686",".750","6.7","16.7","11.7","4.8","0.0","0.0","8.9","15.3","128","118"
"15","15","2018-11-15","25-152","ATL","@","DEN","L (-45)","1","12:42","2","6",".333","0","1",".000","2","3",".667","3","2","5","0","0","2","2","3","6","3.1","-14",".410",".333","18.9","19.4","19.1","0.0","0.0","12.0","21.5","28.7","78","124"
"16","16","2018-11-17","25-154","ATL","@","IND","L (-8)","1","20:26","1","7",".143","0","1",".000","3","4",".750","2","2","4","2","1","0","0","2","5","3.7","+6",".285",".143","9.8","10.2","10.0","16.4","2.2","0.0","0.0","17.6","79","96"
