"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-18","23-250","CHI","@","PHI","L (-19)","1","33:06","8","15",".533","3","6",".500","1","2",".500","2","9","11","2","1","1","0","4","20","17.9","-3",".630",".633","5.9","29.0","17.0","9.0","1.3","2.5","0.0","19.5","125","113"
"2","2","2018-10-20","23-252","CHI","","DET","L (-2)","1","29:21","2","12",".167","0","4",".000","2","4",".500","2","12","14","5","1","0","2","3","6","3.9","+9",".218",".167","9.1","36.3","25.4","20.1","1.6","0.0","12.7","23.6","65","105"
"3","3","2018-10-22","23-254","CHI","@","DAL","L (-6)","1","30:33","5","9",".556","0","0","","2","3",".667","1","7","8","0","0","2","2","4","12","7.9","-1",".581",".556","4.5","27.5","16.8","0.0","0.0","6.8","16.2","17.9","101","114"
"4","4","2018-10-24","23-256","CHI","","CHO","W (+2)","1","19:48","2","5",".400","0","1",".000","0","0","","1","6","7","1","0","1","1","3","4","3.0","-7",".400",".400","6.6","33.1","21.0","7.5","0.0","4.8","16.7","13.7","85","113"
"28","5","2018-12-10","23-303","CHI","","SAC","L (-19)","0","18:38","3","8",".375","1","2",".500","2","2","1.000","2","6","8","1","0","1","1","2","9","7.4","-9",".507",".438","13.2","35.9","25.1","9.8","0.0","5.1","10.1","23.4","105","106"
"29","6","2018-12-13","23-306","CHI","@","ORL","L (-6)","0","21:58","6","11",".545","1","2",".500","2","4",".500","0","7","7","1","1","0","0","2","15","11.9","+4",".588",".591","0.0","37.3","20.1","10.5","2.3","0.0","0.0","28.5","113","96"
"30","7","2018-12-15","23-308","CHI","@","SAS","W (+5)","0","19:04","4","12",".333","0","3",".000","1","2",".500","2","2","4","0","0","1","1","2","9","2.7","-11",".349",".333","12.0","12.9","12.4","0.0","0.0","4.8","7.2","34.2","76","108"
"31","8","2018-12-17","23-310","CHI","@","OKC","L (-25)","0","22:50","7","14",".500","1","4",".250","1","1","1.000","0","2","2","0","0","0","5","3","16","3.4","-11",".554",".536","0.0","9.3","4.7","0.0","0.0","0.0","25.7","35.5","79","126"
"32","9","2018-12-19","23-312","CHI","","BRK","L (-3)","0","24:14","6","18",".333","0","2",".000","4","4","1.000","3","8","11","1","1","1","1","1","16","11.3","-4",".405",".333","12.6","42.8","25.9","7.0","2.2","4.0","4.8","39.8","90","98"
"40","10","2019-01-06","23-330","CHI","","BRK","L (-17)","0","19:41","6","11",".545","3","4",".750","2","4",".500","3","2","5","0","0","0","1","1","17","12.2","-10",".666",".682","17.0","12.5","14.9","0.0","0.0","0.0","7.3","31.5","128","130"
"41","11","2019-01-09","23-333","CHI","@","POR","L (-12)","0","18:56","6","12",".500","3","6",".500","0","0","","3","3","6","0","0","0","3","1","15","8.6","-14",".625",".625","16.2","23.0","19.0","0.0","0.0","0.0","20.0","33.5","101","126"
"42","12","2019-01-11","23-335","CHI","@","GSW","L (-37)","0","16:58","4","7",".571","1","1","1.000","7","8",".875","1","3","4","1","2","0","1","0","16","15.6","-23",".760",".643","6.6","24.2","14.5","11.9","5.6","0.0","8.7","30.8","146","135"
"44","13","2019-01-15","23-339","CHI","@","LAL","L (-7)","0","16:53","1","11",".091","0","4",".000","0","0","","2","5","7","3","0","0","0","4","2","-1.9","-4",".091",".091","11.1","30.9","20.5","25.0","0.0","0.0","0.0","27.1","48","107"
"45","14","2019-01-17","23-341","CHI","@","DEN","L (-30)","1","27:49","4","13",".308","1","2",".500","1","2",".500","7","6","13","4","0","0","1","2","10","9.8","-25",".360",".346","25.2","24.7","24.9","18.6","0.0","0.0","6.7","23.4","107","142"
"46","15","2019-01-19","23-343","CHI","","MIA","L (-14)","0","24:05","8","12",".667","2","3",".667","3","3","1.000","2","4","6","2","1","0","2","4","21","17.2","-12",".788",".750","7.8","21.0","13.4","20.9","2.0","0.0","13.1","26.9","139","117"
"47","16","2019-01-21","23-345","CHI","@","CLE","W (+16)","0","18:38","6","10",".600","3","6",".500","0","0","","2","4","6","1","1","0","2","3","15","11.5","+7",".750",".750","14.7","19.4","17.6","12.5","2.7","0.0","16.7","29.8","119","88"
"48","17","2019-01-23","23-347","CHI","","ATL","L (-20)","0","33:14","3","12",".250","1","4",".250","2","2","1.000","2","5","7","2","0","0","1","4","9","3.5","-7",".349",".292","6.9","15.7","11.5","9.4","0.0","0.0","7.2","18.9","82","127"
"49","18","2019-01-25","23-349","CHI","","LAC","L (-5)","1","33:40","9","20",".450","0","3",".000","0","0","","7","8","15","1","0","0","1","3","18","13.4","-2",".450",".450","17.5","27.2","21.6","5.2","0.0","0.0","4.8","26.0","102","108"
"50","19","2019-01-27","23-351","CHI","","CLE","L (-3)","0","19:13","4","11",".364","1","3",".333","0","0","","0","2","2","1","0","0","0","2","9","3.4","-9",".409",".409","0.0","9.8","5.0","8.6","0.0","0.0","0.0","26.0","85","117"
"51","20","2019-01-29","23-353","CHI","@","BRK","L (-5)","0","23:31","5","8",".625","0","1",".000","2","2","1.000","1","4","5","1","1","0","0","5","12","10.0","+3",".676",".625","5.0","15.7","11.0","5.5","1.8","0.0","0.0","15.2","143","110"
"52","21","2019-01-30","23-354","CHI","@","MIA","W (+16)","0","24:29","10","17",".588","2","3",".667","4","4","1.000","1","3","4","2","0","1","3","4","26","17.2","+5",".693",".647","5.3","11.8","9.0","19.2","0.0","4.2","13.8","43.0","115","100"
"53","22","2019-02-02","23-357","CHI","@","CHO","L (-7)","0","33:52","13","23",".565","4","8",".500","3","3","1.000","2","7","9","0","2","0","1","4","33","25.0","+1",".678",".652","8.1","24.8","17.0","0.0","3.1","0.0","3.9","35.2","134","131"
"55","23","2019-02-08","23-363","WAS","","CLE","W (+13)","0","27:28","12","18",".667","4","6",".667","2","2","1.000","2","4","6","2","1","0","2","3","30","24.0","+19",".794",".778","7.8","12.7","10.5","14.0","1.7","0.0","9.6","31.7","136","107"
"56","24","2019-02-09","23-364","WAS","@","CHI","W (+9)","0","29:23","4","11",".364","0","2",".000","2","3",".667","1","11","12","4","0","1","2","4","10","7.4","+8",".406",".364","4.4","38.2","23.3","13.5","0.0","2.2","14.0","20.5","89","114"
"57","25","2019-02-11","24-001","WAS","@","DET","L (-9)","0","31:30","9","17",".529","6","10",".600","0","1",".000","1","4","5","1","2","0","2","1","24","17.5","+4",".688",".706","3.4","15.2","9.0","5.4","3.1","0.0","10.3","27.9","110","120"
"58","26","2019-02-13","24-003","WAS","@","TOR","L (-9)","0","28:24","5","10",".500","2","4",".500","0","0","","0","6","6","1","1","1","1","5","12","8.2","-4",".600",".600","0.0","21.1","10.7","5.9","1.5","3.1","9.1","15.6","99","113"
"59","27","2019-02-22","24-012","WAS","@","CHO","L (-13)","0","31:17","6","15",".400","0","2",".000","0","1",".000","4","8","12","1","4","0","3","4","12","8.8","-13",".389",".400","11.6","28.5","19.2","4.7","5.9","0.0","16.3","24.0","78","105"
"60","28","2019-02-23","24-013","WAS","","IND","L (-7)","1","16:54","3","7",".429","1","2",".500","0","0","","1","3","4","2","0","0","1","4","7","3.7","-4",".500",".500","7.7","23.7","15.6","17.0","0.0","0.0","12.5","20.6","104","122"
"61","29","2019-02-27","24-017","WAS","@","BRK","W (+9)","1","26:11","4","12",".333","0","4",".000","2","2","1.000","3","9","12","1","2","0","0","3","10","9.5","+5",".388",".333","10.8","35.1","22.4","5.0","3.4","0.0","0.0","18.6","104","102"
"62","30","2019-03-01","24-019","WAS","@","BOS","L (-11)","1","27:43","2","8",".250","0","1",".000","3","4",".750","3","8","11","0","0","0","3","5","7","1.3","-14",".359",".250","11.3","26.1","19.2","0.0","0.0","0.0","23.5","19.2","69","107"
"63","31","2019-03-03","24-021","WAS","","MIN","W (+14)","1","28:18","10","18",".556","3","6",".500","3","4",".750","4","8","12","0","0","0","1","5","26","19.2","+17",".658",".639","13.8","31.6","22.1","0.0","0.0","0.0","4.8","29.3","134","116"
"64","32","2019-03-06","24-024","WAS","","DAL","W (+9)","1","21:42","4","12",".333","2","5",".400","2","2","1.000","3","5","8","0","0","0","2","3","12","5.6","-8",".466",".417","16.6","23.0","20.1","0.0","0.0","0.0","13.4","28.4","102","126"
"65","33","2019-03-08","24-026","WAS","@","CHO","L (-1)","1","25:14","10","16",".625","3","4",".750","0","0","","2","7","9","3","0","1","1","5","23","19.1","-5",".719",".719","8.1","26.1","17.5","27.2","0.0","3.5","5.9","29.0","136","113"
"66","34","2019-03-09","24-027","WAS","@","MIN","L (-5)","1","30:31","9","18",".500","3","6",".500","0","0","","3","9","12","1","0","1","3","5","21","13.2","+3",".583",".583","11.1","26.9","19.8","5.4","0.0","2.2","14.3","28.4","102","117"
"67","35","2019-03-11","24-029","WAS","","SAC","W (+6)","1","33:19","6","12",".500","1","2",".500","4","5",".800","1","12","13","1","3","1","5","2","17","13.5","+7",".599",".542","3.2","35.3","19.9","4.6","4.0","2.3","26.0","23.5","88","96"
"68","36","2019-03-13","24-031","WAS","","ORL","W (+10)","1","22:36","3","11",".273","0","3",".000","0","0","","2","4","6","1","0","0","1","2","6","1.0","-8",".273",".273","9.2","17.7","13.6","6.0","0.0","0.0","8.3","24.7","67","103"
"69","37","2019-03-15","24-033","WAS","","CHO","L (-6)","1","24:00","1","7",".143","0","0","","1","2",".500","1","3","4","1","1","0","2","1","3","-1.0","0",".190",".143","5.1","11.5","8.8","5.1","2.0","0.0","20.2","18.1","47","117"
"70","38","2019-03-16","24-034","WAS","","MEM","W (+7)","1","23:18","7","11",".636","3","5",".600","1","2",".500","2","4","6","2","1","1","2","3","18","15.2","+7",".758",".773","9.8","19.2","14.5","15.5","2.0","3.6","14.4","25.8","131","124"
"71","39","2019-03-18","24-036","WAS","","UTA","L (-21)","1","19:09","4","9",".444","3","6",".500","0","0","","1","4","5","0","0","0","2","2","11","5.4","-12",".611",".611","6.4","27.9","16.7","0.0","0.0","0.0","18.2","25.8","92","118"
"72","40","2019-03-20","24-038","WAS","@","CHI","L (-6)","1","37:46","6","17",".353","1","6",".167","2","2","1.000","3","2","5","3","0","2","0","5","15","9.7","-4",".419",".382","9.4","5.3","7.2","11.8","0.0","3.4","0.0","21.1","109","124"
"73","41","2019-03-21","24-039","WAS","","DEN","L (-5)","1","35:52","6","11",".545","3","6",".500","3","3","1.000","0","8","8","1","0","0","1","4","18","13.2","+11",".731",".682","0.0","26.1","13.7","4.2","0.0","0.0","7.5","17.8","131","124"
"74","42","2019-03-23","24-041","WAS","","MIA","L (-5)","1","30:32","6","15",".400","1","2",".500","1","2",".500","4","7","11","1","0","0","0","0","14","11.1","+1",".441",".433","11.9","25.0","17.8","5.0","0.0","0.0","0.0","21.1","114","121"
"75","43","2019-03-26","24-044","WAS","@","LAL","L (-18)","0","25:21","3","8",".375","0","3",".000","4","4","1.000","3","4","7","4","1","1","4","2","10","8.6","-3",".512",".375","11.4","18.5","14.6","22.7","1.8","3.4","29.1","21.9","93","115"
"76","44","2019-03-27","24-045","WAS","@","PHO","W (+3)","1","22:33","2","8",".250","0","1",".000","2","2","1.000","3","6","9","2","1","0","1","1","6","6.1","-7",".338",".250","12.3","26.6","19.2","11.0","2.1","0.0","10.1","17.7","94","116"
