"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","29-182","IND","","MEM","W (+28)","1","27:06","7","9",".778","3","3","1.000","2","2","1.000","0","6","6","0","0","0","3","0","19","14.3","+8",".962",".944","0.0","20.8","12.5","0.0","0.0","0.0","23.3","21.0","132","92"
"2","2","2018-10-19","29-184","IND","@","MIL","L (-17)","1","27:19","0","7",".000","0","2",".000","3","4",".750","0","5","5","0","0","0","1","3","3","-3.0","-11",".171",".000","0.0","20.4","9.7","0.0","0.0","0.0","10.2","14.8","35","115"
"3","3","2018-10-20","29-185","IND","","BRK","W (+20)","1","27:27","5","8",".625","3","3","1.000","2","2","1.000","0","2","2","0","0","0","1","0","15","11.0","+6",".845",".813","0.0","9.0","4.4","0.0","0.0","0.0","10.1","15.5","150","118"
"4","4","2018-10-22","29-187","IND","@","MIN","L (-10)","1","35:42","8","13",".615","4","5",".800","0","0","","2","3","5","0","0","0","3","2","20","12.6","-18",".769",".769","5.3","9.8","7.3","0.0","0.0","0.0","18.8","18.9","118","108"
"5","5","2018-10-24","29-189","IND","@","SAS","W (+20)","1","24:01","3","7",".429","1","4",".250","0","0","","0","4","4","1","0","0","1","2","7","3.4","-3",".500",".500","0.0","16.0","9.3","5.0","0.0","0.0","12.5","15.9","87","108"
"6","6","2018-10-27","29-192","IND","@","CLE","W (+12)","1","31:33","10","14",".714","2","5",".400","3","4",".750","0","3","3","2","1","0","3","1","25","18.7","+15",".793",".786","0.0","12.7","7.2","9.3","1.7","0.0","16.0","28.4","127","121"
"7","7","2018-10-29","29-194","IND","","POR","L (-10)","1","37:18","4","12",".333","2","6",".333","4","4","1.000","0","2","2","3","0","0","1","2","14","8.1","+4",".509",".417","0.0","7.0","3.0","12.1","0.0","0.0","6.8","17.8","103","116"
"8","8","2018-10-31","29-196","IND","@","NYK","W (+6)","1","31:59","4","8",".500","1","3",".333","1","2",".500","0","3","3","0","1","0","2","1","10","5.1","+7",".563",".563","0.0","11.3","5.9","0.0","1.6","0.0","18.4","15.5","91","113"
"9","9","2018-11-02","29-198","IND","@","CHI","W (+2)","1","27:49","3","7",".429","2","3",".667","0","0","","0","2","2","1","0","0","1","0","8","4.6","+6",".571",".571","0.0","7.8","4.1","5.0","0.0","0.0","12.5","13.1","102","120"
"10","10","2018-11-03","29-199","IND","","BOS","W (+1)","1","23:29","6","11",".545","2","5",".400","2","5",".400","0","3","3","1","3","0","2","1","16","11.7","+8",".606",".636","0.0","13.0","6.8","8.6","6.3","0.0","13.2","28.2","99","96"
"11","11","2018-11-05","29-201","IND","","HOU","L (-4)","1","30:11","2","6",".333","1","4",".250","6","9",".667","1","3","4","2","2","0","0","3","11","10.2","-3",".552",".417","3.9","12.9","8.2","10.7","3.4","0.0","0.0","15.3","127","103"
"12","12","2018-11-07","29-203","IND","","PHI","L (-6)","1","36:33","4","11",".364","3","6",".500","2","2","1.000","0","5","5","1","1","0","0","3","13","8.9","-6",".547",".500","0.0","17.3","7.8","4.1","1.3","0.0","0.0","14.1","114","105"
"13","13","2018-11-09","29-205","IND","@","MIA","W (+8)","1","29:37","6","9",".667","3","4",".750","1","2",".500","0","2","2","1","2","0","2","3","16","11.8","+13",".810",".833","0.0","7.7","4.2","4.9","3.2","0.0","16.8","17.5","128","100"
"14","14","2018-11-11","29-207","IND","@","HOU","L (-12)","1","37:11","6","11",".545","3","5",".600","5","5","1.000","0","6","6","6","3","0","3","3","20","19.5","+9",".758",".682","0.0","20.4","10.6","27.4","4.1","0.0","18.5","20.4","129","118"
"15","15","2018-11-16","29-212","IND","","MIA","W (+8)","1","32:55","6","10",".600","2","4",".500","2","2","1.000","1","5","6","0","1","0","4","1","16","10.2","-1",".735",".700","3.5","13.0","8.9","0.0","1.5","0.0","26.9","20.4","98","95"
"16","16","2018-11-17","29-213","IND","","ATL","W (+8)","1","28:17","7","12",".583","3","5",".600","5","5","1.000","0","4","4","0","0","0","4","2","22","12.8","+6",".775",".708","0.0","14.1","7.2","0.0","0.0","0.0","22.0","26.1","110","90"
"17","17","2018-11-19","29-215","IND","","UTA","W (+27)","1","30:08","9","14",".643","3","4",".750","0","0","","1","1","2","1","2","0","0","1","21","18.1","+11",".750",".750","3.6","4.4","4.0","4.6","3.3","0.0","0.0","20.4","147","99"
"18","18","2018-11-21","29-217","IND","@","CHO","L (-18)","1","34:06","6","9",".667","4","6",".667","4","4","1.000","1","2","3","4","0","0","1","1","20","18.8","-3",".929",".889","3.5","8.5","5.8","17.3","0.0","0.0","8.5","15.7","173","142"
"19","19","2018-11-23","29-219","IND","","SAS","L (-11)","1","32:04","10","15",".667","0","3",".000","1","2",".500","0","1","1","2","1","0","1","3","21","14.6","-23",".661",".667","0.0","3.5","1.6","9.6","1.5","0.0","5.9","22.0","121","115"
"20","20","2018-11-26","29-222","IND","@","UTA","W (+33)","1","32:01","5","9",".556","2","3",".667","3","3","1.000","0","5","5","4","1","0","2","2","15","13.2","+17",".727",".667","0.0","16.7","9.7","14.4","1.5","0.0","16.2","17.2","125","94"
"21","21","2018-11-27","29-223","IND","@","PHO","W (+5)","1","24:27","5","12",".417","2","3",".667","3","5",".600","2","3","5","0","0","0","2","3","15","6.9","-4",".528",".500","7.9","11.8","9.8","0.0","0.0","0.0","12.3","27.7","101","116"
"22","22","2018-11-29","29-225","IND","@","LAL","L (-8)","1","38:09","4","11",".364","2","5",".400","4","5",".800","1","2","3","2","0","0","2","3","14","7.0","-19",".530",".455","2.6","5.6","4.0","9.3","0.0","0.0","13.2","16.6","99","111"
"23","23","2018-12-01","29-227","IND","@","SAC","L (-1)","1","37:06","10","19",".526","2","6",".333","5","6",".833","0","3","3","0","2","0","3","1","27","16.8","+4",".624",".579","0.0","7.8","4.4","0.0","2.4","0.0","12.2","27.7","103","107"
"24","24","2018-12-04","29-230","IND","","CHI","W (+6)","1","33:18","5","10",".500","1","4",".250","3","4",".750","0","6","6","2","0","0","1","3","14","9.6","+3",".595",".550","0.0","17.0","9.7","10.4","0.0","0.0","7.8","17.6","113","97"
"25","25","2018-12-07","29-233","IND","@","ORL","W (+22)","1","29:14","10","18",".556","2","6",".333","4","5",".800","0","3","3","2","1","0","0","1","26","19.9","+28",".644",".611","0.0","9.7","4.9","11.9","1.7","0.0","0.0","30.2","132","96"
"26","26","2018-12-08","29-234","IND","","SAC","W (+10)","1","27:53","5","13",".385","1","4",".250","7","7","1.000","1","3","4","2","0","0","1","2","18","12.1","+3",".560",".423","3.7","10.5","7.2","11.0","0.0","0.0","5.9","25.2","124","108"
"27","27","2018-12-10","29-236","IND","","WAS","W (+8)","1","37:02","8","15",".533","3","5",".600","3","4",".750","1","6","7","2","1","0","3","1","22","15.8","+16",".656",".633","3.7","15.9","10.8","8.5","1.3","0.0","15.2","23.6","111","102"
"28","28","2018-12-12","29-238","IND","","MIL","W (+16)","1","33:22","5","10",".500","3","5",".600","3","3","1.000","0","4","4","0","0","0","4","0","16","8.2","+3",".707",".650","0.0","11.7","5.9","0.0","0.0","0.0","26.1","19.0","96","104"
"29","29","2018-12-14","29-240","IND","@","PHI","W (+12)","1","34:16","7","13",".538","3","5",".600","1","1","1.000","0","5","5","2","0","0","1","3","18","12.4","+7",".670",".654","0.0","13.2","7.3","8.7","0.0","0.0","6.9","18.0","122","107"
"30","30","2018-12-16","29-242","IND","","NYK","W (+11)","1","34:25","4","12",".333","1","5",".200","3","3","1.000","1","3","4","3","1","0","3","0","12","6.9","+13",".450",".375","3.3","8.9","6.3","12.2","1.4","0.0","18.4","20.7","88","107"
"31","31","2018-12-18","29-244","IND","","CLE","L (-1)","1","34:28","5","14",".357","0","4",".000","4","4","1.000","2","1","3","1","0","0","0","0","14","8.6","+9",".444",".357","5.3","2.8","4.1","4.6","0.0","0.0","0.0","19.7","105","109"
"32","32","2018-12-19","29-245","IND","@","TOR","L (-3)","1","33:22","7","13",".538","3","6",".500","1","2",".500","1","4","5","1","2","0","1","3","18","13.7","+2",".648",".654","3.5","11.3","7.8","5.2","3.0","0.0","6.7","20.0","123","102"
"33","33","2018-12-21","29-247","IND","@","BRK","W (+8)","1","35:26","5","8",".625","3","4",".750","4","4","1.000","0","2","2","4","1","0","0","3","17","16.6","+5",".871",".813","0.0","8.0","3.9","14.6","1.5","0.0","0.0","13.1","181","120"
"34","34","2018-12-23","29-249","IND","","WAS","W (+16)","1","29:25","5","12",".417","3","7",".429","1","2",".500","0","3","3","2","3","0","3","1","14","9.1","+1",".543",".542","0.0","10.4","5.2","9.4","4.9","0.0","18.9","21.7","96","86"
"35","35","2018-12-26","29-252","IND","@","ATL","W (+8)","1","30:41","3","10",".300","1","6",".167","9","10",".900","2","3","5","2","3","0","3","1","16","13.1","-2",".556",".350","7.8","11.7","9.8","7.6","4.6","0.0","17.2","24.0","110","115"
"36","36","2018-12-28","29-254","IND","","DET","W (+37)","1","27:04","6","10",".600","0","3",".000","0","0","","1","4","5","2","0","0","0","0","12","10.7","+20",".600",".600","5.1","13.6","10.2","8.4","0.0","0.0","0.0","16.3","129","95"
"37","37","2018-12-31","29-257","IND","","ATL","W (+8)","1","32:42","6","12",".500","1","3",".333","3","3","1.000","0","4","4","3","2","0","5","1","16","9.9","+5",".601",".542","0.0","11.3","6.4","13.3","3.0","0.0","27.3","25.0","90","112"
"38","38","2019-01-04","29-261","IND","@","CHI","W (+3)","1","39:52","5","15",".333","0","3",".000","3","4",".750","2","4","6","4","0","0","0","0","13","9.5","-2",".388",".333","6.5","13.6","10.0","12.6","0.0","0.0","0.0","19.6","102","117"
"39","39","2019-01-06","29-263","IND","@","TOR","L (-16)","1","37:02","9","18",".500","2","4",".500","1","3",".333","2","7","9","3","2","0","0","2","21","18.0","-12",".543",".556","5.8","22.7","13.7","12.4","2.6","0.0","0.0","21.4","121","119"
